a,replicate,gen,num_dd
0.02,0,0,584
0.02,0,1,296
0.02,0,2,217
0.02,0,3,144
0.02,0,4,110
0.02,0,5,72
0.02,0,6,53
0.02,0,7,36
0.02,0,8,30
0.02,0,9,17
0.02,0,10,15
0.02,0,11,8
0.02,0,12,5
0.02,0,13,6
0.02,0,14,8
0.02,0,15,2
0.02,0,16,4
0.02,0,17,3
0.02,0,18,2
0.02,0,19,0
0.02,0,20,0
0.02,0,21,1
0.02,0,22,0
0.02,0,23,0
0.02,0,24,0
0.02,0,25,0
0.02,0,26,1
0.02,0,27,0
0.02,0,28,0
0.02,0,29,0
0.02,0,30,3
0.02,0,31,0
0.02,0,32,0
0.02,0,33,0
0.02,0,34,0
0.02,0,35,0
0.02,0,36,0
0.02,0,37,0
0.02,0,38,0
0.02,0,39,0
0.02,0,40,0
0.02,0,41,0
0.02,0,42,0
0.02,0,43,0
0.02,0,44,0
0.02,0,45,0
0.02,0,46,0
0.02,0,47,0
0.02,0,48,0
0.02,0,49,0
0.02,0,50,0
0.02,0,51,0
0.02,0,52,0
0.02,0,53,0
0.02,1,0,487
0.02,1,1,209
0.02,1,2,154
0.02,1,3,109
0.02,1,4,84
0.02,1,5,76
0.02,1,6,64
0.02,1,7,35
0.02,1,8,16
0.02,1,9,13
0.02,1,10,9
0.02,1,11,11
0.02,1,12,9
0.02,1,13,9
0.02,1,14,7
0.02,1,15,1
0.02,1,16,0
0.02,1,17,0
0.02,1,18,2
0.02,1,19,0
0.02,1,20,2
0.02,1,21,0
0.02,1,22,0
0.02,1,23,0
0.02,1,24,0
0.02,1,25,0
0.02,1,26,0
0.02,1,27,0
0.02,1,28,1
0.02,1,29,1
0.02,1,30,0
0.02,1,31,0
0.02,1,32,0
0.02,1,33,0
0.02,1,34,0
0.02,1,35,0
0.02,1,36,0
0.02,1,37,0
0.02,2,0,544
0.02,2,1,254
0.02,2,2,156
0.02,2,3,126
0.02,2,4,96
0.02,2,5,70
0.02,2,6,46
0.02,2,7,50
0.02,2,8,17
0.02,2,9,10
0.02,2,10,23
0.02,2,11,6
0.02,2,12,7
0.02,2,13,6
0.02,2,14,1
0.02,2,15,8
0.02,2,16,4
0.02,2,17,2
0.02,2,18,1
0.02,2,19,0
0.02,2,20,1
0.02,2,21,1
0.02,2,22,0
0.02,2,23,0
0.02,2,24,0
0.02,2,25,0
0.02,2,26,0
0.02,2,27,0
0.02,2,28,0
0.02,2,29,0
0.02,2,30,0
0.02,2,31,0
0.02,2,32,0
0.02,2,33,0
0.02,2,34,0
0.02,2,35,0
0.02,3,0,491
0.02,3,1,225
0.02,3,2,139
0.02,3,3,106
0.02,3,4,73
0.02,3,5,70
0.02,3,6,50
0.02,3,7,34
0.02,3,8,28
0.02,3,9,12
0.02,3,10,8
0.02,3,11,7
0.02,3,12,3
0.02,3,13,1
0.02,3,14,2
0.02,3,15,0
0.02,3,16,2
0.02,3,17,2
0.02,3,18,0
0.02,3,19,0
0.02,3,20,1
0.02,3,21,0
0.02,3,22,0
0.02,3,23,0
0.02,3,24,0
0.02,3,25,0
0.02,3,26,0
0.02,3,27,0
0.02,3,28,0
0.02,3,29,0
0.02,3,30,0
0.02,3,31,0
0.02,3,32,0
0.02,3,33,0
0.02,3,34,0
0.02,3,35,0
0.02,3,36,0
0.02,3,37,0
0.02,4,0,550
0.02,4,1,258
0.02,4,2,177
0.02,4,3,149
0.02,4,4,84
0.02,4,5,78
0.02,4,6,53
0.02,4,7,39
0.02,4,8,29
0.02,4,9,21
0.02,4,10,14
0.02,4,11,8
0.02,4,12,9
0.02,4,13,4
0.02,4,14,0
0.02,4,15,2
0.02,4,16,1
0.02,4,17,0
0.02,4,18,0
0.02,4,19,0
0.02,4,20,0
0.02,4,21,0
0.02,4,22,0
0.02,4,23,0
0.02,4,24,0
0.02,4,25,0
0.02,4,26,0
0.02,4,27,0
0.02,4,28,0
0.02,4,29,0
0.02,4,30,0
0.02,4,31,0
0.02,4,32,0
0.02,5,0,469
0.02,5,1,177
0.02,5,2,120
0.02,5,3,118
0.02,5,4,86
0.02,5,5,57
0.02,5,6,29
0.02,5,7,26
0.02,5,8,18
0.02,5,9,19
0.02,5,10,13
0.02,5,11,10
0.02,5,12,2
0.02,5,13,1
0.02,5,14,1
0.02,5,15,2
0.02,5,16,3
0.02,5,17,0
0.02,5,18,0
0.02,5,19,1
0.02,5,20,0
0.02,5,21,0
0.02,5,22,3
0.02,5,23,0
0.02,5,24,0
0.02,5,25,0
0.02,5,26,0
0.02,5,27,0
0.02,5,28,0
0.02,5,29,0
0.02,5,30,0
0.02,5,31,0
0.02,5,32,0
0.02,5,33,0
0.02,5,34,0
0.02,5,35,0
0.02,6,0,512
0.02,6,1,202
0.02,6,2,139
0.02,6,3,78
0.02,6,4,77
0.02,6,5,51
0.02,6,6,55
0.02,6,7,28
0.02,6,8,27
0.02,6,9,21
0.02,6,10,12
0.02,6,11,9
0.02,6,12,10
0.02,6,13,2
0.02,6,14,2
0.02,6,15,1
0.02,6,16,0
0.02,6,17,0
0.02,6,18,1
0.02,6,19,0
0.02,6,20,0
0.02,6,21,0
0.02,6,22,0
0.02,6,23,0
0.02,6,24,0
0.02,6,25,0
0.02,6,26,0
0.02,6,27,0
0.02,6,28,0
0.02,6,29,0
0.02,6,30,0
0.02,6,31,0
0.02,6,32,0
0.02,6,33,0
0.02,6,34,0
