uprime_x0.47,u_x0.47
0.285714,0.025
0.117647,0
0,0
0,0
0.09375,0.131579
0.105263,0.0925926
0,0
0.0344828,0
0,0
0.0625,0.03125
0,0
0.0588235,0.0344828
0,0
0.0555556,0.0384615
0,0
0.153846,0.125
0.0714286,0.0625
0.0606061,0
0.04,0.025
0.147059,0.0681818
0,0
0,0
0.0769231,0.0322581
0.137931,0.135135
0.0625,0.0689655
0,0
0.08,0.148649
0.0357143,0.0166667
0,0.0384615
0.111111,0.119048
0,0
0.0740741,0.0526316
0,0
0.0909091,0.0277778
0.08,0.0535714
0.0833333,0.0833333
0,0
0.166667,0.125
0.037037,0.0322581
0,0
0.0769231,0.107143
0.037037,0.0714286
0.08,0.015625
0,0
0.04,0.0588235
0.037037,0.0227273
0.0857143,0.030303
0.0882353,0.0416667
0.105263,0.0263158
0,0
0,0.0909091
0.114286,0.0909091
0.0909091,0.0487805
0.0434783,0
0.0645161,0
0.0769231,0.037037
0.047619,0
0.121951,0.0675676
0.0555556,0
0.12,0.107143
0,0
0.04,0
0.12,0.1
0,0
0,0.037037
0.0416667,0.0714286
0.0588235,0
0.12,0.111111
0.0666667,0.115385
0.136364,0.04
0,0.0263158
0.04,0
0,0
0.0606061,0.1
0.0869565,0.0641026
0.148148,0
0.0769231,0.0357143
0,0
0.133333,0.113636
0.103448,0.0833333
0.136364,0.285714
0.107143,0.136364
0,0
0,0
0.153846,0.118421
0,0
0.025641,0.027027
0,0
0.0555556,0.0833333
0.04,0
0,0
0.0740741,0.0740741
0.0344828,0.0416667
0.0967742,0.0454545
0.0882353,0.0735294
0.0869565,0.09375
0.04,0.02
0,0.0641026
0.0285714,0.0222222
