a,replicate,gen,num_dd, num_dwt, d_fitness
0.07,0,0,1870,0,2019.6
0.07,0,1,1686,686,2109.0
0.07,0,2,1438,881,1923.06
0.07,0,3,1333,1051,1881.06
0.07,0,4,1198,1152,1777.68
0.07,0,5,1168,1257,1789.38
0.07,0,6,1091,1323,1733.94
0.07,0,7,1077,1292,1705.8
0.07,0,8,1107,1392,1780.2
0.07,0,9,1038,1479,1742.22
0.07,0,10,1015,1488,1721.16
0.07,0,11,973,1523,1690.5
0.07,0,12,946,1518,1659.24
0.07,0,13,959,1411,1628.34
0.07,0,14,862,1504,1562.64
0.07,0,15,877,1472,1565.4
0.07,0,16,853,1541,1568.46
0.07,0,17,867,1547,1586.1
0.07,0,18,853,1550,1572.24
0.07,0,19,856,1625,1606.98
0.07,0,20,861,1512,1564.92
0.07,0,21,846,1629,1597.86
0.07,0,22,852,1668,1620.72
0.07,0,23,819,1645,1575.42
0.07,0,24,744,1658,1499.88
0.07,0,25,757,1664,1516.44
0.07,0,26,753,1713,1532.7
0.07,0,27,770,1687,1540.14
0.07,0,28,886,1748,1691.04
0.07,0,29,855,1740,1654.2
0.07,0,30,839,1614,1584.0
0.07,0,31,832,1635,1585.26
0.07,0,32,829,1697,1608.06
0.07,0,33,752,1713,1531.62
0.07,0,34,700,1663,1454.46
0.07,0,35,735,1698,1506.96
0.07,0,36,725,1700,1497.0
0.07,0,37,750,1719,1531.98
0.07,0,38,734,1654,1487.4
0.07,0,39,672,1665,1425.06
0.07,0,40,671,1777,1471.02
0.07,0,41,649,1809,1460.7
0.07,0,42,627,1701,1391.58
0.07,0,43,651,1693,1414.14
0.07,0,44,630,1661,1378.02
0.07,0,45,615,1552,1316.04
0.07,0,46,571,1595,1286.58
0.07,0,47,605,1579,1316.58
0.07,0,48,537,1583,1244.82
0.07,0,49,515,1457,1168.14
0.07,0,50,467,1553,1156.62
0.07,0,51,481,1513,1154.94
0.07,0,52,443,1540,1125.24
0.07,0,53,417,1569,1109.34
0.07,0,54,385,1547,1065.54
0.07,0,55,359,1412,980.76
0.07,0,56,355,1312,934.44
0.07,0,57,343,1294,913.92
0.07,0,58,320,1241,866.82
0.07,0,59,262,1095,742.86
0.07,0,60,230,1061,694.02
0.07,0,61,215,1033,666.06
0.07,0,62,156,988,583.44
0.07,0,63,96,943,499.74
0.07,0,64,106,786,444.6
0.07,0,65,68,802,410.28
0.07,0,66,48,732,359.28
0.07,0,67,46,670,331.08
0.07,0,68,35,579,280.98
0.07,0,69,25,483,229.86
0.07,0,70,19,399,188.1
0.07,0,71,12,362,165.0
0.07,0,72,12,306,141.48
0.07,0,73,9,282,128.16
0.07,0,74,6,225,100.98
0.07,0,75,4,175,77.82
0.07,0,76,1,160,68.28
0.07,0,77,1,128,54.84
0.07,0,78,1,89,38.46
