a,replicate,gen,num_dd, num_dwt, d_fitness
0.1,0,0,2506,0,2706.48
0.1,0,1,2418,590,2859.24
0.1,0,2,2290,889,2846.58
0.1,0,3,2266,988,2862.24
0.1,0,4,2250,1205,2936.1
0.1,0,5,2180,1290,2896.2
0.1,0,6,2203,1388,2962.2
0.1,0,7,2144,1409,2907.3
0.1,0,8,2080,1433,2848.26
0.1,0,9,2054,1445,2825.22
0.1,0,10,2145,1473,2935.26
0.1,0,11,2225,1532,3046.44
0.1,0,12,2329,1667,3215.46
0.1,0,13,2237,1646,3107.28
0.1,0,14,2317,1731,3229.38
0.1,0,15,2413,1695,3317.94
0.1,0,16,2330,1657,3212.34
0.1,0,17,2418,1713,3330.9
0.1,0,18,2426,1679,3325.26
0.1,0,19,2523,1652,3418.68
0.1,0,20,2516,1692,3427.92
0.1,0,21,2650,1655,3557.1
0.1,0,22,2721,1748,3672.84
0.1,0,23,2907,1681,3845.58
0.1,0,24,2894,1737,3855.06
0.1,0,25,2914,1783,3895.98
0.1,0,26,3036,1722,4002.12
0.1,0,27,2981,1764,3960.36
0.1,0,28,3050,1769,4036.98
0.1,0,29,3117,1767,4108.5
0.1,0,30,3200,1699,4169.58
0.1,0,31,3394,1755,4402.62
0.1,0,32,3378,1821,4413.06
0.1,0,33,3373,1757,4380.78
0.1,0,34,3335,1810,4362.0
0.1,0,35,3331,1769,4340.46
0.1,0,36,3572,1790,4609.56
0.1,0,37,3645,1872,4722.84
0.1,0,38,3598,1777,4632.18
0.1,0,39,3753,1776,4799.16
0.1,0,40,3872,1776,4927.68
0.1,0,41,3836,1823,4908.54
0.1,0,42,3913,1795,4979.94
0.1,0,43,3934,1774,4993.8
0.1,0,44,3975,1713,5012.46
0.1,0,45,3938,1649,4945.62
0.1,0,46,4050,1670,5075.4
0.1,0,47,3987,1706,5022.48
0.1,0,48,4098,1740,5156.64
0.1,0,49,4230,1744,5300.88
0.1,0,50,3933,1867,5031.78
0.1,0,51,4206,1783,5291.34
0.1,0,52,4346,1788,5444.64
0.1,0,53,4289,1810,5392.32
0.1,0,54,4371,1802,5477.52
0.1,0,55,4327,1840,5445.96
0.1,0,56,4423,1754,5513.52
0.1,0,57,4524,1895,5681.82
0.1,0,58,4595,1876,5750.52
0.1,0,59,4724,1868,5886.48
0.1,0,60,4864,1823,6018.78
0.1,0,61,4807,1749,5926.14
0.1,0,62,4852,1737,5969.7
0.1,0,63,5060,1748,6198.96
0.1,0,64,4954,1663,6048.78
0.1,0,65,5081,1765,6228.78
0.1,0,66,5150,1747,6295.74
0.1,0,67,5279,1659,6398.1
0.1,0,68,5426,1727,6585.42
0.1,0,69,5591,1627,6721.62
0.1,0,70,5718,1639,6863.82
0.1,0,71,5677,1639,6819.54
0.1,0,72,5812,1623,6958.62
0.1,0,73,5746,1658,6902.04
0.1,0,74,5920,1694,7105.08
0.1,0,75,5828,1741,7025.46
0.1,0,76,5829,1634,6981.6
0.1,0,77,5843,1642,7000.08
0.1,0,78,6120,1714,7329.48
0.1,0,79,6315,1696,7532.52
0.1,0,80,6168,1694,7372.92
0.1,0,81,6201,1697,7409.82
0.1,0,82,6053,1687,7245.78
0.1,0,83,6031,1739,7243.86
0.1,0,84,6268,1869,7554.42
0.1,0,85,6220,1850,7494.6
0.1,0,86,6179,1794,7426.8
0.1,0,87,6472,1862,7771.8
0.1,0,88,6404,1821,7681.14
0.1,0,89,6565,1827,7857.54
0.1,0,90,6582,1693,7819.62
0.1,0,91,6763,1742,8035.68
0.1,0,92,6998,1665,8257.14
0.1,0,93,7017,1810,8338.56
0.1,0,94,7029,1741,8322.54
0.1,0,95,7228,1728,8532.0
0.1,0,96,7506,1626,8789.4
0.1,0,97,7708,1744,9057.12
0.1,0,98,7458,1718,8776.2
0.1,0,99,7433,1805,8785.74
0.1,0,100,7465,1727,8787.54
0.1,1,0,2562,0,2766.96
0.1,1,1,2181,682,2641.92
0.1,1,2,2216,973,2801.94
0.1,1,3,2155,1054,2770.08
0.1,1,4,2073,1201,2743.26
0.1,1,5,1993,1317,2705.58
0.1,1,6,1997,1412,2749.8
0.1,1,7,1881,1494,2658.96
0.1,1,8,1908,1569,2719.62
0.1,1,9,1863,1681,2718.06
0.1,1,10,1907,1695,2771.46
0.1,1,11,2033,1686,2903.76
0.1,1,12,2193,1743,3100.5
0.1,1,13,2118,1650,2980.44
0.1,1,14,2198,1727,3099.18
0.1,1,15,2193,1680,3074.04
0.1,1,16,2293,1710,3194.64
0.1,1,17,2265,1773,3190.86
0.1,1,18,2287,1807,3228.9
0.1,1,19,2159,1764,3072.6
0.1,1,20,2285,1663,3166.26
0.1,1,21,2343,1706,3246.96
0.1,1,22,2377,1757,3305.1
0.1,1,23,2380,1668,3270.96
0.1,1,24,2395,1788,3337.56
0.1,1,25,2604,1787,3562.86
0.1,1,26,2623,1864,3615.72
0.1,1,27,2641,1850,3629.28
0.1,1,28,2681,1709,3613.26
0.1,1,29,2706,1663,3620.94
0.1,1,30,2720,1742,3669.24
0.1,1,31,2867,1743,3828.42
0.1,1,32,2958,1814,3956.52
0.1,1,33,3177,1756,4168.68
0.1,1,34,3223,1811,4241.46
0.1,1,35,3258,1777,4264.98
0.1,1,36,3363,1711,4350.66
0.1,1,37,3394,1757,4403.46
0.1,1,38,3690,1776,4731.12
0.1,1,39,3618,1730,4634.04
0.1,1,40,3745,1780,4792.2
0.1,1,41,3950,1834,5036.28
0.1,1,42,3918,1756,4968.96
0.1,1,43,3916,1771,4973.1
0.1,1,44,3947,1731,4989.78
0.1,1,45,4064,1668,5089.68
0.1,1,46,4117,1651,5139.78
0.1,1,47,4103,1557,5085.18
0.1,1,48,4282,1639,5312.94
0.1,1,49,4129,1787,5209.86
0.1,1,50,4160,1712,5211.84
0.1,1,51,4265,1735,5334.9
0.1,1,52,4499,1780,5606.52
0.1,1,53,4504,1816,5627.04
0.1,1,54,4468,1680,5531.04
0.1,1,55,4572,1691,5647.98
0.1,1,56,4535,1776,5643.72
0.1,1,57,4615,1703,5699.46
0.1,1,58,4744,1685,5831.22
0.1,1,59,4745,1706,5841.12
0.1,1,60,4905,1729,6023.58
0.1,1,61,4899,1734,6019.2
0.1,1,62,5193,1684,6315.72
0.1,1,63,5293,1621,6397.26
0.1,1,64,5346,1685,6481.38
0.1,1,65,5246,1606,6340.2
0.1,1,66,5207,1625,6306.06
0.1,1,67,5270,1640,6380.4
0.1,1,68,5412,1734,6573.24
0.1,1,69,5486,1868,6709.44
0.1,1,70,5811,1849,7052.46
0.1,1,71,5588,1703,6750.3
0.1,1,72,5419,1718,6574.08
0.1,1,73,5713,1737,6899.58
0.1,1,74,5799,1738,6992.88
0.1,1,75,5860,1759,7067.58
0.1,1,76,5931,1736,7134.6
0.1,1,77,5997,1731,7203.78
0.1,1,78,5863,1752,7067.88
0.1,1,79,5742,1737,6930.9
0.1,1,80,6079,1730,7291.92
0.1,1,81,6087,1760,7313.16
0.1,1,82,6171,1773,7409.34
0.1,1,83,6378,1766,7629.96
0.1,1,84,6493,1801,7768.86
0.1,1,85,6394,1904,7705.2
0.1,1,86,6529,1886,7843.44
0.1,1,87,6533,1852,7833.48
0.1,1,88,6559,1875,7871.22
0.1,1,89,6658,1862,7972.68
0.1,1,90,6585,1831,7880.82
0.1,1,91,6372,1864,7664.64
0.1,1,92,6626,1848,7932.24
0.1,1,93,6702,1879,8027.34
0.1,1,94,6807,1862,8133.6
0.1,1,95,6828,1837,8145.78
0.1,1,96,6966,1872,8309.52
0.1,1,97,7078,1829,8412.42
0.1,1,98,7022,1872,8370.0
0.1,1,99,7035,1826,8364.72
0.1,1,100,7045,1765,8349.9
0.1,2,0,2443,0,2638.44
0.1,2,1,2254,646,2705.64
0.1,2,2,2085,826,2598.72
0.1,2,3,1980,1119,2608.38
0.1,2,4,1971,1182,2625.12
0.1,2,5,2023,1350,2751.84
0.1,2,6,2003,1470,2780.64
0.1,2,7,1874,1527,2665.26
0.1,2,8,1842,1511,2623.98
0.1,2,9,1938,1564,2749.92
0.1,2,10,1920,1716,2794.32
0.1,2,11,1929,1706,2799.84
0.1,2,12,1943,1734,2826.72
0.1,2,13,1976,1820,2898.48
0.1,2,14,2086,1832,3022.32
0.1,2,15,2324,1815,3272.22
0.1,2,16,2370,1838,3331.56
0.1,2,17,2418,1851,3388.86
0.1,2,18,2491,1879,3479.46
0.1,2,19,2407,1862,3381.6
0.1,2,20,2479,1787,3427.86
0.1,2,21,2538,1842,3514.68
0.1,2,22,2652,1747,3597.9
0.1,2,23,2636,1749,3581.46
0.1,2,24,2588,1693,3506.1
0.1,2,25,2682,1689,3605.94
0.1,2,26,2801,1674,3728.16
0.1,2,27,3091,1686,4046.4
0.1,2,28,3084,1608,4006.08
0.1,2,29,3003,1645,3934.14
0.1,2,30,3061,1625,3988.38
0.1,2,31,3125,1592,4043.64
0.1,2,32,3235,1590,4161.6
0.1,2,33,3198,1587,4120.38
0.1,2,34,3195,1699,4164.18
0.1,2,35,3302,1693,4277.22
0.1,2,36,3397,1644,4359.24
0.1,2,37,3499,1745,4511.82
0.1,2,38,3609,1826,4664.64
0.1,2,39,3521,1746,4536.0
0.1,2,40,3749,1844,4823.4
0.1,2,41,3699,1702,4709.76
0.1,2,42,3792,1751,4830.78
0.1,2,43,4080,1650,5099.4
0.1,2,44,3851,1756,4896.6
0.1,2,45,3978,1695,5008.14
0.1,2,46,4107,1614,5113.44
0.1,2,47,4026,1679,5053.26
0.1,2,48,4062,1680,5092.56
0.1,2,49,4017,1636,5025.48
0.1,2,50,4030,1662,5050.44
0.1,2,51,3979,1694,5008.8
0.1,2,52,4030,1748,5086.56
0.1,2,53,4181,1729,5241.66
0.1,2,54,4379,1813,5490.78
0.1,2,55,4406,1762,5498.52
0.1,2,56,4430,1852,5562.24
0.1,2,57,4321,1729,5392.86
0.1,2,58,4364,1684,5420.4
0.1,2,59,4352,1721,5422.98
0.1,2,60,4416,1739,5499.66
0.1,2,61,4538,1627,5584.38
0.1,2,62,4801,1642,5874.72
0.1,2,63,4918,1677,6015.78
0.1,2,64,4856,1718,5966.04
