a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,outcome
0.0586,1,0,1550,0,3100,1674,decrease
0.0586,1,1,1258,699,3215,1652.22,decrease
0.0586,1,2,1159,862,3180,1613.76,decrease
0.0586,1,3,1092,1037,3221,1614.9,decrease
0.0586,1,4,962,1139,3063,1517.34,decrease
0.0586,1,5,916,1162,2994,1477.32,decrease
0.0586,1,6,934,1262,3130,1538.76,decrease
0.0586,1,7,866,1379,3111,1514.46,decrease
0.0586,1,8,816,1464,3096,1496.16,decrease
0.0586,1,9,731,1471,2933,1407.3,decrease
0.0586,1,10,763,1473,2999,1442.7,decrease
0.0586,1,11,734,1440,2908,1397.52,decrease
0.0586,1,12,671,1516,2858,1361.4,decrease
0.0586,1,13,647,1474,2768,1317.84,decrease
0.0586,1,14,704,1463,2871,1374.78,decrease
0.0586,1,15,673,1486,2832,1350.96,decrease
0.0586,1,16,603,1489,2695,1276.62,decrease
0.0586,1,17,625,1479,2729,1296.18,decrease
0.0586,1,18,619,1489,2727,1293.9,decrease
0.0586,1,19,525,1534,2584,1211.28,decrease
0.0586,1,20,492,1498,2482,1160.52,decrease
0.0586,1,21,448,1470,2366,1101.24,decrease
0.0586,1,22,411,1374,2196,1020.96,decrease
0.0586,1,23,406,1311,2123,989.1,decrease
0.0586,1,24,348,1283,1979,914.7,decrease
0.0586,1,25,282,1241,1805,825.78,decrease
0.0586,1,26,298,1172,1768,814.08,decrease
0.0586,1,27,200,1150,1550,699,decrease
0.0586,1,28,174,1099,1447,649.5,decrease
0.0586,1,29,183,980,1346,609.24,decrease
0.0586,1,30,134,970,1238,552.12,decrease
0.0586,1,31,117,868,1102,490.92,decrease
0.0586,1,32,92,827,1011,446.7,decrease
0.0586,1,33,75,738,888,390.96,decrease
0.0586,1,34,39,682,760,328.56,decrease
0.0586,1,35,33,575,641,277.14,decrease
0.0586,1,36,24,503,551,237.18,decrease
0.0586,1,37,15,435,465,198.9,decrease
0.0586,1,38,13,364,390,166.92,decrease
0.0586,1,39,6,323,335,142.14,decrease
0.0586,1,40,5,250,260,110.4,decrease
0.0586,1,41,1,235,237,99.78,decrease
0.0586,1,42,4,238,246,104.28,decrease
0.0586,1,43,2,214,218,92.04,decrease
0.0586,1,44,4,185,193,82.02,decrease
0.0586,1,45,3,134,140,59.52,decrease
0.0586,1,46,1,105,107,45.18,decrease
0.0586,1,47,1,74,76,32.16,decrease
0.0586,1,48,0,58,58,24.36,decrease
0.0586,1,49,0,43,43,18.06,decrease
0.0586,1,50,0,38,38,15.96,decrease
0.0586,1,51,0,27,27,11.34,decrease
0.0586,1,52,0,12,12,5.04,decrease
0.0586,1,53,0,12,12,5.04,decrease
0.0586,1,54,0,14,14,5.88,decrease
0.0586,1,55,0,17,17,7.14,decrease
0.0586,1,56,0,18,18,7.56,decrease
0.0586,1,57,0,10,10,4.2,decrease
0.0586,1,58,0,9,9,3.78,decrease
0.0586,1,59,0,9,9,3.78,decrease
0.0586,1,60,0,11,11,4.62,decrease
0.0586,1,61,0,4,4,1.68,decrease
0.0586,1,62,0,1,1,0.42,decrease
0.0586,1,63,0,1,1,0.42,decrease
0.0586,1,64,0,0,0,0,decrease
0.0586,2,0,1483,0,2966,1601.64,decrease
0.0586,2,1,1180,641,3001,1543.62,decrease
0.0586,2,2,1038,862,2938,1483.08,decrease
0.0586,2,3,1021,910,2952,1484.88,decrease
0.0586,2,4,980,1086,3046,1514.52,decrease
0.0586,2,5,949,1181,3079,1520.94,decrease
0.0586,2,6,955,1188,3098,1530.36,decrease
0.0586,2,7,851,1284,2986,1458.36,decrease
0.0586,2,8,794,1371,2959,1433.34,decrease
0.0586,2,9,793,1411,2997,1449.06,decrease
0.0586,2,10,745,1404,2894,1394.28,decrease
0.0586,2,11,686,1435,2807,1343.58,decrease
0.0586,2,12,597,1513,2707,1280.22,decrease
0.0586,2,13,552,1410,2514,1188.36,decrease
0.0586,2,14,531,1581,2643,1237.5,decrease
0.0586,2,15,566,1512,2644,1246.32,decrease
0.0586,2,16,545,1557,2647,1242.54,decrease
0.0586,2,17,587,1480,2654,1255.56,decrease
0.0586,2,18,566,1473,2605,1229.94,decrease
0.0586,2,19,560,1451,2571,1214.22,decrease
0.0586,2,20,531,1352,2414,1141.32,decrease
0.0586,2,21,487,1459,2433,1138.74,decrease
0.0586,2,22,474,1488,2436,1136.88,decrease
0.0586,2,23,444,1390,2278,1063.32,decrease
0.0586,2,24,390,1374,2154,998.28,decrease
0.0586,2,25,337,1353,2027,932.22,decrease
0.0586,2,26,278,1271,1827,834.06,decrease
0.0586,2,27,284,1229,1797,822.9,decrease
0.0586,2,28,267,1130,1664,762.96,decrease
0.0586,2,29,229,1022,1480,676.56,decrease
0.0586,2,30,160,1083,1403,627.66,decrease
0.0586,2,31,182,1054,1418,639.24,decrease
0.0586,2,32,154,995,1303,584.22,decrease
0.0586,2,33,127,933,1187,529.02,decrease
0.0586,2,34,136,892,1164,521.52,decrease
0.0586,2,35,107,828,1042,463.32,decrease
0.0586,2,36,73,825,971,425.34,decrease
0.0586,2,37,55,767,877,381.54,decrease
0.0586,2,38,49,634,732,319.2,decrease
0.0586,2,39,36,624,696,300.96,decrease
0.0586,2,40,23,572,618,265.08,decrease
0.0586,2,41,20,449,489,210.18,decrease
0.0586,2,42,13,402,428,182.88,decrease
0.0586,2,43,8,348,364,154.8,decrease
0.0586,2,44,10,328,348,148.56,decrease
0.0586,2,45,4,270,278,117.72,decrease
0.0586,2,46,1,269,271,114.06,decrease
0.0586,2,47,8,182,198,85.08,decrease
0.0586,2,48,1,172,174,73.32,decrease
0.0586,2,49,2,156,160,67.68,decrease
0.0586,2,50,0,131,131,55.02,decrease
0.0586,2,51,0,106,106,44.52,decrease
0.0586,2,52,1,103,105,44.34,decrease
0.0586,2,53,0,106,106,44.52,decrease
0.0586,2,54,0,94,94,39.48,decrease
0.0586,2,55,0,74,74,31.08,decrease
0.0586,2,56,0,66,66,27.72,decrease
0.0586,2,57,0,37,37,15.54,decrease
0.0586,2,58,0,29,29,12.18,decrease
0.0586,2,59,0,22,22,9.24,decrease
0.0586,2,60,0,15,15,6.3,decrease
0.0586,2,61,0,11,11,4.62,decrease
0.0586,2,62,0,12,12,5.04,decrease
0.0586,2,63,0,7,7,2.94,decrease
0.0586,2,64,0,7,7,2.94,decrease
0.0586,2,65,0,5,5,2.1,decrease
0.0586,2,66,0,5,5,2.1,decrease
0.0586,2,67,0,3,3,1.26,decrease
0.0586,2,68,0,5,5,2.1,decrease
0.0586,2,69,0,3,3,1.26,decrease
0.0586,2,70,0,3,3,1.26,decrease
0.0586,2,71,0,1,1,0.42,decrease
0.0586,2,72,0,0,0,0,decrease
0.0586,3,0,1471,0,2942,1588.68,decrease
0.0586,3,1,1223,532,2978,1544.28,decrease
0.0586,3,2,1202,858,3262,1658.52,decrease
0.0586,3,3,1112,1020,3244,1629.36,decrease
0.0586,3,4,1044,1095,3183,1587.42,decrease
0.0586,3,5,1010,1135,3155,1567.5,decrease
0.0586,3,6,919,1241,3079,1513.74,decrease
