a,gen,avg_num_dd,avg_num_dwt,avg_d_fitness,num_replicates
0.0739,0,1909.16,0,2061.8928,100
0.0739,1,1648.72,651.1,2054.0796,100
0.0739,2,1552.57,889.51,2050.3698,100
0.0739,3,1468.42,1045.58,2025.0372,100
0.0739,4,1406.79,1157.82,2005.6176,100
0.0739,5,1366.05,1241.29,1996.6758,100
0.0739,6,1352.36,1314.23,2012.5254,100
0.0739,7,1342.27,1368.6,2024.4636,100
0.0739,8,1315.49,1412.36,2013.9204,100
0.0739,9,1297.94,1457.65,2013.9882,100
0.0739,10,1296.87,1490.21,2026.5078,100
0.0739,11,1305.02,1515.39,2045.8854000000001,100
0.0739,12,1316.1,1556.6,2075.16,100
0.0739,13,1308.86,1572.63,2074.0733999999998,100
0.0739,14,1319.07,1600.11,2096.6418,100
0.0739,15,1322.06,1622.33,2109.2034,100
0.0739,16,1328.86,1635.72,2122.1712,100
0.0739,17,1341.64,1652.62,2143.0716,100
0.0739,18,1356.74,1665.42,2164.7556,100
0.0739,19,1366.28,1695.97,2187.8898,100
0.0739,20,1388.32,1695.15,2211.3486,100
0.0739,21,1398.13,1710.52,2228.3988,100
0.0739,22,1408.42,1717.57,2242.473,100
0.0739,23,1429.1,1721.66,2266.5252,100
0.0739,24,1442.48,1735.26,2286.6876,100
0.0739,25,1455.54,1751.97,2307.8106,100
0.0739,26,1471.31,1754.12,2325.7452,100
0.0739,27,1499.26,1762.15,2359.3038,100
0.0739,28,1516.99,1773.05,2383.0302,100
0.0739,29,1544.23,1779.08,2414.982,100
0.0739,30,1570.11,1783.04,2444.5956,100
0.0739,31,1595.56,1780.93,2471.1954,100
0.0739,32,1628.85,1791.04,2511.3948,100
0.0739,33,1657.68,1792.97,2543.3418,100
0.0739,34,1693.84,1788.79,2580.639,100
0.0739,35,1719.59,1790.76,2609.2764,100
0.0739,36,1746.17,1797.56,2640.8388,100
0.0739,37,1777.38,1792.92,2672.5968,100
0.0739,38,1800.82,1790.96,2697.0888,100
0.0739,39,1852.38,1795.61,2754.7266,100
0.0739,40,1881.4,1791.31,2784.2622,100
0.0739,41,1924.44,1777.96,2825.1384,100
0.0739,42,1954.75,1786.37,2861.4054,100
0.0739,43,1993.89,1777.04,2899.758,100
0.0739,44,2031.36,1778.64,2940.8976,100
0.0739,45,2072.69,1776.56,2984.6604,100
0.0739,46,2111.07,1765.57,3021.495,100
0.0739,47,2154.25,1763.53,3067.2726,100
0.0739,48,2199.37,1770.42,3118.896,100
0.0739,49,2238.33,1771.61,3161.4726,100
0.0739,50,2276.77,1770.87,3202.677,100
0.0739,51,2333.53,1759.89,3259.3662,100
0.0739,52,2370.28,1765.72,3301.5048,100
0.0739,53,2415.42,1765.67,3350.235,100
0.0739,54,2453.99,1776.55,3396.4602,100
0.0739,55,2504.7,1760.67,3444.5574,100
0.0739,56,2544.15,1753.25,3484.047,100
0.0739,57,2599.81,1742.37,3539.5902,100
0.0739,58,2641.55,1745,3585.774,100
0.0739,59,2672.64,1741.4,3617.8392,100
0.0739,60,2726.3,1741.8,3675.96,100
0.0739,61,2787.21,1737.08,3739.7604,100
0.0739,62,2851.47,1731.44,3806.7924,100
0.0739,63,2896.3,1735.55,3856.935,100
0.0739,64,2944.8,1727.85,3906.081,100
0.0739,65,2989.75,1720.81,3951.6702,100
0.0739,66,3028.76,1714.87,3991.3062,100
0.0739,67,3098.92,1723.53,4070.7162,100
0.0739,68,3157.58,1717.24,4131.4272,100
0.0739,69,3212.02,1711.11,4187.6478,100
0.0739,70,3269.99,1710.18,4249.8648,100
0.0739,71,3329.92,1697.97,4309.461,100
0.0739,72,3377.18,1695.38,4359.414,100
0.0739,73,3427.06,1693.96,4412.688,100
0.0739,74,3472.86,1689.76,4460.388,100
0.0739,75,3521.05,1703.14,4518.0528,100
0.0739,76,3593.35,1684.02,4588.1064,100
0.0739,77,3646.33,1679.82,4643.5608,100
0.0739,78,3704.14,1695.47,4712.5686,100
0.0739,79,3764.99,1687.68,4775.0148,100
0.0739,80,3809.33,1685.78,4822.104,100
0.0739,81,3863.53,1684.35,4880.0394,100
0.0739,82,3919.02,1676.76,4936.7808000000005,100
0.0739,83,3974.69,1688.64,5001.894,100
0.0739,84,4030.15,1673.74,5055.5328,100
0.0739,85,4072.47,1682.9,5105.0856,100
0.0739,86,4136.62,1671.84,5169.7224,100
0.0739,87,4189.45,1661.35,5222.373,100
0.0739,88,4262.46,1663.71,5302.215,100
0.0739,89,4331.47,1670.92,5379.774,100
0.0739,90,4390.19,1664.58,5440.5288,100
0.0739,91,4484.50505050505,1671.4848484848485,5545.289090909091,99
0.0739,92,4540.262626262626,1670.7373737373737,5605.193333333334,99
0.0739,93,4637.744897959184,1675.8163265306123,5712.607346938776,98
0.0739,94,4689.551020408163,1677.4591836734694,5769.247959183674,98
0.0739,95,4759.6122448979595,1668.795918367347,5841.275510204082,98
0.0739,96,4818.571428571428,1666.3265306122448,5903.914285714286,98
0.0739,97,4884.693877551021,1657.6938775510205,5971.700816326531,98
0.0739,98,4936.7959183673465,1653.2551020408164,6026.106734693877,98
0.0739,99,4996.632653061224,1659.3163265306123,6093.27612244898,98
0.0739,100,5070.234693877551,1669.7551020408164,6177.150612244898,98
