a,replicate,gen,num_dd,num_dwt,d_fitness
0.079,0,0,2072,0,2237.76
0.079,0,1,1814,627,2222.46
0.079,0,2,1644,823,2121.18
0.079,0,3,1643,951,2173.86
0.079,0,4,1597,1072,2175
0.079,0,5,1577,1161,2190.78
0.079,0,6,1495,1284,2153.88
0.079,0,7,1571,1381,2276.7
0.079,0,8,1563,1496,2316.36
0.079,0,9,1584,1490,2336.52
0.079,0,10,1551,1578,2337.84
0.079,0,11,1546,1610,2345.88
0.079,0,12,1640,1658,2467.56
0.079,0,13,1647,1566,2436.48
0.079,0,14,1613,1578,2404.8
0.079,0,15,1662,1610,2471.16
0.079,0,16,1727,1633,2551.02
0.079,0,17,1727,1624,2547.24
0.079,0,18,1768,1624,2591.52
0.079,0,19,1931,1675,2788.98
0.079,0,20,1823,1764,2709.72
0.079,0,21,1889,1790,2791.92
0.079,0,22,1853,1789,2752.62
0.079,0,23,1830,1787,2726.94
0.079,0,24,1866,1832,2784.72
0.079,0,25,1878,1772,2772.48
0.079,0,26,1908,1649,2753.22
0.079,0,27,1902,1695,2766.06
0.079,0,28,2106,1845,3049.38
0.079,0,29,2132,1818,3066.12
0.079,0,30,2274,1822,3221.16
0.079,0,31,2344,1873,3318.18
0.079,0,32,2397,1815,3351.06
0.079,0,33,2329,1881,3305.34
0.079,0,34,2318,1865,3286.74
0.079,0,35,2234,1855,3191.82
0.079,0,36,2424,1769,3360.9
0.079,0,37,2336,1846,3298.2
0.079,0,38,2395,1856,3366.12
0.079,0,39,2459,1851,3433.14
0.079,0,40,2630,1937,3653.94
0.079,0,41,2684,1894,3694.2
0.079,0,42,2730,1838,3720.36
0.079,0,43,2727,1777,3691.5
0.079,0,44,2823,1778,3795.6
0.079,0,45,3056,1837,4072.02
0.079,0,46,3115,1815,4126.5
0.079,0,47,3196,1882,4242.12
0.079,0,48,3128,1746,4111.56
0.079,0,49,3243,1802,4259.28
0.079,0,50,3334,1720,4323.12
0.079,0,51,3310,1760,4314
0.079,0,52,3439,1723,4437.78
0.079,0,53,3565,1768,4592.76
0.079,0,54,3727,1795,4779.06
0.079,0,55,3820,1907,4926.54
0.079,0,56,3922,1804,4993.44
0.079,0,57,4064,1756,5126.64
0.079,0,58,4200,1761,5275.62
0.079,0,59,4199,1655,5230.02
0.079,0,60,3963,1687,4988.58
0.079,0,61,3990,1760,5048.4
0.079,0,62,4140,1793,5224.26
0.079,0,63,4324,1765,5411.22
0.079,0,64,4211,1766,5289.6
0.079,0,65,4254,1844,5368.8
0.079,0,66,4189,1823,5289.78
0.079,0,67,4287,1794,5383.44
0.079,0,68,4255,1767,5337.54
0.079,0,69,4274,1733,5343.78
0.079,0,70,4407,1766,5501.28
0.079,0,71,4559,1803,5680.98
0.079,0,72,4464,1942,5636.76
0.079,0,73,4595,1817,5725.74
0.079,0,74,4638,1848,5785.2
0.079,0,75,4850,1869,6022.98
0.079,0,76,4758,1827,5905.98
0.079,0,77,4794,1833,5947.38
0.079,0,78,4945,1775,6086.1
0.079,0,79,5245,1714,6384.48
0.079,0,80,5189,1658,6300.48
0.079,0,81,5030,1706,6148.92
0.079,0,82,5250,1673,6372.66
0.079,0,83,5231,1822,6414.72
0.079,0,84,5363,1700,6506.04
0.079,0,85,5487,1837,6697.5
0.079,0,86,5476,1775,6659.58
0.079,0,87,5439,1774,6619.2
0.079,0,88,5402,1812,6595.2
0.079,0,89,5660,1750,6847.8
0.079,0,90,5562,1817,6770.1
0.079,0,91,5895,1687,7075.14
0.079,0,92,5699,1616,6833.64
0.079,0,93,5757,1694,6929.04
0.079,0,94,5996,1728,7201.44
0.079,0,95,6151,1703,7358.34
0.079,0,96,6253,1661,7450.86
0.079,0,97,6408,1817,7683.78
0.079,0,98,6322,1772,7572
0.079,0,99,6288,1878,7579.8
0.079,0,100,6286,1747,7522.62
0.079,1,0,2116,0,2285.28
0.079,1,1,1830,671,2258.22
0.079,1,2,1609,840,2090.52
0.079,1,3,1458,1076,2026.56
0.079,1,4,1468,1090,2043.24
0.079,1,5,1479,1275,2132.82
0.079,1,6,1387,1329,2056.14
0.079,1,7,1338,1396,2031.36
0.079,1,8,1372,1405,2071.86
0.079,1,9,1404,1501,2146.74
0.079,1,10,1454,1453,2180.58
0.079,1,11,1374,1514,2119.8
0.079,1,12,1384,1531,2137.74
0.079,1,13,1509,1519,2267.7
0.079,1,14,1464,1550,2232.12
0.079,1,15,1377,1510,2121.36
0.079,1,16,1387,1663,2196.42
0.079,1,17,1350,1576,2119.92
0.079,1,18,1443,1652,2252.28
0.079,1,19,1366,1733,2203.14
0.079,1,20,1351,1731,2186.1
0.079,1,21,1390,1682,2207.64
0.079,1,22,1403,1812,2276.28
0.079,1,23,1443,1716,2279.16
0.079,1,24,1386,1684,2204.16
0.079,1,25,1532,1761,2394.18
0.079,1,26,1455,1653,2265.66
0.079,1,27,1501,1711,2339.7
0.079,1,28,1554,1650,2371.32
0.079,1,29,1586,1629,2397.06
0.079,1,30,1637,1747,2501.7
0.079,1,31,1705,1661,2539.02
0.079,1,32,1703,1742,2570.88
0.079,1,33,1740,1781,2627.22
0.079,1,34,1764,1771,2648.94
0.079,1,35,1725,1765,2604.3
0.079,1,36,1763,1791,2656.26
0.079,1,37,1850,1859,2778.78
0.079,1,38,1885,1788,2786.76
0.079,1,39,1919,1898,2869.68
0.079,1,40,2042,1827,2972.7
0.079,1,41,2062,1901,3025.38
0.079,1,42,2065,1797,2984.94
0.079,1,43,2227,1856,3184.68
0.079,1,44,2220,1757,3135.54
0.079,1,45,2261,1705,3157.98
0.079,1,46,2468,1767,3407.58
0.079,1,47,2432,1740,3357.36
0.079,1,48,2517,1742,3450
0.079,1,49,2498,1739,3428.22
0.079,1,50,2590,1732,3524.64
0.079,1,51,2625,1815,3597.3
0.079,1,52,2737,1740,3686.76
0.079,1,53,2757,1650,3670.56
0.079,1,54,2884,1713,3834.18
0.079,1,55,3043,1746,4019.76
0.079,1,56,3072,1637,4005.3
0.079,1,57,3077,1540,3969.96
0.079,1,58,3075,1660,4018.2
0.079,1,59,3022,1634,3950.04
0.079,1,60,3156,1685,4116.18
0.079,1,61,3278,1687,4248.78
0.079,1,62,3122,1692,4082.4
0.079,1,63,3288,1762,4291.08
0.079,1,64,3400,1742,4403.64
0.079,1,65,3609,1705,4613.82
0.079,1,66,3612,1651,4594.38
0.079,1,67,3747,1763,4787.22
0.079,1,68,3676,1706,4686.6
0.079,1,69,3734,1705,4748.82
0.079,1,70,3865,1714,4894.08
0.079,1,71,3881,1752,4927.32
0.079,1,72,4066,1716,5112
0.079,1,73,4160,1706,5209.32
0.079,1,74,4182,1689,5225.94
0.079,1,75,4102,1789,5181.54
0.079,1,76,4294,1670,5338.92
0.079,1,77,4357,1763,5446.02
0.079,1,78,4418,1765,5512.74
0.079,1,79,4374,1678,5428.68
0.079,1,80,4396,1708,5465.04
0.079,1,81,4358,1730,5433.24
0.079,1,82,4467,1830,5592.96
0.079,1,83,4603,1753,5707.5
0.079,1,84,4719,1735,5825.22
0.079,1,85,4808,1724,5916.72
0.079,1,86,4892,1790,6035.16
0.079,1,87,5071,1703,6191.94
0.079,1,88,5060,1706,6181.32
0.079,1,89,5144,1781,6303.54
0.079,1,90,5204,1825,6386.82
0.079,1,91,5285,1754,6444.48
0.079,1,92,5454,1846,6665.64
0.079,1,93,5428,1742,6593.88
0.079,1,94,5379,1693,6520.38
0.079,1,95,5710,1691,6877.02
0.079,1,96,5673,1705,6842.94
0.079,1,97,5666,1817,6882.42
0.079,1,98,5686,1819,6904.86
0.079,1,99,5825,1888,7083.96
0.079,1,100,5856,1850,7101.48
0.079,2,0,2122,0,2291.76
0.079,2,1,1818,718,2265
0.079,2,2,1658,920,2177.04
0.079,2,3,1675,1106,2273.52
0.079,2,4,1588,1317,2268.18
0.079,2,5,1508,1305,2176.74
0.079,2,6,1440,1291,2097.42
0.079,2,7,1388,1280,2036.64
0.079,2,8,1275,1410,1969.2
0.079,2,9,1331,1349,2004.06
0.079,2,10,1430,1583,2209.26
0.079,2,11,1412,1428,2124.72
0.079,2,12,1369,1512,2113.56
0.079,2,13,1395,1584,2171.88
0.079,2,14,1506,1660,2323.68
0.079,2,15,1497,1587,2283.3
0.079,2,16,1473,1601,2263.26
0.079,2,17,1494,1523,2253.18
0.079,2,18,1498,1497,2246.58
0.079,2,19,1458,1540,2221.44
0.079,2,20,1545,1467,2284.74
0.079,2,21,1512,1579,2296.14
0.079,2,22,1520,1580,2305.2
0.079,2,23,1482,1626,2283.48
0.079,2,24,1520,1646,2332.92
0.079,2,25,1550,1580,2337.6
0.079,2,26,1553,1752,2413.08
0.079,2,27,1535,1813,2419.26
0.079,2,28,1638,1731,2496.06
0.079,2,29,1640,1803,2528.46
0.079,2,30,1688,1873,2609.7
0.079,2,31,1704,1824,2606.4
0.079,2,32,1640,1893,2566.26
0.079,2,33,1662,1860,2576.16
0.079,2,34,1706,1750,2577.48
0.079,2,35,1694,1841,2602.74
0.079,2,36,1699,1997,2673.66
0.079,2,37,1832,1947,2796.3
0.079,2,38,1799,1974,2772
0.079,2,39,1846,2037,2849.22
0.079,2,40,1916,1976,2899.2
0.079,2,41,1977,1949,2953.74
0.079,2,42,2041,1834,2974.56
0.079,2,43,2154,1840,3099.12
