a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,num_replicates
0.06,0,1538.67,0,3077.34,1661.7636,100
0.06,1,1257.12,642.98,3157.22,1627.7412,100
0.06,2,1137.93,873.71,3149.57,1595.9226,100
0.06,3,1050.46,1020.53,3121.45,1563.1194,100
0.06,4,987.77,1115.91,3091.45,1535.4738,100
0.06,5,943.31,1188.58,3075.2,1517.9784,100
0.06,6,909.62,1254.39,3073.63,1509.2334,100
0.06,7,884.18,1303.03,3071.39,1502.187,100
0.06,8,866.53,1343.6,3076.66,1500.1644,100
0.06,9,836.92,1380,3053.84,1483.4736,100
0.06,10,814.93,1417.7,3047.56,1475.5584,100
0.06,11,790.51,1445.53,3026.55,1460.8734,100
0.06,12,778.16,1460.46,3016.78,1453.806,100
0.06,13,753.37,1467.85,2974.59,1430.1366,100
0.06,14,736.86,1474.27,2947.99,1415.0022,100
0.06,15,717.21,1496.22,2930.64,1402.9992,100
0.06,16,696.67,1496.26,2889.6,1380.8328,100
0.06,17,672.12,1494.91,2839.15,1353.7518,100
0.06,18,658.47,1494.77,2811.71,1338.951,100
0.06,19,634.08,1493.12,2761.28,1311.9168,100
0.06,20,608.74,1490.55,2708.03,1283.4702,100
0.06,21,591.92,1484.85,2668.69,1262.9106,100
0.06,22,570.33,1485.16,2625.82,1239.7236,100
0.06,23,546.82,1465.72,2559.36,1206.168,100
0.06,24,522.01,1446.67,2490.69,1171.3722,100
0.06,25,498.81,1436.86,2434.48,1142.196,100
0.06,26,477.82,1415.25,2370.89,1110.4506,100
0.06,27,451.72,1388.91,2292.35,1071.1998,100
0.06,28,427.53,1353.86,2208.92,1030.3536,100
0.06,29,399.44,1325,2123.88,987.8952,100
0.06,30,379.06,1295.4,2053.52,953.4528,100
0.06,31,356.42,1252.91,1965.75,911.1558,100
0.06,32,333.4,1217.58,1884.38,871.4556,100
0.06,33,311.74,1173.26,1796.74,829.4484,100
0.06,34,291.15,1128.21,1710.51,788.2902,100
0.06,35,267.92,1085.91,1621.75,745.4358,100
0.06,36,252.2,1034.3,1538.7,706.782,100
0.06,37,235.07,984.12,1454.26,667.206,100
0.06,38,214.17,942.54,1370.88,627.1704,100
0.06,39,202.09,885.07,1289.25,589.9866,100
0.06,40,184.92,846.08,1215.92,555.0672,100
0.06,41,171.76,797.71,1141.23,520.539,100
0.06,42,159.74,753.62,1073.1,489.0396,100
0.06,43,148.83,702.46,1000.12,455.7696,100
0.06,44,138.67,658,935.34,426.1236,100
0.06,45,129.67,618.13,877.47,399.6582,100
0.06,46,122.46,577.08,822,374.6304,100
0.06,47,115.34,535.04,765.72,349.284,100
0.06,48,108.15,501.69,717.99,327.5118,100
0.06,49,101.99,467.15,671.13,306.3522,100
0.06,50,98.27,434.19,630.73,288.4914,100
0.06,51,94.13131313131314,402.4949494949495,590.7575757575758,270.70969696969695,99
0.06,52,89.12121212121212,375.4848484848485,553.7272727272727,253.95454545454544,99
0.06,53,86.11111111111111,346.989898989899,519.2121212121212,238.7357575757576,99
0.06,54,81.22222222222223,319.72727272727275,482.17171717171715,222.00545454545454,99
0.06,55,77.39393939393939,299.47474747474746,454.26262626262627,209.3648484848485,99
0.06,56,74.63636363636364,278.3030303030303,427.57575757575756,197.49454545454546,99
0.06,57,75.26530612244898,258,408.53061224489795,189.6465306122449,98
0.06,58,74.3265306122449,243.58163265306123,392.234693877551,182.5769387755102,98
0.06,59,72.92708333333333,226.54166666666666,372.3958333333333,173.90875,96
0.06,60,73.84375,207.92708333333334,355.6145833333333,167.080625,96
0.06,61,73.28125,195.88541666666666,342.4479166666667,161.415625,96
0.06,62,75.45744680851064,185.43617021276594,336.3510638297872,159.3772340425532,94
0.06,63,76.6043956043956,175.71428571428572,328.9230769230769,156.53274725274724,91
0.06,64,76.11111111111111,163.74444444444444,315.96666666666664,150.97266666666667,90
0.06,65,78.26436781609195,155.6206896551724,312.14942528735634,149.88620689655173,87
0.06,66,80.66265060240964,153.96385542168676,315.28915662650604,151.78048192771084,83
0.06,67,85.1604938271605,146.7283950617284,317.04938271604937,153.59925925925927,81
0.06,68,90.41772151898734,143.48101265822785,324.3164556962025,157.91316455696202,79
0.06,69,98.77777777777777,146.875,344.43055555555554,168.3675,72
0.06,70,110.22727272727273,154.36363636363637,374.8181818181818,183.87818181818182,66
0.06,71,121.06451612903226,156.24193548387098,398.3709677419355,196.37129032258065,62
0.06,72,124.71666666666667,151.98333333333332,401.4166666666667,198.52700000000002,60
0.06,73,131.05357142857142,152.23214285714286,414.3392857142857,205.47535714285715,56
0.06,74,147.26923076923077,155.1153846153846,449.65384615384613,224.19923076923075,52
0.06,75,150.5,159.18,460.18,229.3956,50
0.06,76,155.77551020408163,161.12244897959184,472.6734693877551,235.90897959183673,49
0.06,77,158.4375,159.75,476.625,238.2075,48
0.06,78,166.8695652173913,165.2826086956522,499.0217391304348,249.63782608695652,46
0.06,79,185.9047619047619,173.88095238095238,545.6904761904761,273.8071428571429,42
0.06,80,189.65853658536585,173.02439024390245,552.3414634146342,277.50146341463415,41
0.06,81,193.725,175.425,562.875,282.9015,40
0.06,82,206.3684210526316,176.44736842105263,589.1842105263158,296.98578947368424,38
0.06,83,212.0810810810811,188.13513513513513,612.2972972972973,308.06432432432433,37
0.06,84,252.125,204.8125,709.0625,358.31625,32
0.06,85,271.3,210,752.6,381.204,30
0.06,86,346.25,260.2083333333333,952.7083333333334,483.2375,24
0.06,87,375.27272727272725,268.09090909090907,1018.6363636363636,517.8927272727273,22
0.06,88,436,310.36842105263156,1182.3684210526317,601.2347368421052,19
0.06,89,528.375,366.9375,1423.6875,724.75875,16
0.06,90,567.8,392.4,1528,778.032,15
0.06,91,572.6,379.46666666666664,1524.6666666666667,777.784,15
0.06,92,595.9333333333333,382.6,1574.4666666666667,804.3,15
0.06,93,684.6923076923077,425.38461538461536,1794.7692307692307,918.1292307692307,13
0.06,94,752.25,450.25,1954.75,1001.535,12
0.06,95,829.9090909090909,496.90909090909093,2156.7272727272725,1105.0036363636364,11
0.06,96,849,477,2175,1117.26,11
0.06,97,951.7,517.7,2421.1,1245.27,10
0.06,98,1056.7777777777778,566.4444444444445,2680,1379.2266666666667,9
0.06,99,1059.3333333333333,558,2676.6666666666665,1378.44,9
0.06,100,1213.375,622.375,3049.125,1571.8425,8
