a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,eventual_outcome
0.06,1,0,1492,0,2984,1611.36,decrease
0.06,1,1,1310,605,3225,1668.9,decrease
0.06,1,2,1135,902,3172,1604.64,decrease
0.06,1,3,948,1075,2971,1475.34,decrease
0.06,1,4,918,1071,2907,1441.26,decrease
0.06,1,5,840,1128,2808,1380.96,decrease
0.06,1,6,772,1329,2873,1391.94,decrease
0.06,1,7,796,1238,2830,1379.64,decrease
0.06,1,8,772,1268,2812,1366.32,decrease
0.06,1,9,730,1303,2763,1335.66,decrease
0.06,1,10,668,1349,2685,1288.02,decrease
0.06,1,11,687,1465,2839,1357.26,decrease
0.06,1,12,730,1503,2963,1419.66,decrease
0.06,1,13,724,1522,2970,1421.16,decrease
0.06,1,14,612,1466,2690,1276.68,decrease
0.06,1,15,585,1419,2589,1227.78,decrease
0.06,1,16,547,1381,2475,1170.78,decrease
0.06,1,17,507,1432,2446,1149,decrease
0.06,1,18,522,1409,2453,1155.54,decrease
0.06,1,19,503,1417,2423,1138.38,decrease
0.06,1,20,473,1437,2383,1114.38,decrease
0.06,1,21,437,1333,2207,1031.82,decrease
0.06,1,22,362,1343,2067,955.02,decrease
0.06,1,23,312,1349,1973,903.54,decrease
0.06,1,24,294,1294,1882,861,decrease
0.06,1,25,281,1264,1826,834.36,decrease
0.06,1,26,275,1289,1839,838.38,decrease
0.06,1,27,213,1248,1674,754.2,decrease
0.06,1,28,227,1157,1611,731.1,decrease
0.06,1,29,196,1055,1447,654.78,decrease
0.06,1,30,129,1071,1329,589.14,decrease
0.06,1,31,138,940,1216,543.84,decrease
0.06,1,32,102,867,1071,474.3,decrease
0.06,1,33,64,833,961,418.98,decrease
0.06,1,34,51,740,842,365.88,decrease
0.06,1,35,51,644,746,325.56,decrease
0.06,1,36,35,558,628,272.16,decrease
0.06,1,37,29,489,547,236.7,decrease
0.06,1,38,16,422,454,194.52,decrease
0.06,1,39,16,353,385,165.54,decrease
0.06,1,40,10,316,336,143.52,decrease
0.06,1,41,9,297,315,134.46,decrease
0.06,1,42,5,264,274,116.28,decrease
0.06,1,43,7,210,224,95.76,decrease
0.06,1,44,2,168,172,72.72,decrease
0.06,1,45,4,135,143,61.02,decrease
0.06,1,46,1,91,93,39.3,decrease
0.06,1,47,0,79,79,33.18,decrease
0.06,1,48,0,81,81,34.02,decrease
0.06,1,49,3,64,70,30.12,decrease
0.06,1,50,0,51,51,21.42,decrease
0.06,1,51,0,26,26,10.92,decrease
0.06,1,52,0,22,22,9.24,decrease
0.06,1,53,0,15,15,6.3,decrease
0.06,1,54,0,3,3,1.26,decrease
0.06,1,55,0,1,1,0.42,decrease
0.06,1,56,0,0,0,0,decrease
0.06,2,0,1582,0,3164,1708.56,increase
0.06,2,1,1256,638,3150,1624.44,increase
0.06,2,2,1139,847,3125,1585.86,increase
0.06,2,3,1081,989,3151,1582.86,increase
0.06,2,4,1071,1207,3349,1663.62,increase
0.06,2,5,1010,1264,3284,1621.68,increase
0.06,2,6,1087,1356,3530,1743.48,increase
0.06,2,7,1077,1372,3526,1739.4,increase
0.06,2,8,990,1382,3362,1649.64,increase
0.06,2,9,1056,1488,3600,1765.44,increase
0.06,2,10,1027,1602,3656,1782,increase
0.06,2,11,996,1647,3639,1767.42,increase
0.06,2,12,1013,1682,3708,1800.48,increase
0.06,2,13,1081,1667,3829,1867.62,increase
0.06,2,14,1090,1689,3869,1886.58,increase
0.06,2,15,1103,1624,3830,1873.32,increase
0.06,2,16,1096,1700,3892,1897.68,increase
0.06,2,17,1114,1813,4041,1964.58,increase
0.06,2,18,1143,1704,3990,1950.12,increase
0.06,2,19,1103,1764,3970,1932.12,increase
0.06,2,20,1161,1728,4050,1979.64,increase
0.06,2,21,1192,1746,4130,2020.68,increase
0.06,2,22,1211,1788,4210,2058.84,increase
0.06,2,23,1243,1899,4385,2140.02,increase
0.06,2,24,1216,1930,4362,2123.88,increase
0.06,2,25,1161,1943,4265,2069.94,increase
0.06,2,26,1244,1860,4348,2124.72,increase
0.06,2,27,1270,1766,4306,2113.32,increase
0.06,2,28,1243,1855,4341,2121.54,increase
0.06,2,29,1324,1860,4508,2211.12,increase
0.06,2,30,1412,1815,4639,2287.26,increase
0.06,2,31,1358,1820,4536,2231.04,increase
0.06,2,32,1468,1968,4904,2412,increase
0.06,2,33,1444,1830,4718,2328.12,increase
0.06,2,34,1587,1749,4923,2448.54,increase
0.06,2,35,1655,1811,5121,2548.02,increase
0.06,2,36,1620,1690,4930,2459.4,increase
0.06,2,37,1861,1674,5396,2712.96,increase
0.06,2,38,1856,1785,5497,2754.18,increase
0.06,2,39,1873,1799,5545,2778.42,increase
0.06,2,40,1852,1803,5507,2757.42,increase
0.06,2,41,1906,1856,5668,2838,increase
0.06,2,42,2047,1937,6031,3024.3,increase
0.06,2,43,2167,1949,6283,3158.94,increase
0.06,2,44,2163,1849,6175,3112.62,increase
0.06,2,45,2185,1789,6159,3111.18,increase
0.06,2,46,2276,1811,6363,3218.7,increase
0.06,2,47,2314,1753,6381,3235.38,increase
0.06,2,48,2360,1745,6465,3281.7,increase
0.06,2,49,2342,1797,6481,3284.1,increase
0.06,2,50,2431,1802,6664,3382.32,increase
0.06,2,51,2496,1733,6725,3423.54,increase
0.06,2,52,2675,1735,7085,3617.7,increase
0.06,2,53,2672,1795,7139,3639.66,increase
0.06,2,54,2798,1883,7479,3812.7,increase
0.06,2,55,2693,1924,7310,3716.52,increase
0.06,2,56,2725,1840,7290,3715.8,increase
0.06,2,57,2912,1820,7644,3909.36,increase
0.06,2,58,3077,1955,8109,4144.26,increase
0.06,2,59,2974,1865,7813,3995.22,increase
0.06,2,60,3209,1890,8308,4259.52,increase
0.06,2,61,3267,1909,8443,4330.14,increase
