uprime_x0.47	uprime_x0.5	uprime_x0.54	u_x0.47	u_x0.5	u_x0.54
0.0322581	0.59375	0	0	0.552632	0
0.0769231	0.517241	0	0.0714286	0.517241	0
0.129032	0.518519	0	0.285714	0.5	0
0.0384615	0.535714	0.09375	0.0192308	0.564103	0.0326087
0.075	0.75	0	0.15625	0.641304	0
0.075	0.766667	0	0.0638298	0.767857	0
0.08	0.62963	0	0.0333333	0.771429	0
0.04	0.72	0	0	0.569444	0.030303
0.0810811	0.6	0.030303	0.0945946	0.761905	0.0405405
0.121212	0.714286	0.0740741	0.155172	0.625	0.104167
0.1	0.809524	0	0.0285714	0.576923	0
0.0714286	0.76	0.0344828	0.0294118	0.583333	0.0340909
0.03125	0.612903	0	0.0416667	0.431034	0
0.0512821	0.777778	0	0.0714286	0.642857	0.0348837
0.0882353	0.62963	0.0416667	0.0735294	0.569444	0.0588235
0	0.69697	0.04	0.176471	0.695652	0
0.0606061	0.586207	0	0.106061	0.62069	0
0.0357143	0.68	0.0625	0.0227273	0.529412	0.125
0.08	0.689655	0	0.217391	0.583333	0
0.0232558	0.714286	0	0.0365854	0.596154	0
0.0833333	0.735294	0	0.142857	0.85	0.04
0	0.73913	0.0357143	0	0.74	0
0.0714286	0.730769	0.0344828	0.108696	0.793103	0
0	0.464286	0.04	0	0.364865	0
0.037037	0.466667	0.0666667	0	0.64	0.0454545
0.05	0.607143	0	0.0909091	0.709677	0
0.0714286	0.571429	0	0.238095	0.5	0.0416667
0.148148	0.575758	0.0434783	0.047619	0.5	0.0454545
0.0869565	0.4	0	0.14	0.615385	0.02
0.0689655	0.56	0.0285714	0.0238095	0.457143	0
0.030303	0.606061	0	0.0322581	0.621212	0
0.0666667	0.71875	0	0.0405405	0.775	0.0517241
0.0740741	0.6	0.0416667	0.0357143	0.807692	0.0652174
0.125	0.571429	0.0645161	0.138889	0.5	0.0192308
0.107143	0.675	0.030303	0.0735294	0.65625	0.0490196
0.0833333	0.53125	0.0285714	0.222222	0.525	0.0833333
0.0666667	0.769231	0.0243902	0.0277778	0.848837	0.097561
0.075	0.72	0	0.0967742	0.681818	0
0.0357143	0.692308	0	0.0833333	0.862069	0
