replicate,uprime_x0.47,uprime_x0.5,uprime_x0.54
1,0.0322581,0.608696,0.0869565
2,0.0588235,0.545455,0.037037
3,0,0.642857,0
4,0,0.68,0
5,0.0344828,0.65,0.037037
6,0.0227273,0.55,0.08
7,0.103448,0.846154,0
8,0.0555556,0.766667,0
9,0,0.608696,0.0454545
10,0.0333333,0.684211,0
11,0,0.892857,0.0285714
12,0,0.5666667,0.0909091
13,0.0588235,0.6,0
14,0.0689655,0.678571,0.0454545
15,0.0526316,0.636364,0
16,0,0.769231,0
17,0,0.638889,0
18,0.136364,0.5,0
19,0.0689655,0.75,0
20,0.125,0.363636,0
21,0,0.62963,0
22,0.115385,0.56,0
23,0.0454545,0.71875,0.0689655
24,0.04,0.653864,0.0333
25,0.1,0.714286,0
26,0.0322581,0.724138,0
27,0.0384615,0.695652,0.03125
28,0.0344828,0.478261,0.05
29,0.0294118,0.5,0.0357143
30,0.0689655,0.6,0
31,0.0434783,0.548387,0
32,0.030303,0.411765,0
33,0,0.7,0
34,0,0.62963,0.0285714
35,0.08,0.571429,0.03125
36,0.0416667,0.730769,0.04
37,0.0322581,0.56,0.0384615
38,0.047619,0.7,0
39,0.0588235,0.771429,0
40,0.0769231,0.642857,0
