replicate,x=0.47_freq,x=0.5_freq,x=0.54_freq,N
1,0.05,0.434783,0,30000
2,0,0.527778,0,30000
3,0.145833,0.807692,0,30000
4,0.0208333,0.677419,0.0769231,50000
5,0.161017,0.753731,0,50000
6,0,0.55,0,50000
7,0.0555556,0.828571,0.0178571,50000
8,0.025641,0.921053,0,30000
9,0.0285714,0.362069,0.0138889,30000
10,0,0.675,0.0454545,30000
11,0.117647,0.529412,0,30000
12,0,0.892857,0.0277778,30000
13,0,0.621622,0,30000
14,0,0.72,0,30000
15,0,0.8,0,30000
16,0.0517241,0.826087,0.0344828,30000
17,0,0.706897,0.0769231,30000
18,0.0789474,0.486486,0,30000
19,0.0151515,0.729167,0,30000
20,0,0.543478,0,30000
21,0,0.733333,0,30000
22,0.02,0.852941,0,30000
23,0,0.64,0.119048,30000
24,0.0357143,0.5625,0,30000
25,0,0.636364,0,30000
26,0.05,0.805556,0,30000
27,0.0882353,0.5,0,30000
28,0.134615,0.87931,0.0483871,30000
29,0.09375,0.571429,0.0344828,30000
30,0.0416667,0.416667,0.0625,30000
31,0.0322581,0.388889,0,30000
32,0,0.56,0,30000
33,0.0322581,0.65,0,30000
34,0.0435783,0.384615,0,30000
35,0.0227273,0.47619,0.0263158,30000
36,0.0285714,0.6875,0.111111,30000
37,0,0.944444,0,30000
38,0,0.76,0,30000
39,0,0.435484,0,30000
40,0,0.464286,0,30000
41,0.0555556,0.772727,0,30000
42,0.02,0.695652,0,30000
43,0.181818,0.741935,0.06,30000
44,0,0.865385,0,30000
45,0,0.537037,0,30000
