a,sigma,k,u_hat,outcome
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,increase
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,increase
0.002847368,0.01,0.2,0.05,increase
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,increase
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,increase
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.002847368,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,increase
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,increase
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,increase
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
0.003052632,0.01,0.2,0.05,decrease
