a,sigma,beta,k,u_hat,delta,p_increase
0.001,0.01,0.1,0.2,0.05,0.004776147715280654,0.08
0.001205263,0.01,0.1205263,0.2,0.05,0.004558130229024313,0.04
0.001410526,0.01,0.1410526,0.2,0.05,0.004350325332125997,0.12
0.001615789,0.01,0.1615789,0.2,0.05,0.004152296018038352,0.12
0.001821053,0.01,0.1821053,0.2,0.05,0.003963623293862579,0.12
0.002026316,0.01,0.20263159999999997,0.2,0.05,0.0037839089541738605,0.1
0.002231579,0.01,0.2231579,0.2,0.05,0.0036127692529305724,0.08
0.002436842,0.01,0.2436842,0.2,0.05,0.003449837846381699,0.06
0.002642105,0.01,0.2642105,0.2,0.05,0.0032947641113950316,0.24
0.002847368,0.01,0.28473679999999996,0.2,0.05,0.0031472124405575856,0.1
0.003052632,0.01,0.3052632,0.2,0.05,0.0030068609039321614,0.1
0.003257895,0.01,0.32578949999999995,0.2,0.05,0.0028734033090123414,0.12
0.003463158,0.01,0.3463158,0.2,0.05,0.002746544490736441,0.16
0.003668421,0.01,0.36684209999999995,0.2,0.05,0.0026260024987967024,0.24
0.003873684,0.01,0.3873684,0.2,0.05,0.00251150734279069,0.28
0.004078947,0.01,0.4078947,0.2,0.05,0.0024028004642956085,0.22
0.004284211,0.01,0.42842109999999994,0.2,0.05,0.0022996337440457626,0.34
0.004489474,0.01,0.4489474,0.2,0.05,0.0022017710052668065,0.32
0.004694737,0.01,0.4694737,0.2,0.05,0.0021089845420877583,0.34
0.005,0.01,0.5,0.2,0.05,0.00197991719469715,0.5
0.005,0.01,0.5,0.2,0.05,0.00197991719469715,0.46
0.005151515,0.01,0.5151515,0.2,0.05,0.00191963538101642,0.4
0.005151515,0.01,0.5151515,0.2,0.05,0.00191963538101642,0.42
0.00530303,0.01,0.530303,0.2,0.05,0.00186175437261093,0.48
0.00530303,0.01,0.530303,0.2,0.05,0.00186175437261093,0.42
0.005454545,0.01,0.5454545,0.2,0.05,0.00180619750987549,0.52
0.005454545,0.01,0.5454545,0.2,0.05,0.00180619750987549,0.58
0.005606061,0.01,0.5606061,0.2,0.05,0.00175289016715307,0.62
0.005606061,0.01,0.5606061,0.2,0.05,0.00175289016715307,0.56
0.005757576,0.01,0.5757576,0.2,0.05,0.00170176106889274,0.58
0.005757576,0.01,0.5757576,0.2,0.05,0.00170176106889274,0.38
0.005909091,0.01,0.5909091,0.2,0.05,0.00165274010574986,0.62
0.005909091,0.01,0.5909091,0.2,0.05,0.00165274010574986,0.66
0.006060606,0.01,0.6060606,0.2,0.05,0.00160575968500823,0.64
0.006060606,0.01,0.6060606,0.2,0.05,0.00160575968500823,0.64
0.006212121,0.01,0.6212121,0.2,0.05,0.00156075430263657,0.62
0.006212121,0.01,0.6212121,0.2,0.05,0.00156075430263657,0.62
0.006363636,0.01,0.6363635999999999,0.2,0.05,0.00151766047682617,0.58
0.006363636,0.01,0.6363635999999999,0.2,0.05,0.00151766047682617,0.68
0.006515152,0.01,0.6515152,0.2,0.05,0.00147641641752049,0.72
0.006515152,0.01,0.6515152,0.2,0.05,0.00147641641752049,0.76
0.006666667,0.01,0.6666667000000001,0.2,0.05,0.00143696304089997,0.88
0.006666667,0.01,0.6666667000000001,0.2,0.05,0.00143696304089997,0.84
0.006818182,0.01,0.6818181999999999,0.2,0.05,0.00139924227670505,0.86
0.006818182,0.01,0.6818181999999999,0.2,0.05,0.00139924227670505,0.82
0.006969697,0.01,0.6969697,0.2,0.05,0.00136319811080474,0.84
0.006969697,0.01,0.6969697,0.2,0.05,0.00136319811080474,0.76
0.007121212,0.01,0.7121212,0.2,0.05,0.00132877625086703,0.88
0.007272727,0.01,0.7272727,0.2,0.05,0.0012959240721387,0.84
0.007272727,0.01,0.7272727,0.2,0.05,0.0012959240721387,0.88
0.007424242,0.01,0.7424242,0.2,0.05,0.00126459056502128,0.8
0.007424242,0.01,0.7424242,0.2,0.05,0.00126459056502128,0.9
0.007575758,0.01,0.7575758,0.2,0.05,0.00123472609201808,0.9
0.007575758,0.01,0.7575758,0.2,0.05,0.00123472609201808,0.9
0.007727273,0.01,0.7727273,0.2,0.05,0.00120628311739067,0.94
0.007727273,0.01,0.7727273,0.2,0.05,0.00120628311739067,0.86
0.007878788,0.01,0.7878787999999999,0.2,0.05,0.00117921497760271,0.92
0.007878788,0.01,0.7878787999999999,0.2,0.05,0.00117921497760271,0.94
0.008030303,0.01,0.8030303000000001,0.2,0.05,0.00115347663321299,0.92
0.008181818,0.01,0.8181818000000001,0.2,0.05,0.00112902442263391,0.98
0.008181818,0.01,0.8181818000000001,0.2,0.05,0.00112902442263391,0.98
0.008333333,0.01,0.8333332999999999,0.2,0.05,0.00110581601924107,0.96
0.008333333,0.01,0.8333332999999999,0.2,0.05,0.00110581601924107,0.94
0.008484848,0.01,0.8484847999999999,0.2,0.05,0.00108381038988394,0.94
0.008484848,0.01,0.8484847999999999,0.2,0.05,0.00108381038988394,0.98
0.008636364,0.01,0.8636364000000001,0.2,0.05,0.00106296762094048,0.96
0.008636364,0.01,0.8636364000000001,0.2,0.05,0.00106296762094048,0.98
0.008787879,0.01,0.8787879,0.2,0.05,0.00104324942202002,1
0.008787879,0.01,0.8787879,0.2,0.05,0.00104324942202002,1
0.008939394,0.01,0.8939393999999999,0.2,0.05,0.00102461826340692,0.98
0.008939394,0.01,0.8939393999999999,0.2,0.05,0.00102461826340692,0.96
0.009090909,0.01,0.9090909,0.2,0.05,0.00100703789732907,0.96
0.009090909,0.01,0.9090909,0.2,0.05,0.00100703789732907,0.98
0.009242424,0.01,0.9242424,0.2,0.05,9.904731814265998e-4,1
0.009242424,0.01,0.9242424,0.2,0.05,9.904731814265998e-4,1
0.009393939,0.01,0.9393939,0.2,0.05,9.74890044712843e-4,0.98
0.009393939,0.01,0.9393939,0.2,0.05,9.74890044712843e-4,1
0.009545455,0.01,0.9545455,0.2,0.05,9.602553611030936e-4,1
0.009545455,0.01,0.9545455,0.2,0.05,9.602553611030936e-4,0.98
0.00969697,0.01,0.969697,0.2,0.05,9.465372975943964e-4,1
0.00969697,0.01,0.969697,0.2,0.05,9.465372975943964e-4,0.98
0.009848485,0.01,0.9848485,0.2,0.05,9.337047041934212e-4,1
0.009848485,0.01,0.9848485,0.2,0.05,9.337047041934212e-4,1
0.01,0.01,1,0.2,0.05,9.2172747640942e-4,1
0.01,0.01,1,0.2,0.05,9.2172747640942e-4,1
0.010151515,0.01,1.0151515,0.2,0.05,9.105764266568022e-4,1
0.010151515,0.01,1.0151515,0.2,0.05,9.105764266568022e-4,1
0.01030303,0.01,1.030303,0.2,0.05,9.002232562635245e-4,1
0.01030303,0.01,1.030303,0.2,0.05,9.002232562635245e-4,1
0.010454545,0.01,1.0454545,0.2,0.05,8.906405283713479e-4,1
0.010454545,0.01,1.0454545,0.2,0.05,8.906405283713479e-4,1
0.010606061,0.01,1.0606061,0.2,0.05,8.818015857587292e-4,1
0.010606061,0.01,1.0606061,0.2,0.05,8.818015857587292e-4,1
0.010757576,0.01,1.0757576,0.2,0.05,8.7368075384829e-4,1
0.010757576,0.01,1.0757576,0.2,0.05,8.7368075384829e-4,1
0.010909091,0.01,1.0909091,0.2,0.05,8.662529663416964e-4,1
0.010909091,0.01,1.0909091,0.2,0.05,8.662529663416964e-4,1
0.011060606,0.01,1.1060606,0.2,0.05,8.59493979451474e-4,1
0.011060606,0.01,1.1060606,0.2,0.05,8.59493979451474e-4,1
0.011212121,0.01,1.1212121,0.2,0.05,8.533802880682007e-4,1
0.011212121,0.01,1.1212121,0.2,0.05,8.533802880682007e-4,1
0.011363636,0.01,1.1363636,0.2,0.05,8.478891034171465e-4,1
0.011363636,0.01,1.1363636,0.2,0.05,8.478891034171465e-4,1
0.011515152,0.01,1.1515152,0.2,0.05,8.429983010723591e-4,0.98
0.011515152,0.01,1.1515152,0.2,0.05,8.429983010723591e-4,1
0.011666667,0.01,1.1666667,0.2,0.05,8.3868652512841e-4,1
0.011666667,0.01,1.1666667,0.2,0.05,8.3868652512841e-4,1
0.011818182,0.01,1.1818182,0.2,0.05,8.34932974433169e-4,1
0.011818182,0.01,1.1818182,0.2,0.05,8.34932974433169e-4,1
0.011969697,0.01,1.1969697,0.2,0.05,8.317175158296924e-4,1
0.011969697,0.01,1.1969697,0.2,0.05,8.317175158296924e-4,1
0.012121212,0.01,1.2121212,0.2,0.05,8.290206308644165e-4,1
0.012121212,0.01,1.2121212,0.2,0.05,8.290206308644165e-4,1
0.012272727,0.01,1.2272727,0.2,0.05,8.268233973257407e-4,1
0.012272727,0.01,1.2272727,0.2,0.05,8.268233973257407e-4,1
0.012424242,0.01,1.2424242,0.2,0.05,8.251074713569919e-4,1
0.012424242,0.01,1.2424242,0.2,0.05,8.251074713569919e-4,1
0.012575758,0.01,1.2575758,0.2,0.05,8.238550633504429e-4,1
0.012575758,0.01,1.2575758,0.2,0.05,8.238550633504429e-4,1
0.012727273,0.01,1.2727273,0.2,0.05,8.23048951140574e-4,1
0.012878788,0.01,1.2878788,0.2,0.05,8.226724143050667e-4,1
0.012878788,0.01,1.2878788,0.2,0.05,8.226724143050667e-4,1
0.013030303,0.01,1.3030303,0.2,0.05,8.227092543806225e-4,1
