a,sigma,k,u_hat,delta,p_increase
1e-4,0.01,0.2,0.15,-5.89e-6,0
0.001109091,0.01,0.2,0.15,-5.29e-5,0
0.002118182,0.01,0.2,0.15,-7.88e-5,0
0.003127273,0.01,0.2,0.15,-8.6e-5,0
0.004136364,0.01,0.2,0.15,-7.66e-5,0
0.005145455,0.01,0.2,0.15,-5.29e-5,0
0.006154545,0.01,0.2,0.15,-1.7e-5,0
0.007163636,0.01,0.2,0.15,2.91e-5,0
0.008172727,0.01,0.2,0.15,8.37e-5,0
0.009181818,0.01,0.2,0.15,1.45094e-4,0
0.010190909,0.01,0.2,0.15,2.1181e-4,0
0.0112,0.01,0.2,0.15,2.8253e-4,0
0.012209091,0.01,0.2,0.15,3.56089e-4,0
0.013218182,0.01,0.2,0.15,4.3147e-4,0
0.014227273,0.01,0.2,0.15,5.07792e-4,0
0.015236364,0.01,0.2,0.15,5.84299e-4,0.04
0.016245455,0.01,0.2,0.15,6.60351e-4,0.12
0.017254545,0.01,0.2,0.15,7.3541e-4,0.2
0.018263636,0.01,0.2,0.15,8.09031e-4,0.26
0.019272727,0.01,0.2,0.15,8.80852e-4,0.48
0.020281818,0.01,0.2,0.15,9.50585e-4,0.7
0.021290909,0.01,0.2,0.15,0.001018004,0.86
0.0223,0.01,0.2,0.15,0.001082939,0.94
0.023309091,0.01,0.2,0.15,0.001145271,1
0.024318182,0.01,0.2,0.15,0.001204921,1
0.025327273,0.01,0.2,0.15,0.001261844,1
0.026336364,0.01,0.2,0.15,0.001316028,1
0.027345455,0.01,0.2,0.15,0.001367485,1
0.028354545,0.01,0.2,0.15,0.001416247,1
0.029363636,0.01,0.2,0.15,0.001462366,1
0.030372727,0.01,0.2,0.15,0.001505905,1
0.031381818,0.01,0.2,0.15,0.001546939,1
0.032390909,0.01,0.2,0.15,0.001585552,1
0.0334,0.01,0.2,0.15,0.001621834,1
0.034409091,0.01,0.2,0.15,0.001655878,1
0.035418182,0.01,0.2,0.15,0.001687784,1
0.036427273,0.01,0.2,0.15,0.001717648,1
0.037436364,0.01,0.2,0.15,0.001745571,1
0.038445455,0.01,0.2,0.15,0.00177165,1
0.039454545,0.01,0.2,0.15,0.001795985,1
0.040463636,0.01,0.2,0.15,0.00181867,1
0.041472727,0.01,0.2,0.15,0.001839798,1
0.042481818,0.01,0.2,0.15,0.001859459,1
0.043490909,0.01,0.2,0.15,0.001877742,1
0.0445,0.01,0.2,0.15,0.00189473,1
0.045509091,0.01,0.2,0.15,0.001910502,1
0.046518182,0.01,0.2,0.15,0.001925138,1
0.047527273,0.01,0.2,0.15,0.001938708,1
0.048536364,0.01,0.2,0.15,0.001951284,1
0.049545455,0.01,0.2,0.15,0.001962931,1
0.050554545,0.01,0.2,0.15,0.001973712,1
0.051563636,0.01,0.2,0.15,0.001983686,1
0.052572727,0.01,0.2,0.15,0.001992908,1
0.053581818,0.01,0.2,0.15,0.002001431,1
0.054590909,0.01,0.2,0.15,0.002009305,1
0.0556,0.01,0.2,0.15,0.002016575,1
0.056609091,0.01,0.2,0.15,0.002023284,1
0.057618182,0.01,0.2,0.15,0.002029475,1
0.058627273,0.01,0.2,0.15,0.002035183,1
0.059636364,0.01,0.2,0.15,0.002040445,1
0.060645455,0.01,0.2,0.15,0.002045295,1
0.061654545,0.01,0.2,0.15,0.002049762,1
0.062663636,0.01,0.2,0.15,0.002053875,1
0.063672727,0.01,0.2,0.15,0.002057662,1
0.064681818,0.01,0.2,0.15,0.002061146,1
0.065690909,0.01,0.2,0.15,0.002064352,1
0.0667,0.01,0.2,0.15,0.0020673,1
0.067709091,0.01,0.2,0.15,0.002070011,1
0.068718182,0.01,0.2,0.15,0.002072503,1
0.069727273,0.01,0.2,0.15,0.0020747920000000002,1
0.070736364,0.01,0.2,0.15,0.002076896,1
0.071745455,0.01,0.2,0.15,0.002078827,1
0.072754545,0.01,0.2,0.15,0.002080601,1
0.073763636,0.01,0.2,0.15,0.002082229,1
0.074772727,0.01,0.2,0.15,0.002083724,1
0.075781818,0.01,0.2,0.15,0.002085095,1
0.076790909,0.01,0.2,0.15,0.002086353,1
0.0778,0.01,0.2,0.15,0.002087507,1
0.078809091,0.01,0.2,0.15,0.002088565,1
0.079818182,0.01,0.2,0.15,0.002089535,1
0.080827273,0.01,0.2,0.15,0.002090424,1
0.081836364,0.01,0.2,0.15,0.002091239,1
0.082845455,0.01,0.2,0.15,0.002091986,1
0.083854545,0.01,0.2,0.15,0.00209267,1
0.084863636,0.01,0.2,0.15,0.002093297,1
0.085872727,0.01,0.2,0.15,0.00209387,1
0.086881818,0.01,0.2,0.15,0.002094396,1
0.087890909,0.01,0.2,0.15,0.002094877,1
0.0889,0.01,0.2,0.15,0.002095317,1
0.089909091,0.01,0.2,0.15,0.00209572,1
0.090918182,0.01,0.2,0.15,0.002096089,1
0.091927273,0.01,0.2,0.15,0.002096426,1
0.092936364,0.01,0.2,0.15,0.002096735,1
0.093945455,0.01,0.2,0.15,0.002097017,1
0.094954545,0.01,0.2,0.15,0.002097276,1
0.095963636,0.01,0.2,0.15,0.002097512,1
0.096972727,0.01,0.2,0.15,0.002097728,1
0.097981818,0.01,0.2,0.15,0.002097925,1
0.098990909,0.01,0.2,0.15,0.002098105,1
0.1,0.01,0.2,0.15,0.00209827,1
0.12,0.01,0.2,0.15,0.00209972,1
0.137959184,0.01,0.2,0.15,0.002099947,1
0.155918367,0.01,0.2,0.15,0.00209999,1
0.173877551,0.01,0.2,0.15,0.002099998,1
0.191836735,0.01,0.2,0.15,0.0021,1
0.209795918,0.01,0.2,0.15,0.0021,1
0.227755102,0.01,0.2,0.15,0.0021,1
0.245714286,0.01,0.2,0.15,0.0021,1
0.263673469,0.01,0.2,0.15,0.0021,1
0.281632653,0.01,0.2,0.15,0.0021,1
0.299591837,0.01,0.2,0.15,0.0021,1
0.31755102,0.01,0.2,0.15,0.0021,1
0.335510204,0.01,0.2,0.15,0.0021,1
0.353469388,0.01,0.2,0.15,0.0021,1
0.371428571,0.01,0.2,0.15,0.0021,1
0.389387755,0.01,0.2,0.15,0.0021,1
0.407346939,0.01,0.2,0.15,0.0021,1
0.425306122,0.01,0.2,0.15,0.0021,1
0.443265306,0.01,0.2,0.15,0.0021,1
0.46122449,0.01,0.2,0.15,0.0021,1
0.479183673,0.01,0.2,0.15,0.0021,1
0.497142857,0.01,0.2,0.15,0.0021,1
0.515102041,0.01,0.2,0.15,0.0021,1
0.533061224,0.01,0.2,0.15,0.0021,1
0.551020408,0.01,0.2,0.15,0.0021,1
0.568979592,0.01,0.2,0.15,0.0021,1
