a,sigma,beta,k,u_hat,delta_correct
0,0.01,0,0.2,0.1,0
2.5789473684210523e-4,0.01,0.025789473684210522,0.2,0.1,-9.589939523003998e-6
5.157894736842105e-4,0.01,0.051578947368421044,0.2,0.1,-1.775149842887303e-5
7.736842105263157e-4,0.01,0.07736842105263157,0.2,0.1,-2.452024526775477e-5
0.001031578947368421,0.01,0.10315789473684209,0.2,0.1,-2.9932419115114234e-5
0.001289473684210526,0.01,0.12894736842105262,0.2,0.1,-3.40247941620752e-5
0.0015473684210526315,0.01,0.15473684210526314,0.2,0.1,-3.6834554697914466e-5
0.0018052631578947367,0.01,0.18052631578947367,0.2,0.1,-3.839917984564136e-5
0.002063157894736842,0.01,0.20631578947368417,0.2,0.1,-3.875633744739471e-5
0.0023210526315789472,0.01,0.23210526315789473,0.2,0.1,-3.794378653014258e-5
0.002578947368421052,0.01,0.25789473684210523,0.2,0.1,-3.599928781427512e-5
0.0028368421052631576,0.01,0.28368421052631576,0.2,0.1,-3.296052175794399e-5
0.003094736842105263,0.01,0.3094736842105263,0.2,0.1,-2.8865013658726374e-5
0.003352631578947368,0.01,0.33526315789473676,0.2,0.1,-2.3750065361331264e-5
0.0036105263157894733,0.01,0.36105263157894735,0.2,0.1,-1.7652693145764255e-5
0.0038684210526315783,0.01,0.3868421052631578,0.2,0.1,-1.0609571394684138e-5
0.004126315789473684,0.01,0.41263157894736835,0.2,0.1,-2.6569816616844183e-6
0.004384210526315789,0.01,0.4384210526315789,0.2,0.1,6.169233215998909e-6
0.0046421052631578945,0.01,0.46421052631578946,0.2,0.1,1.5833710296299895e-5
0.0049,0.01,0.49,0.2,0.1,2.630160331903303e-5
0.005,0.01,0.5,0.2,0.1,3.056938177686645e-5
0.005,0.01,0.5,0.2,0.1,3.056938177686645e-5
0.005151515,0.01,0.5151515,0.2,0.1,3.725162815768155e-5
0.005151515,0.01,0.5151515,0.2,0.1,3.725162815768155e-5
0.00530303,0.01,0.530303,0.2,0.1,4.418798282870319e-5
0.00530303,0.01,0.530303,0.2,0.1,4.418798282870319e-5
0.005454545,0.01,0.5454545,0.2,0.1,5.137170142896323e-5
0.005454545,0.01,0.5454545,0.2,0.1,5.137170142896323e-5
0.005606061,0.01,0.5606061,0.2,0.1,5.879616285331835e-5
0.005606061,0.01,0.5606061,0.2,0.1,5.879616285331835e-5
0.005757576,0.01,0.5757576,0.2,0.1,6.645467311367816e-5
0.005757576,0.01,0.5757576,0.2,0.1,6.645467311367816e-5
0.005909091,0.01,0.5909091,0.2,0.1,7.434076074813376e-5
0.005909091,0.01,0.5909091,0.2,0.1,7.434076074813376e-5
0.006060606,0.01,0.6060606,0.2,0.1,8.24479835712039e-5
0.006060606,0.01,0.6060606,0.2,0.1,8.24479835712039e-5
0.006212121,0.01,0.6212121,0.2,0.1,9.076997799137374e-5
0.006212121,0.01,0.6212121,0.2,0.1,9.076997799137374e-5
0.006363636,0.01,0.6363635999999999,0.2,0.1,9.930046000522844e-5
0.006363636,0.01,0.6363635999999999,0.2,0.1,9.930046000522844e-5
0.006515152,0.01,0.6515152,0.2,0.1,1.080332843775289e-4
0.006515152,0.01,0.6515152,0.2,0.1,1.080332843775289e-4
0.006666667,0.01,0.6666667000000001,0.2,0.1,1.1696221354440955e-4
0.006666667,0.01,0.6666667000000001,0.2,0.1,1.1696221354440955e-4
0.006818182,0.01,0.6818181999999999,0.2,0.1,1.2608126418644887e-4
0.006818182,0.01,0.6818181999999999,0.2,0.1,1.2608126418644887e-4
0.006969697,0.01,0.6969697,0.2,0.1,1.35384478574474e-4
0.006969697,0.01,0.6969697,0.2,0.1,1.35384478574474e-4
0.007121212,0.01,0.7121212,0.2,0.1,1.4486598206163957e-4
0.007121212,0.01,0.7121212,0.2,0.1,1.4486598206163957e-4
0.007272727,0.01,0.7272727,0.2,0.1,1.5451998351696632e-4
0.007272727,0.01,0.7272727,0.2,0.1,1.5451998351696632e-4
0.007424242,0.01,0.7424242,0.2,0.1,1.643407756797919e-4
0.007424242,0.01,0.7424242,0.2,0.1,1.643407756797919e-4
0.007575758,0.01,0.7575758,0.2,0.1,1.7432280183937113e-4
0.007575758,0.01,0.7575758,0.2,0.1,1.7432280183937113e-4
0.007727273,0.01,0.7727273,0.2,0.1,1.8446039144848908e-4
0.007727273,0.01,0.7727273,0.2,0.1,1.8446039144848908e-4
0.007878788,0.01,0.7878787999999999,0.2,0.1,1.947481556030025e-4
0.007878788,0.01,0.7878787999999999,0.2,0.1,1.947481556030025e-4
0.008030303,0.01,0.8030303000000001,0.2,0.1,2.0518072461196864e-4
0.008030303,0.01,0.8030303000000001,0.2,0.1,2.0518072461196864e-4
0.008181818,0.01,0.8181818000000001,0.2,0.1,2.1575281336442056e-4
0.008181818,0.01,0.8181818000000001,0.2,0.1,2.1575281336442056e-4
0.008333333,0.01,0.8333332999999999,0.2,0.1,2.264592212820049e-4
0.008333333,0.01,0.8333332999999999,0.2,0.1,2.264592212820049e-4
0.008484848,0.01,0.8484847999999999,0.2,0.1,2.3729483221558018e-4
