a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.005,0.01,0.5,0.2,0.1,0.00189220292559657,0.02,3.056938177686645e-5
0.005,0.01,0.5,0.2,0.1,0.00189220292559657,0,3.056938177686645e-5
0.005151515,0.01,0.5151515,0.2,0.1,0.00182963407494652,0.02,3.725162815768155e-5
0.005151515,0.01,0.5151515,0.2,0.1,0.00182963407494652,0,3.725162815768155e-5
0.00530303,0.01,0.530303,0.2,0.1,0.00176948680917288,0.02,4.418798282870319e-5
0.00530303,0.01,0.530303,0.2,0.1,0.00176948680917288,0.04,4.418798282870319e-5
0.005454545,0.01,0.5454545,0.2,0.1,0.00171168436087779,0.02,5.137170142896323e-5
0.005454545,0.01,0.5454545,0.2,0.1,0.00171168436087779,0,5.137170142896323e-5
0.005606061,0.01,0.5606061,0.2,0.1,0.00165615198053712,0,5.879616285331835e-5
0.005606061,0.01,0.5606061,0.2,0.1,0.00165615198053712,0,5.879616285331835e-5
0.005757576,0.01,0.5757576,0.2,0.1,0.00160281831133146,0,6.645467311367816e-5
0.005757576,0.01,0.5757576,0.2,0.1,0.00160281831133146,0,6.645467311367816e-5
0.005909091,0.01,0.5909091,0.2,0.1,0.00155161311720281,0,7.434076074813376e-5
0.005909091,0.01,0.5909091,0.2,0.1,0.00155161311720281,0,7.434076074813376e-5
0.006060606,0.01,0.6060606,0.2,0.1,0.0015024686922171,0.02,8.24479835712039e-5
0.006060606,0.01,0.6060606,0.2,0.1,0.0015024686922171,0,8.24479835712039e-5
0.006212121,0.01,0.6212121,0.2,0.1,0.0014553194179309,0,9.076997799137374e-5
0.006212121,0.01,0.6212121,0.2,0.1,0.0014553194179309,0.02,9.076997799137374e-5
0.006363636,0.01,0.6363635999999999,0.2,0.1,0.00141010169699055,0,9.930046000522844e-5
0.006363636,0.01,0.6363635999999999,0.2,0.1,0.00141010169699055,0.04,9.930046000522844e-5
0.006515152,0.01,0.6515152,0.2,0.1,0.00136675360890057,0.02,1.080332843775289e-4
0.006515152,0.01,0.6515152,0.2,0.1,0.00136675360890057,0.02,1.080332843775289e-4
0.006666667,0.01,0.6666667000000001,0.2,0.1,0.00132521597998155,0,1.1696221354440955e-4
0.006666667,0.01,0.6666667000000001,0.2,0.1,0.00132521597998155,0.02,1.1696221354440955e-4
0.006818182,0.01,0.6818181999999999,0.2,0.1,0.00128543060743214,0,1.2608126418644887e-4
0.006818182,0.01,0.6818181999999999,0.2,0.1,0.00128543060743214,0,1.2608126418644887e-4
0.006969697,0.01,0.6969697,0.2,0.1,0.0012473413576294,0.02,1.35384478574474e-4
0.006969697,0.01,0.6969697,0.2,0.1,0.0012473413576294,0,1.35384478574474e-4
0.007121212,0.01,0.7121212,0.2,0.1,0.00121089381790114,0,1.4486598206163957e-4
0.007121212,0.01,0.7121212,0.2,0.1,0.00121089381790114,0.02,1.4486598206163957e-4
0.007272727,0.01,0.7272727,0.2,0.1,0.00117603524235824,0.02,1.5451998351696632e-4
0.007272727,0.01,0.7272727,0.2,0.1,0.00117603524235824,0.02,1.5451998351696632e-4
0.007424242,0.01,0.7424242,0.2,0.1,0.00114271449952181,0.02,1.643407756797919e-4
0.007424242,0.01,0.7424242,0.2,0.1,0.00114271449952181,0.02,1.643407756797919e-4
0.007575758,0.01,0.7575758,0.2,0.1,0.00111088181639242,0.02,1.7432280183937113e-4
0.007575758,0.01,0.7575758,0.2,0.1,0.00111088181639242,0.02,1.7432280183937113e-4
0.007727273,0.01,0.7727273,0.2,0.1,0.00108048955998967,0.04,1.8446039144848908e-4
0.007727273,0.01,0.7727273,0.2,0.1,0.00108048955998967,0.06,1.8446039144848908e-4
0.007878788,0.01,0.7878787999999999,0.2,0.1,0.00105149092990376,0.06,1.947481556030025e-4
0.007878788,0.01,0.7878787999999999,0.2,0.1,0.00105149092990376,0.02,1.947481556030025e-4
0.008030303,0.01,0.8030303000000001,0.2,0.1,0.00102384076231951,0.02,2.0518072461196864e-4
0.008030303,0.01,0.8030303000000001,0.2,0.1,0.00102384076231951,0.02,2.0518072461196864e-4
0.008181818,0.01,0.8181818000000001,0.2,0.1,9.97495270766778e-4,0,2.1575281336442056e-4
0.008181818,0.01,0.8181818000000001,0.2,0.1,9.97495270766778e-4,0.08,2.1575281336442056e-4
0.008333333,0.01,0.8333332999999999,0.2,0.1,9.724120032733256e-4,0.02,2.264592212820049e-4
0.008333333,0.01,0.8333332999999999,0.2,0.1,9.724120032733256e-4,0.08,2.264592212820049e-4
0.008484848,0.01,0.8484847999999999,0.2,0.1,9.485498009178612e-4,0.08,2.3729483221558018e-4
0.008484848,0.01,0.8484847999999999,0.2,0.1,9.485498009178612e-4,0.08,2.3729483221558018e-4
0.008636364,0.01,0.8636364000000001,0.2,0.1,9.258686118517926e-4,0.1,2.4825468702215255e-4
0.008636364,0.01,0.8636364000000001,0.2,0.1,9.258686118517926e-4,0.08,2.4825468702215255e-4
0.008787879,0.01,0.8787879,0.2,0.1,9.043300434560612e-4,0.1,2.5933369319485443e-4
0.008787879,0.01,0.8787879,0.2,0.1,9.043300434560612e-4,0.08,2.5933369319485443e-4
0.008939394,0.01,0.8939393999999999,0.2,0.1,8.8389642702382e-4,0.08,2.705270586650325e-4
0.008939394,0.01,0.8939393999999999,0.2,0.1,8.8389642702382e-4,0.06,2.705270586650325e-4
0.009090909,0.01,0.9090909,0.2,0.1,8.645313877195908e-4,0.16,2.818300029448408e-4
0.009090909,0.01,0.9090909,0.2,0.1,8.645313877195908e-4,0.12,2.818300029448408e-4
0.009242424,0.01,0.9242424,0.2,0.1,8.461996558913547e-4,0.22,2.9323782871481553e-4
0.009242424,0.01,0.9242424,0.2,0.1,8.461996558913547e-4,0.16,2.9323782871481553e-4
0.009393939,0.01,0.9393939,0.2,0.1,8.28867033067076e-4,0.12,3.0474592144067586e-4
0.009393939,0.01,0.9393939,0.2,0.1,8.28867033067076e-4,0.2,3.0474592144067586e-4
0.009545455,0.01,0.9545455,0.2,0.1,8.125002541434633e-4,0.3,3.163498258432519e-4
0.009545455,0.01,0.9545455,0.2,0.1,8.125002541434633e-4,0.14,3.163498258432519e-4
0.00969697,0.01,0.969697,0.2,0.1,7.970673812114174e-4,0.24,3.280449384631852e-4
0.00969697,0.01,0.969697,0.2,0.1,7.970673812114174e-4,0.18,3.280449384631852e-4
0.009848485,0.01,0.9848485,0.2,0.1,7.825371249272002e-4,0.28,3.398269667254962e-4
0.009848485,0.01,0.9848485,0.2,0.1,7.825371249272002e-4,0.24,3.398269667254962e-4
0.01,0.01,1,0.2,0.1,7.688792528779973e-4,0.28,3.5169162267188574e-4
0.01,0.01,1,0.2,0.1,7.688792528779973e-4,0.3,3.5169162267188574e-4
0.010151515,0.01,1.0151515,0.2,0.1,7.560644495261714e-4,0.48,3.636346986814719e-4
0.010151515,0.01,1.0151515,0.2,0.1,7.560644495261714e-4,0.24,3.636346986814719e-4
0.01030303,0.01,1.030303,0.2,0.1,7.440642882474873e-4,0.44,3.756520668888874e-4
0.010454545,0.01,1.0454545,0.2,0.1,7.328512042603026e-4,0.26,3.8773967857595737e-4
0.010454545,0.01,1.0454545,0.2,0.1,7.328512042603026e-4,0.34,3.8773967857595737e-4
0.010606061,0.01,1.0606061,0.2,0.1,7.223984018793009e-4,0.44,3.998936439643785e-4
0.010606061,0.01,1.0606061,0.2,0.1,7.223984018793009e-4,0.42,3.998936439643785e-4
0.010757576,0.01,1.0757576,0.2,0.1,7.126801000467546e-4,0.5,4.121099102552001e-4
0.010757576,0.01,1.0757576,0.2,0.1,7.126801000467546e-4,0.4,4.121099102552001e-4
0.010909091,0.01,1.0909091,0.2,0.1,7.036710940865628e-4,0.52,4.243847422838575e-4
0.010909091,0.01,1.0909091,0.2,0.1,7.036710940865628e-4,0.5,4.243847422838575e-4
0.011060606,0.01,1.1060606,0.2,0.1,6.953470126752602e-4,0.52,4.3671440136640316e-4
0.011060606,0.01,1.1060606,0.2,0.1,6.953470126752602e-4,0.56,4.3671440136640316e-4
0.011212121,0.01,1.1212121,0.2,0.1,6.876842233282392e-4,0.66,4.490952245843217e-4
