a,sigma,beta,k,u_hat,delta,p_increase
0.005,0.01,0.5,0.2,0.1,0.0018922029255965798,0.02
0.005,0.01,0.5,0.2,0.1,0.0018922029255965798,0
0.005151515,0.01,0.5151515,0.2,0.1,0.001829634074946523,0.02
0.005151515,0.01,0.5151515,0.2,0.1,0.001829634074946523,0
0.00530303,0.01,0.530303,0.2,0.1,0.0017694868091728839,0.02
0.00530303,0.01,0.530303,0.2,0.1,0.0017694868091728839,0.04
0.005454545,0.01,0.5454545,0.2,0.1,0.0017116843608777962,0.02
0.005454545,0.01,0.5454545,0.2,0.1,0.0017116843608777962,0
0.005606061,0.01,0.5606061,0.2,0.1,0.0016561519805371298,0
0.005606061,0.01,0.5606061,0.2,0.1,0.0016561519805371298,0
0.005757576,0.01,0.5757576,0.2,0.1,0.001602818311331463,0
0.005757576,0.01,0.5757576,0.2,0.1,0.001602818311331463,0
0.005909091,0.01,0.5909091,0.2,0.1,0.0015516131172028124,0
0.005909091,0.01,0.5909091,0.2,0.1,0.0015516131172028124,0
0.006060606,0.01,0.6060606,0.2,0.1,0.001502468692217104,0.02
0.006060606,0.01,0.6060606,0.2,0.1,0.001502468692217104,0
0.006212121,0.01,0.6212121,0.2,0.1,0.0014553194179309041,0
0.006212121,0.01,0.6212121,0.2,0.1,0.0014553194179309041,0.02
0.006363636,0.01,0.6363635999999999,0.2,0.1,0.0014101016969905505,0
0.006363636,0.01,0.6363635999999999,0.2,0.1,0.0014101016969905505,0.04
0.006515152,0.01,0.6515152,0.2,0.1,0.001366753608900572,0.02
0.006515152,0.01,0.6515152,0.2,0.1,0.001366753608900572,0.02
0.006666667,0.01,0.6666667000000001,0.2,0.1,0.001325215979981553,0
0.006666667,0.01,0.6666667000000001,0.2,0.1,0.001325215979981553,0.02
0.006818182,0.01,0.6818181999999999,0.2,0.1,0.0012854306074321486,0
0.006818182,0.01,0.6818181999999999,0.2,0.1,0.0012854306074321486,0
0.006969697,0.01,0.6969697,0.2,0.1,0.0012473413576294065,0.02
0.006969697,0.01,0.6969697,0.2,0.1,0.0012473413576294065,0
0.007121212,0.01,0.7121212,0.2,0.1,0.0012108938179011424,0
0.007121212,0.01,0.7121212,0.2,0.1,0.0012108938179011424,0.02
0.007272727,0.01,0.7272727,0.2,0.1,0.001176035242358244,0.02
0.007272727,0.01,0.7272727,0.2,0.1,0.001176035242358244,0.02
0.007424242,0.01,0.7424242,0.2,0.1,0.0011427144995218145,0.02
0.007424242,0.01,0.7424242,0.2,0.1,0.0011427144995218145,0.02
0.007575758,0.01,0.7575758,0.2,0.1,0.0011108818163924224,0.02
