a,sigma,k,u_hat,delta,outcome
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0273,0.01,0.2,0.2,0.001102596,decrease
0.0273,0.01,0.2,0.2,0.001102596,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,decrease
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0276,0.01,0.2,0.2,0.001116494,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,decrease
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0279,0.01,0.2,0.2,0.001130176,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
