a,sigma,k,u_hat,delta,outcome
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.003,0.01,0.2,0.2,-0.00014155,increase
