a,sigma,k,u_hat,outcome
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.03,0.01,0.2,0.2,increase
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
0.011818182,0.01,0.2,0.2,decrease
