a,sigma,k,u_hat,outcome
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,increase
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020172414,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,increase
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020413793,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,increase
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020655172,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,increase
0.020896552,0.01,0.2,0.2,decrease
0.020896552,0.01,0.2,0.2,decrease
