a,sigma,k,u_hat,outcome
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,increase
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.021413793,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,decrease
0.022793103,0.01,0.2,0.2,increase
0.022793103,0.01,0.2,0.2,decrease
