a,sigma,k,u_hat,outcome
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.081034483,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.084482759,0.01,0.2,0.2,increase
0.087931034,0.01,0.2,0.2,increase
0.087931034,0.01,0.2,0.2,increase
0.087931034,0.01,0.2,0.2,increase
0.087931034,0.01,0.2,0.2,increase
0.087931034,0.01,0.2,0.2,increase
