a,sigma,beta,k,u_hat,outcome,delta
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.009,0.01,0.8999999999999999,0.2,0.2,decrease,5.931485161302532e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,increase,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.01037931,0.01,1.037931,0.2,0.2,decrease,4.2435871234734247e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
0.011758621,0.01,1.1758621,0.2,0.2,decrease,3.2288547810878826e-4
