a,sigma,beta,k,u_hat,delta,p_increase
0.009,0.01,0.8999999999999999,0.2,0.2,5.931485161302532e-4,0
0.01,0.01,1,0.2,0.2,4.6318280581515085e-4,0.02
0.01020202,0.01,1.0202019999999998,0.2,0.2,4.418495980863548e-4,0
0.01037931,0.01,1.037931,0.2,0.2,4.2435871234734247e-4,0.02
0.01040404,0.01,1.0404039999999999,0.2,0.2,4.2200768775997567e-4,0
0.010606061,0.01,1.0606061,0.2,0.2,4.0359203412044376e-4,0
0.010808081,0.01,1.0808081,0.2,0.2,3.865404543078555e-4,0
0.011010101,0.01,1.1010100999999999,0.2,0.2,3.707929729325148e-4,0
0.011212121,0.01,1.1212121,0.2,0.2,3.562920938483152e-4,0
0.011414141,0.01,1.1414141,0.2,0.2,3.429826101361384e-4,0
0.011616162,0.01,1.1616161999999999,0.2,0.2,3.308114551887733e-4,0
0.011758621,0.01,1.1758621,0.2,0.2,3.2288547810878826e-4,0.02
0.011818182,0.01,1.1818182,0.2,0.2,3.197278504332363e-4,0
0.012020202,0.01,1.2020202,0.2,0.2,3.096828602691756e-4,0.02
0.012222222,0.01,1.2222222,0.2,0.2,3.0062955791210883e-4,0.02
0.012424242,0.01,1.2424242,0.2,0.2,2.925228852191322e-4,0.02
0.012626263,0.01,1.2626263,0.2,0.2,2.853195452275441e-4,0
0.012828283,0.01,1.2828282999999998,0.2,0.2,2.789780693510502e-4,0
0.013030303,0.01,1.3030303,0.2,0.2,2.734585357311519e-4,0.02
0.013137931,0.01,1.3137931,0.2,0.2,2.7084028708190035e-4,0
0.013232323,0.01,1.3232323000000001,0.2,0.2,2.6872265085497136e-4,0
0.013434343,0.01,1.3434343,0.2,0.2,2.6473364912834967e-4,0.02
0.013636364,0.01,1.3636363999999999,0.2,0.2,2.614562183371867e-4,0
0.013838384,0.01,1.3838384,0.2,0.2,2.5885650341438295e-4,0
0.014040404,0.01,1.4040404,0.2,0.2,2.569019541072103e-4,0
0.014242424,0.01,1.4242424,0.2,0.2,2.5556134018315163e-4,0.04
0.014444444,0.01,1.4444444,0.2,0.2,2.5480468260526606e-4,0
0.014517241,0.01,1.4517241,0.2,0.2,2.546695651780754e-4,0
0.014646465,0.01,1.4646465,0.2,0.2,2.5460320504345845e-4,0.06
0.014848485,0.01,1.4848485,0.2,0.2,2.549292882394623e-4,0
0.015050505,0.01,1.5050505,0.2,0.2,2.5575641925026097e-4,0.02
0.015252525,0.01,1.5252525,0.2,0.2,2.5705915484466825e-4,0
0.015454545,0.01,1.5454545,0.2,0.2,2.58813077702028e-4,0
0.015656566,0.01,1.5656566,0.2,0.2,2.60994768431548e-4,0
0.015858586,0.01,1.5858586000000001,0.2,0.2,2.6358172202367315e-4,0
0.015896552,0.01,1.5896552000000002,0.2,0.2,2.6411136085224e-4,0
0.016060606,0.01,1.6060606000000002,0.2,0.2,2.6655237611110605e-4,0
0.016262626,0.01,1.6262625999999998,0.2,0.2,2.698860345077307e-4,0
0.016464646,0.01,1.6464645999999998,0.2,0.2,2.7356284311302317e-4,0
0.016666667,0.01,1.6666667,0.2,0.2,2.77563777968502e-4,0.02
0.016868687,0.01,1.6868687,0.2,0.2,2.818705331829412e-4,0.02
0.017070707,0.01,1.7070707,0.2,0.2,2.864656098827973e-4,0
0.017272727,0.01,1.7272727,0.2,0.2,2.9133220965474105e-4,0.02
0.017275862,0.01,1.7275862,0.2,0.2,2.914097841741226e-4,0
0.017474747,0.01,1.7474747,0.2,0.2,2.9645422585635996e-4,0.02
0.017676768,0.01,1.7676767999999998,0.2,0.2,3.0181624410251343e-4,0.02
0.017878788,0.01,1.7878787999999999,0.2,0.2,3.0740340931304357e-4,0.06
0.018,0.01,1.7999999999999998,0.2,0.2,3.108578647974005e-4,0
0.018080808,0.01,1.8080808,0.2,0.2,3.1320156048295837e-4,0.02
0.018241379,0.01,1.8241379,0.2,0.2,3.179515289766861e-4,0.08
0.018282828,0.01,1.8282828,0.2,0.2,3.1919710197954017e-4,0
0.018482759,0.01,1.8482759,0.2,0.2,3.2531220256230527e-4,0.02
0.018484848,0.01,1.8484848,0.2,0.2,3.253770067836472e-4,0.02
0.018655172,0.01,1.8655172,0.2,0.2,3.307213521494719e-4,0.06
0.018686869,0.01,1.8686868999999997,0.2,0.2,3.31728826496902e-4,0.04
0.018724138,0.01,1.8724138,0.2,0.2,3.3291843563948746e-4,0.02
0.018888889,0.01,1.8888888999999998,0.2,0.2,3.382405437214371e-4,0.02
0.018965517,0.01,1.8965517,0.2,0.2,3.4074994144184516e-4,0.1
0.019090909,0.01,1.9090909,0.2,0.2,3.44900740611121e-4,0.04
0.019206897,0.01,1.9206897,0.2,0.2,3.487874600792653e-4,0.06
0.019292929,0.01,1.9292929,0.2,0.2,3.516984544777446e-4,0
