a,sigma,beta,k,u_hat,delta,p_increase
0.009,0.01,0.8999999999999999,0.2,0.2,5.931485161302532e-4,0
0.01037931,0.01,1.037931,0.2,0.2,4.2435871234734247e-4,0.02
0.011758621,0.01,1.1758621,0.2,0.2,3.2288547810878826e-4,0.02
0.013137931,0.01,1.3137931,0.2,0.2,2.7084028708190035e-4,0
0.014517241,0.01,1.4517241,0.2,0.2,2.546695651780754e-4,0
0.015896552,0.01,1.5896552000000002,0.2,0.2,2.6411136085224e-4,0
0.017275862,0.01,1.7275862,0.2,0.2,2.914097841741226e-4,0
0.018,0.01,1.7999999999999998,0.2,0.2,3.108578647974005e-4,0
0.018241379,0.01,1.8241378999999998,0.2,0.2,3.179515289766861e-4,0.08
0.018482759,0.01,1.8482759000000002,0.2,0.2,3.2531220256230527e-4,0.02
0.018655172,0.01,1.8655172,0.2,0.2,3.307213521494719e-4,0.06
0.018724138,0.01,1.8724138000000001,0.2,0.2,3.3291843563948746e-4,0.02
0.018965517,0.01,1.8965517,0.2,0.2,3.4074994144184516e-4,0.1
0.019206897,0.01,1.9206897,0.2,0.2,3.487874600792653e-4,0.06
0.019448276,0.01,1.9448276,0.2,0.2,3.5701260768889864e-4,0.04
0.019689655,0.01,1.9689655,0.2,0.2,3.6540803172720936e-4,0.16
0.019931034,0.01,1.9931034,0.2,0.2,3.739572359651324e-4,0.1
0.020034483,0.01,2.0034482999999996,0.2,0.2,3.776643802388028e-4,0.06
0.020172414,0.01,2.0172414,0.2,0.2,3.826446089942035e-4,0.14
0.020413793,0.01,2.0413793,0.2,0.2,3.914552408985179e-4,0.18
0.020655172,0.01,2.0655172,0.2,0.2,4.003751022646215e-4,0.18
0.020896552,0.01,2.0896551999999997,0.2,0.2,4.093909029035086e-4,0.16
0.021137931,0.01,2.1137930999999996,0.2,0.2,4.184899440098821e-4,0.28
0.02137931,0.01,2.137931,0.2,0.2,4.276603101243425e-4,0.24
0.021413793,0.01,2.1413793,0.2,0.2,4.289755284184376e-4,0.36
0.02162069,0.01,2.1620690000000002,0.2,0.2,4.368907276438884e-4,0.4
0.021862069,0.01,2.1862069,0.2,0.2,4.4617041938475134e-4,0.38
0.022103448,0.01,2.2103448,0.2,0.2,4.5548930602793493e-4,0.42
0.022344828,0.01,2.2344828,0.2,0.2,4.6483786533018994e-4,0.46
0.022586207,0.01,2.2586207,0.2,0.2,4.7420698960138805e-4,0.52
0.022793103,0.01,2.2793102999999997,0.2,0.2,4.822475808294572e-4,0.7
0.022827586,0.01,2.2827586,0.2,0.2,4.83588193684861e-4,0.66
0.023068966,0.01,2.3068966,0.2,0.2,4.929734756362865e-4,0.72
0.023310345,0.01,2.3310345,0.2,0.2,5.023551775343027e-4,0.7
0.023551724,0.01,2.3551724,0.2,0.2,5.117261974976972e-4,0.74
0.023793103,0.01,2.3793102999999998,0.2,0.2,5.210798137669675e-4,0.74
0.024034483,0.01,2.4034483,0.2,0.2,5.304097427148531e-4,0.72
0.024172414,0.01,2.4172414,0.2,0.2,5.357281599881086e-4,0.76
0.024275862,0.01,2.4275862,0.2,0.2,5.397099657342188e-4,0.84
0.024517241,0.01,2.4517241,0.2,0.2,5.489749434185558e-4,0.96
0.024758621,0.01,2.4758621,0.2,0.2,5.581994819671885e-4,0.82
0.025,0.01,2.5,0.2,0.2,5.673786029642755e-4,0.84
0.025551724,0.01,2.5551724,0.2,0.2,5.881649744366406e-4,0.86
0.026931034,0.01,2.6931034,0.2,0.2,6.386869674277397e-4,0.98
