a,replicate,gen,overall_d_count, overall_d_rate, windowed_d_count, windowed_dd_count, windowed_dwt_count
0.025,0,0,1306,0.0255337,152,76,0
0.025,0,1,1275,0.0249677,93,38,17
0.025,0,2,1220,0.024011,37,12,13
0.025,0,3,1198,0.0234296,28,10,8
0.025,0,4,1110,0.0217835,37,14,9
0.025,0,5,1083,0.0210725,34,8,18
0.025,0,6,1033,0.0201153,42,10,22
0.025,0,7,976,0.0191598,22,4,14
0.025,0,8,932,0.0180823,29,4,21
0.025,0,9,810,0.0156965,18,3,12
0.025,0,10,762,0.0148088,12,1,10
0.025,0,11,640,0.0125594,17,2,13
0.025,0,12,591,0.0116274,6,1,4
0.025,0,13,498,0.00971101,4,0,4
0.025,0,14,444,0.00882108,7,0,7
0.025,0,15,465,0.00922546,5,0,5
0.025,0,16,416,0.00816583,6,0,6
0.025,0,17,375,0.00725703,2,0,2
0.025,0,18,332,0.00648666,6,0,6
0.025,0,19,328,0.00638754,3,0,3
0.025,0,20,306,0.00594082,3,0,3
0.025,0,21,275,0.00535228,5,0,5
0.025,0,22,214,0.00420614,2,0,2
0.025,0,23,203,0.00393518,0,0,0
0.025,0,24,182,0.003559,3,0,3
0.025,0,25,161,0.00316767,2,0,2
0.025,0,26,129,0.00252278,1,0,1
0.025,0,27,117,0.00228453,0,0,0
0.025,0,28,104,0.00203006,1,0,1
0.025,0,29,96,0.00187793,0,0,0
0.025,0,30,82,0.00159366,0,0,0
0.025,0,31,59,0.00116201,2,0,2
0.025,0,32,49,0.000959693,0,0,0
0.025,0,33,50,0.000979202,0,0,0
0.025,0,34,42,0.00082028,0,0,0
0.025,0,35,47,0.000916715,0,0,0
0.025,0,36,39,0.000760649,0,0,0
0.025,0,37,43,0.000847625,0,0,0
0.025,0,38,30,0.000590272,0,0,0
0.025,0,39,29,0.000567648,0,0,0
0.025,0,40,27,0.000535608,0,0,0
0.025,0,41,14,0.000273267,0,0,0
0.025,0,42,14,0.000272151,0,0,0
0.025,0,43,13,0.000253401,0,0,0
0.025,0,44,8,0.000158072,0,0,0
0.025,0,45,4,7.8232e-05,0,0,0
0.025,0,46,3,5.77501e-05,0,0,0
0.025,0,47,2,3.86877e-05,0,0,0
0.025,0,48,4,7.62079e-05,0,0,0
0.025,0,49,1,1.89358e-05,0,0,0
0.025,0,50,0,0.0,0,0,0
0.025,1,0,1148,0.0222515,110,55,0
0.025,1,1,1076,0.0210782,75,28,19
0.025,1,2,1098,0.021468,62,24,14
0.025,1,3,1103,0.0211125,48,13,22
0.025,1,4,924,0.0175492,39,3,33
0.025,1,5,848,0.0163165,34,10,14
0.025,1,6,702,0.0137222,10,1,8
0.025,1,7,646,0.0128516,31,0,31
0.025,1,8,542,0.0106075,13,1,11
0.025,1,9,505,0.00998221,12,2,8
0.025,1,10,432,0.00847857,3,0,3
0.025,1,11,417,0.00806046,3,0,3
0.025,1,12,365,0.0071907,6,0,6
0.025,1,13,301,0.00595309,6,0,6
0.025,1,14,238,0.00471212,6,0,6
0.025,1,15,193,0.00382193,3,0,3
0.025,1,16,184,0.00361337,0,0,0
0.025,1,17,143,0.00278026,5,0,5
0.025,1,18,133,0.00259634,2,0,2
0.025,1,19,107,0.00207743,0,0,0
0.025,1,20,100,0.00192857,0,0,0
0.025,1,21,89,0.00171016,0,0,0
0.025,1,22,62,0.00121293,0,0,0
0.025,1,23,51,0.00099392,3,0,3
0.025,1,24,28,0.000546001,2,0,2
0.025,1,25,22,0.000437237,4,0,4
0.025,1,26,7,0.000137503,1,0,1
0.025,1,27,4,7.77877e-05,0,0,0
0.025,1,28,8,0.000153822,0,0,0
0.025,1,29,4,7.68315e-05,0,0,0
0.025,1,30,7,0.000134146,0,0,0
0.025,1,31,6,0.000116176,0,0,0
0.025,1,32,4,7.74503e-05,0,0,0
0.025,1,33,3,5.86235e-05,0,0,0
0.025,1,34,1,1.97184e-05,0,0,0
0.025,1,35,0,0.0,0,0,0
0.025,2,0,1494,0.0292769,106,53,0
0.025,2,1,1386,0.0266446,80,33,14
0.025,2,2,1239,0.0239921,69,25,19
0.025,2,3,1108,0.0213126,28,5,18
0.025,2,4,992,0.0192562,36,12,12
0.025,2,5,900,0.0178664,28,5,18
0.025,2,6,855,0.0167996,45,4,37
0.025,2,7,750,0.0146074,12,1,10
0.025,2,8,663,0.0130883,19,3,13
0.025,2,9,576,0.0114481,24,4,16
0.025,2,10,538,0.0106425,10,1,8
0.025,2,11,480,0.00947643,12,2,8
0.025,2,12,423,0.00820849,3,0,3
0.025,2,13,359,0.00697223,9,0,9
0.025,2,14,306,0.0059789,14,3,8
0.025,2,15,276,0.00546016,6,0,6
0.025,2,16,231,0.00456323,2,0,2
0.025,2,17,195,0.00383104,5,0,5
0.025,2,18,154,0.00303724,0,0,0
0.025,2,19,140,0.00272713,0,0,0
0.025,2,20,127,0.00247486,2,0,2
0.025,2,21,101,0.00197104,1,0,1
0.025,2,22,97,0.00188028,0,0,0
0.025,2,23,70,0.00135559,0,0,0
0.025,2,24,73,0.00140024,0,0,0
0.025,2,25,68,0.00133015,1,0,1
0.025,2,26,56,0.00110184,0,0,0
0.025,2,27,39,0.000763419,0,0,0
0.025,2,28,35,0.000676355,3,0,3
0.025,2,29,31,0.000604595,1,0,1
0.025,2,30,24,0.000464738,0,0,0
0.025,2,31,19,0.000371297,0,0,0
0.025,2,32,17,0.000336234,0,0,0
0.025,2,33,22,0.000429386,0,0,0
