a,change
0.004572865,22
0.004572865,61
0.004572865,62
0.004572865,-21
0.004572865,29
0.004572865,45
0.004572865,26
0.004572865,28
0.004572865,21
0.004572865,9
0.004572865,6
0.004572865,-20
0.004572865,31
0.004572865,3
0.004572865,80
0.004572865,19
0.004572865,75
0.004572865,-8
0.004572865,50
0.004572865,-8
0.004572865,45
0.004572865,52
0.004572865,38
0.004572865,18
0.004572865,64
0.004572865,-21
0.004572865,14
0.004572865,4
0.004572865,18
0.004572865,39
0.004572865,5
0.004572865,28
0.004572865,34
0.004572865,83
0.004572865,20
0.004572865,-28
0.004572865,48
0.004572865,13
0.004572865,1
0.004572865,42
0.004572865,43
0.004572865,-5
0.004572865,23
0.004572865,15
0.004572865,31
0.004572865,24
0.004572865,6
0.004572865,53
0.004572865,58
0.004572865,42
0.004572865,57
0.004572865,55
0.004572865,32
0.004572865,73
0.004572865,-21
0.004572865,47
0.004572865,26
0.004572865,77
0.004572865,-10
0.004572865,14
0.004572865,82
0.004572865,-3
0.004572865,56
0.004572865,33
0.004572865,3
0.004572865,22
0.004572865,-23
0.004572865,82
0.004572865,57
0.004572865,-3
0.004572865,-43
0.004572865,-34
0.004572865,59
0.004572865,42
0.004572865,-21
0.004572865,106
0.004572865,41
0.004572865,30
0.004572865,-14
0.004572865,-9
0.004572865,74
0.004572865,19
0.004572865,16
0.004572865,11
0.004572865,0
0.004572865,2
0.004572865,-18
0.004572865,-25
0.004572865,-7
0.004572865,14
0.004572865,41
0.004572865,-3
0.004572865,23
0.004572865,35
0.004572865,54
0.004572865,17
0.004572865,42
0.004572865,42
0.004572865,22
0.004572865,8
0.005025126,48
0.005025126,25
0.005025126,-19
0.005025126,55
0.005025126,24
0.005025126,34
0.005025126,63
0.005025126,19
0.005025126,-29
0.005025126,4
0.005025126,57
0.005025126,30
0.005025126,16
0.005025126,-39
0.005025126,37
0.005025126,10
0.005025126,1
0.005025126,54
0.005025126,48
0.005025126,5
0.005025126,-9
0.005025126,-33
0.005025126,88
0.005025126,69
0.005025126,28
0.005025126,12
0.005025126,-24
0.005025126,15
0.005025126,45
0.005025126,-14
0.005025126,-22
0.005025126,22
0.005025126,30
0.005025126,55
0.005025126,47
0.005025126,34
0.005025126,47
0.005025126,104
0.005025126,23
0.005025126,47
0.005025126,40
0.005025126,-20
0.005025126,59
0.005025126,11
0.005025126,48
0.005025126,30
0.005025126,-34
0.005025126,35
0.005025126,20
0.005025126,39
0.005025126,9
0.005025126,51
0.005025126,-13
0.005025126,53
0.005025126,66
0.005025126,33
0.005025126,-6
0.005025126,-13
0.005025126,41
0.005025126,50
0.005025126,25
0.005025126,49
0.005025126,52
0.005025126,23
0.005025126,8
0.005025126,11
0.005025126,-32
0.005025126,32
0.005025126,17
0.005025126,54
0.005025126,40
0.005025126,29
0.005025126,2
0.005025126,10
0.005025126,36
0.005025126,30
0.005025126,95
0.005025126,-26
0.005025126,1
0.005025126,3
0.005025126,30
0.005025126,2
0.005025126,32
0.005025126,35
0.005025126,11
0.005025126,-19
0.005025126,37
0.005025126,14
0.005025126,9
0.005025126,-11
0.005025126,30
0.005025126,36
0.005025126,14
0.005025126,5
0.005025126,48
0.005025126,24
0.005025126,21
0.005025126,78
0.005025126,7
0.005025126,26
0.005477387,28
0.005477387,-2
0.005477387,78
0.005477387,63
0.005477387,13
0.005477387,13
0.005477387,10
0.005477387,7
0.005477387,8
0.005477387,23
0.005477387,11
0.005477387,46
0.005477387,38
0.005477387,41
0.005477387,29
0.005477387,41
0.005477387,80
0.005477387,26
0.005477387,46
0.005477387,-4
0.005477387,-36
0.005477387,-27
0.005477387,-4
0.005477387,-25
0.005477387,-23
0.005477387,9
0.005477387,16
0.005477387,21
0.005477387,31
0.005477387,31
0.005477387,2
0.005477387,78
0.005477387,51
0.005477387,62
0.005477387,19
0.005477387,30
0.005477387,29
0.005477387,-9
0.005477387,18
0.005477387,-45
0.005477387,24
0.005477387,9
0.005477387,50
0.005477387,79
0.005477387,18
0.005477387,2
0.005477387,58
0.005477387,31
0.005477387,57
0.005477387,26
0.005477387,88
0.005477387,22
0.005477387,39
0.005477387,4
0.005477387,39
0.005477387,30
0.005477387,-46
0.005477387,-7
0.005477387,23
0.005477387,21
0.005477387,59
0.005477387,-50
0.005477387,22
0.005477387,43
0.005477387,15
0.005477387,-1
0.005477387,1
0.005477387,49
0.005477387,55
0.005477387,-21
0.005477387,45
0.005477387,19
0.005477387,25
0.005477387,-12
0.005477387,98
