a,replicate,gen,overall_d_count, overall_d_rate, windowed_d_count, windowed_dd_count, windowed_dwt_count, windowed_drive_rate
0.025,0,0,1262,0.0246571,92,46,0,1.0
0.025,0,1,1254,0.0244521,74,31,12,0.755102
0.025,0,2,1172,0.0231063,79,31,17,0.718182
0.025,0,3,1058,0.0209091,57,13,31,0.527778
0.025,0,4,997,0.0198463,21,3,15,0.362069
0.025,0,5,892,0.0176431,23,3,17,0.261364
0.025,0,6,861,0.0167601,18,2,14,0.204545
0.025,0,7,740,0.0141313,26,5,16,0.236364
0.025,0,8,663,0.0128329,22,5,12,0.289474
0.025,0,9,519,0.0100216,7,0,7,0.0625
0.025,0,10,443,0.00871053,19,0,19,0.115854
0.025,0,11,396,0.00768604,5,0,5,0.05
0.025,0,12,342,0.00657136,5,0,5,0.0510204
0.025,0,13,292,0.00562577,8,1,6,0.0833333
0.025,0,14,235,0.00456098,2,0,2,0.0217391
0.025,0,15,189,0.00365401,2,0,2,0.0204082
0.025,0,16,182,0.00354555,2,0,2,0.0185185
0.025,0,17,165,0.00320887,0,0,0,0.0
0.025,0,18,147,0.00286818,0,0,0,0.0
0.025,0,19,110,0.00213908,1,0,1,0.0121951
0.025,0,20,95,0.00183087,2,0,2,0.0136986
0.025,0,21,74,0.00143361,1,0,1,0.0166667
0.025,0,22,71,0.00135434,0,0,0,0.0
0.025,0,23,68,0.00129628,0,0,0,0.0
0.025,0,24,63,0.00121702,1,0,1,0.0113636
0.025,0,25,59,0.00113187,1,0,1,0.00961538
0.025,0,26,54,0.00103278,0,0,0,0.0
0.025,0,27,48,0.00092425,1,0,1,0.00819672
0.025,0,28,36,0.000701809,0,0,0,0.0
0.025,0,29,39,0.000764346,1,0,1,0.0121951
0.025,0,30,26,0.000507694,0,0,0,0.0
0.025,0,31,21,0.000406693,0,0,0,0.0
0.025,0,32,19,0.000361203,0,0,0,0.0
0.025,0,33,20,0.000383054,0,0,0,0.0
0.025,0,34,32,0.000610967,0,0,0,0.0
0.025,0,35,26,0.000503096,0,0,0,0.0
0.025,0,36,25,0.000480252,0,0,0,0.0
0.025,0,37,24,0.000461361,0,0,0,0.0
0.025,0,38,11,0.00020974,0,0,0,0.0
0.025,0,39,8,0.000155751,0,0,0,0.0
0.025,0,40,9,0.000176443,0,0,0,0.0
0.025,0,41,7,0.000136713,0,0,0,0.0
0.025,0,42,7,0.000136298,1,0,1,0.00909091
0.025,0,43,5,9.78857e-05,0,0,0,0.0
0.025,0,44,5,9.7299e-05,0,0,0,0.0
0.025,0,45,4,7.71545e-05,0,0,0,0.0
0.025,0,46,2,3.83436e-05,0,0,0,0.0
0.025,0,47,2,3.861e-05,0,0,0,0.0
0.025,0,48,1,1.92189e-05,0,0,0,0.0
0.025,0,49,2,3.90518e-05,0,0,0,0.0
0.025,0,50,2,3.90031e-05,0,0,0,0.0
0.025,0,51,4,7.7101e-05,0,0,0,0.0
0.025,0,52,4,7.60427e-05,0,0,0,0.0
0.025,0,53,2,3.86071e-05,0,0,0,0.0
0.025,0,54,3,5.77212e-05,0,0,0,0.0
0.025,0,55,2,3.82409e-05,0,0,0,0.0
0.025,0,56,1,1.91468e-05,0,0,0,0.0
0.025,0,57,3,5.80002e-05,0,0,0,0.0
0.025,0,58,5,9.63131e-05,0,0,0,0.0
0.025,0,59,4,7.78513e-05,0,0,0,0.0
0.025,0,60,2,3.88018e-05,0,0,0,0.0
0.025,0,61,1,1.95503e-05,0,0,0,0.0
0.025,0,62,1,1.96456e-05,0,0,0,0.0
0.025,0,63,1,1.96897e-05,0,0,0,0.0
0.025,0,64,3,5.90528e-05,0,0,0,0.0
0.025,0,65,3,5.91926e-05,0,0,0,0.0
0.025,0,66,9,0.000176706,0,0,0,0.0
0.025,0,67,10,0.000197052,0,0,0,0.0
0.025,0,68,8,0.000155479,0,0,0,0.0
0.025,0,69,4,7.83055e-05,0,0,0,0.0
0.025,0,70,4,7.7694e-05,0,0,0,0.0
0.025,0,71,2,3.89029e-05,0,0,0,0.0
0.025,0,72,0,0.0,0,0,0,0.0
0.025,1,0,1214,0.0238629,112,56,0,1.0
0.025,1,1,1169,0.0231494,75,33,9,0.872093
0.025,1,2,1092,0.0213657,54,19,16,0.574468
0.025,1,3,1169,0.022792,57,19,19,0.475
0.025,1,4,1123,0.0219671,26,6,14,0.40625
0.025,1,5,1092,0.0213057,19,0,19,0.206522
0.025,1,6,1085,0.0213247,23,4,15,0.155405
0.025,1,7,1006,0.0197985,22,4,14,0.234043
0.025,1,8,930,0.0181733,49,10,29,0.4375
0.025,1,9,844,0.01659,15,2,11,0.170455
0.025,1,10,779,0.0154087,13,4,5,0.135417
0.025,1,11,681,0.0135404,17,1,15,0.163462
0.025,1,12,623,0.0123484,13,0,13,0.141304
0.025,1,13,557,0.0110301,8,0,8,0.114286
0.025,1,14,479,0.00922147,7,1,5,0.102941
0.025,1,15,413,0.00792524,9,0,9,0.0849057
0.025,1,16,363,0.00707658,2,0,2,0.0178571
0.025,1,17,304,0.00591509,3,0,3,0.0294118
0.025,1,18,303,0.00584355,1,0,1,0.00980392
0.025,1,19,267,0.00523324,2,0,2,0.0217391
0.025,1,20,253,0.00492237,4,0,4,0.047619
0.025,1,21,192,0.00376471,4,0,4,0.0322581
0.025,1,22,154,0.00298681,0,0,0,0.0
0.025,1,23,126,0.00241342,0,0,0,0.0
0.025,1,24,92,0.0017844,0,0,0,0.0
0.025,1,25,68,0.00132595,0,0,0,0.0
0.025,1,26,45,0.000892857,0,0,0,0.0
0.025,1,27,34,0.000678643,0,0,0,0.0
0.025,1,28,39,0.000780062,2,0,2,0.0142857
0.025,1,29,36,0.000718448,0,0,0,0.0
0.025,1,30,33,0.000657371,2,0,2,0.015873
0.025,1,31,15,0.000293129,0,0,0,0.0
0.025,1,32,10,0.00019428,0,0,0,0.0
0.025,1,33,11,0.0002127,0,0,0,0.0
0.025,1,34,0,0.0,0,0,0,0.0
0.025,2,0,1166,0.0226601,122,61,0,1.0
0.025,2,1,1130,0.0217768,84,36,12,0.857143
0.025,2,2,1042,0.0203826,47,9,29,0.522222
0.025,2,3,1021,0.0197562,36,9,18,0.352941
0.025,2,4,999,0.0191835,25,7,11,0.265957
0.025,2,5,915,0.01766,15,0,15,0.202703
0.025,2,6,829,0.0160777,28,3,22,0.254545
0.025,2,7,727,0.0142042,16,2,12,0.235294
0.025,2,8,675,0.0132483,3,0,3,0.046875
0.025,2,9,584,0.011376,14,4,6,0.159091
0.025,2,10,508,0.00981984,4,0,4,0.0344828
0.025,2,11,402,0.00791775,18,1,16,0.195652
0.025,2,12,392,0.00759219,2,0,2,0.0172414
0.025,2,13,356,0.00690618,6,0,6,0.05
0.025,2,14,318,0.00620803,0,0,0,0.0
0.025,2,15,260,0.00512013,2,0,2,0.016129
0.025,2,16,206,0.00404667,5,0,5,0.0471698
0.025,2,17,151,0.00300199,0,0,0,0.0
0.025,2,18,130,0.00256522,4,0,4,0.0285714
0.025,2,19,96,0.00188538,1,0,1,0.0128205
0.025,2,20,85,0.00164646,0,0,0,0.0
0.025,2,21,78,0.00154725,0,0,0,0.0
0.025,2,22,61,0.00118025,2,0,2,0.0188679
0.025,2,23,72,0.00136152,0,0,0,0.0
0.025,2,24,64,0.00121309,0,0,0,0.0
0.025,2,25,42,0.000807817,0,0,0,0.0
0.025,2,26,39,0.000754673,0,0,0,0.0
0.025,2,27,32,0.000619171,1,0,1,0.00704225
0.025,2,28,23,0.000448675,0,0,0,0.0
0.025,2,29,39,0.000769838,0,0,0,0.0
0.025,2,30,30,0.000581914,0,0,0,0.0
0.025,2,31,18,0.000354666,0,0,0,0.0
0.025,2,32,12,0.000237869,0,0,0,0.0
0.025,2,33,10,0.000193971,0,0,0,0.0
0.025,2,34,9,0.000173257,0,0,0,0.0
0.025,2,35,7,0.000136681,0,0,0,0.0
0.025,2,36,3,5.82321e-05,0,0,0,0.0
0.025,2,37,2,3.88184e-05,0,0,0,0.0
0.025,2,38,1,1.95633e-05,0,0,0,0.0
0.025,2,39,0,0.0,0,0,0,0.0
0.025,3,0,1434,0.0280703,120,60,0,1.0
0.025,3,1,1362,0.026587,77,29,19,0.663793
0.025,3,2,1334,0.0265991,60,18,24,0.652174
0.025,3,3,1399,0.0273991,65,22,21,0.677083
0.025,3,4,1218,0.0242871,49,16,17,0.6125
0.025,3,5,1206,0.0237094,20,5,10,0.294118
0.025,3,6,1156,0.0228811,19,4,11,0.38
0.025,3,7,1154,0.0227362,27,7,13,0.329268
0.025,3,8,1048,0.0206559,19,3,13,0.202128
0.025,3,9,946,0.0185142,11,1,9,0.11
0.025,3,10,878,0.016957,19,4,11,0.175926
0.025,3,11,796,0.0156207,12,0,12,0.142857
0.025,3,12,681,0.0134985,18,0,18,0.257143
0.025,3,13,627,0.0123004,13,2,9,0.154762
0.025,3,14,548,0.0106735,10,0,10,0.116279
0.025,3,15,486,0.00956618,10,1,8,0.0980392
0.025,3,16,407,0.00788821,7,1,5,0.0673077
0.025,3,17,373,0.00718773,5,0,5,0.0568182
0.025,3,18,360,0.00702247,4,0,4,0.0377358
0.025,3,19,340,0.00661582,8,0,8,0.0615385
0.025,3,20,289,0.00555748,5,0,5,0.05
0.025,3,21,273,0.00532205,3,0,3,0.0254237
0.025,3,22,214,0.00421393,5,0,5,0.0462963
0.025,3,23,198,0.00392235,4,0,4,0.03125
0.025,3,24,165,0.00320837,3,1,1,0.0306122
0.025,3,25,154,0.00299355,1,0,1,0.0111111
0.025,3,26,128,0.00245549,7,0,7,0.0614035
0.025,3,27,102,0.00198706,0,0,0,0.0
0.025,3,28,75,0.00145563,0,0,0,0.0
0.025,3,29,50,0.000960799,1,0,1,0.01
0.025,3,30,38,0.00073501,1,0,1,0.00980392
0.025,3,31,18,0.000352651,0,0,0,0.0
0.025,3,32,19,0.000366075,2,0,2,0.0212766
0.025,3,33,18,0.000349555,0,0,0,0.0
0.025,3,34,13,0.000255885,0,0,0,0.0
0.025,3,35,10,0.000195282,0,0,0,0.0
0.025,3,36,9,0.000176036,0,0,0,0.0
0.025,3,37,12,0.000233272,0,0,0,0.0
0.025,3,38,11,0.000214358,0,0,0,0.0
0.025,3,39,7,0.00013524,0,0,0,0.0
0.025,3,40,7,0.000137801,0,0,0,0.0
0.025,3,41,4,7.7691e-05,0,0,0,0.0
0.025,3,42,1,1.93551e-05,0,0,0,0.0
0.025,3,43,0,0.0,0,0,0,0.0
0.025,4,0,1440,0.0280199,88,44,0,1.0
0.025,4,1,1342,0.0259947,78,28,22,0.684211
0.025,4,2,1097,0.0214249,28,5,18,0.378378
0.025,4,3,997,0.01965,14,2,10,0.28
0.025,4,4,970,0.0190211,37,11,15,0.385417
0.025,4,5,921,0.0180101,24,3,18,0.3
0.025,4,6,803,0.0158771,39,11,17,0.382353
0.025,4,7,735,0.0144395,16,0,16,0.307692
0.025,4,8,688,0.0133256,8,1,6,0.121212
0.025,4,9,659,0.012919,9,0,9,0.121622
0.025,4,10,602,0.0120893,17,2,13,0.180851
0.025,4,11,490,0.00980235,7,2,3,0.109375
0.025,4,12,425,0.00839224,13,1,11,0.135417
0.025,4,13,363,0.00710566,18,2,14,0.166667
0.025,4,14,336,0.0065446,12,0,12,0.12766
0.025,4,15,280,0.00548546,3,0,3,0.0348837
0.025,4,16,225,0.00444506,0,0,0,0.0
0.025,4,17,202,0.00392813,2,0,2,0.0217391
0.025,4,18,140,0.00268323,3,0,3,0.0340909
0.025,4,19,115,0.00221495,4,0,4,0.0392157
0.025,4,20,101,0.00195403,2,0,2,0.0192308
0.025,4,21,97,0.00188687,0,0,0,0.0
