a,gen,overall_d_count,overall_d_rate,windowed_d_count,windowed_dd_count,windowed_dwt_count,windowed_drive_rate
0.0721,0,3721.6,0.072085425,102.5,51.25,0,1
0.0721,1,3859.9,0.075047425,108,52.7,2.6,0.97511035
0.0721,2,3860.5,0.075238965,102.05,48.95,4.15,0.9583477499999999
0.0721,3,3836.95,0.07498181,93.05,42.8,7.45,0.9163524
0.0721,4,3870.05,0.07559063,91.45,41.4,8.65,0.8904647
0.0721,5,3822.5,0.07471035,98.9,42.9,13.1,0.8583576
0.0721,6,3877.65,0.07593942,93.8,38.7,16.4,0.8206521999999999
0.0721,7,3882.6,0.07633216,84.4,36,12.4,0.8333522
0.0721,8,3893.35,0.076615905,81.6,32.8,16,0.8037793
0.0721,9,3913.75,0.07695415,83.9,34.75,14.4,0.8247647
0.0721,10,3936.3,0.077553685,81.8,33.75,14.3,0.8226511
0.0721,11,4006.55,0.078857355,80.6,32.75,15.1,0.78670355
0.0721,12,4015.2,0.078948665,74.7,31.05,12.6,0.8109289
0.0721,13,4005.5,0.079074585,78.5,31.7,15.1,0.7861648
0.0721,14,4004.5,0.079099835,77.1,31.35,14.4,0.7927201
0.0721,15,4025.85,0.0796502,75.45,29.6,16.25,0.75830675
0.0721,16,4050.05,0.08038297,71.15,26.45,18.25,0.7200534
0.0721,17,4056.5,0.080896465,74.5,29.3,15.9,0.76494375
0.0721,18,4125.8,0.08203250000000001,77.75,31.15,15.45,0.77695285
0.0721,19,4211.75,0.08345727,77.7,30.75,16.2,0.7753649
0.0721,20,4181.25,0.08299513,74.4,29.5,15.4,0.7740628
0.0721,21,4213.55,0.083777655,71.95,27.8,16.35,0.76331125
0.0721,22,4280.25,0.084906155,75.8,30.2,15.4,0.7576518
0.0721,23,4261.65,0.084585535,76.45,30.95,14.55,0.78946575
0.0721,24,4321.6,0.08574908,73.65,29.4,14.85,0.7571716
0.0721,25,4336.85,0.08606149,71.1,28.15,14.8,0.7677978
0.0721,26,4367.8,0.08649397,75,29.95,15.1,0.7426947
0.0721,27,4349.5,0.086251395,73.55,28.35,16.85,0.73231155
0.0721,28,4354.65,0.08642846,72.75,28,16.75,0.7399831
0.0721,29,4400.45,0.08735841999999999,72.25,28.7,14.85,0.76009435
0.0721,30,4446.55,0.08821081,65.45,26.05,13.35,0.7189992000000001
0.0721,31,4498.7,0.089349935,70.55,27.45,15.65,0.762837
0.0721,32,4532.15,0.089979035,73.8,29.2,15.4,0.76132315
0.0721,33,4530.4,0.08991408,76.7,30.75,15.2,0.78222815
0.0721,34,4575.6,0.090783525,75.4,29.9,15.6,0.75968545
0.0721,35,4579.3,0.09077125,75.25,30.3,14.65,0.7479281
0.0721,36,4588.95,0.09095955,85.45,34.65,16.15,0.78263775
0.0721,37,4577.45,0.09100811,90.6,37.8,15,0.79898115
0.0721,38,4687.7,0.0930005,77.45,32.15,13.15,0.7711095
0.0721,39,4702,0.093186105,81.8,32.85,16.1,0.76859215
0.0721,40,4740.15,0.093861455,69.4,27.1,15.2,0.7384256
0.0721,41,4786,0.094499485,81.35,32.65,16.05,0.7643160999999999
0.0721,42,4856.1,0.09544295,80.2,32.7,14.8,0.7518734499999999
0.0721,43,4920.95,0.09728142000000001,79,33.25,12.5,0.79033735
0.0721,44,4958.85,0.09763962,68.5,28.2,12.1,0.7625342
0.0721,45,5096.4,0.100347945,84.65,35.1,14.45,0.7567308
0.0721,46,5097.95,0.10046308,74.75,30.8,13.15,0.76982885
0.0721,47,5140.5,0.10165379,81.25,34.2,12.85,0.7766557
0.0721,48,5184.5,0.10264864,86.15,36.65,12.85,0.76619695
0.0721,49,5213.7,0.10286006,80.85,34.75,11.35,0.78255535
0.0721,50,5329.25,0.10459348,77.4,32.5,12.4,0.766117
0.0721,51,5370.15,0.105348315,86.85,37.55,11.75,0.77359411
0.0721,52,5385.8,0.1060489815,75.1,32.8,9.5,0.7876861000000001
0.0721,53,5470.3,0.107846473,84.75,37.7,9.35,0.79719398
0.0721,54,5562.9,0.1099951225,84.9,37.15,10.6,0.798887215
