a,sigma,k,u_hat,delta,outcome
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.15,0.01,0.2,0.4,0.000599985,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.17,0.01,0.2,0.4,0.000599998,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.186938776,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
0.203877551,0.01,0.2,0.4,0.0006,increase
