a,sigma,k,u_hat,delta,outcome
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.066778523,0.01,0.2,0.4,0.000573609,increase
0.066778523,0.01,0.2,0.4,0.000573609,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,decrease
0.067442953,0.01,0.2,0.4,0.000575055,increase
0.067442953,0.01,0.2,0.4,0.000575055,decrease
