a,change_in_drive_alleles
0.001,-7.73
0.001497487,-10.08
0.001994975,-14.68
0.002492462,-18.49
0.00298995,-22.26
0.003487437,-25.74
0.003984925,-28.97
0.004482412,-32.35
0.004979899,-32.17
0.005477387,-39.38
0.005974874,-44.58
0.006472362,-38.63
0.006969849,-44.46
0.007467337,-39.49
0.007964824,-46.8
0.008462312,-44.61
0.008959799,-43.9
0.009457286,-49.07
0.009954774,-54.69
0.010452261,-55.88
0.010949749,-55.29
0.011447236,-48.53
0.011944724,-56.45
0.012442211,-62.13
0.012939698,-64.49
0.013437186,-60.98
0.013934673,-62.73
0.014432161,-53
0.014929648,-63.19
0.015427136,-64.94
0.015924623,-65.13
0.016422111,-66.55
0.016919598,-70.22
0.017417085,-66.66
0.017914573,-61.04
0.01841206,-60.44
0.018909548,-55.79
0.019407035,-53.1
0.019904523,-63.1
0.02040201,-63.26
0.020899497,-66.23
0.021396985,-63.16
0.021894472,-53.22
0.02239196,-52.2
0.022889447,-57.55
0.023386935,-70.07
0.023884422,-62.99
0.02438191,-53.76
0.024879397,-46.72
0.025376884,-62.2
0.025874372,-53.07
0.026371859,-47.54
0.026869347,-42.33
0.027366834,-43.49
0.027864322,-52.75
0.028361809,-57.89
0.028859296,-30.4
0.029356784,-32.95
0.029854271,-39.94
0.030351759,-38.34
0.030849246,-54
0.031346734,-32.21
0.031844221,-33.17
0.032341709,-32.9
0.032839196,-48.08
0.033336683,-24.9
0.033834171,-25.39
0.034331658,-41.56
0.034829146,-37.16
0.035326633,-31.03
0.035824121,-25.83
0.036321608,-45.19
0.036819095,-27.93
0.037316583,-17.36
0.03781407,-45.37
0.038311558,-30.49
0.038809045,-14.63
0.039306533,-20.74
0.03980402,-8.3
0.040301508,-11.93
0.040798995,6.48
0.041296482,6.28
0.04179397,-13.78
0.042291457,-4.35
0.042788945,-18.45
0.043286432,7.49
0.04378392,13.18
0.044281407,-5.12
0.044778894,-6.07
0.045276382,8.52
0.045773869,6.72
0.046271357,0.06999999999999999
0.046768844,2.39
0.047266332,10.61
0.047763819,15.52
0.048261307,4.56
0.048758794,9.05
0.049256281,1.87
0.049753769,26.32
0.050251256,23.62
0.050748744,29.05
0.051246231,23.73
0.051743719,23.53
0.052241206,18.08
0.052738693,18.94
0.053236181,23.62
0.053733668,25.75
0.054231156,12.76
0.054728643,56.15
0.055226131,41.56
0.055723618,34.24
0.056221106,45.65
0.056718593,37.82
0.05721608,70.55
0.057713568,47.93
0.058211055,47.21
0.058708543,59.49
0.05920603,68.66
0.059703518,64.06
0.060201005,74.82
0.060698492,62.25
0.06119598,58.56
0.061693467,62.79
0.062190955,105.42
0.062688442,67.74
0.06318593,83.18
0.063683417,56.91
0.064180905,60.44
0.064678392,106.26
0.065175879,88.52
0.065673367,71.53
0.066170854,105.51
0.066668342,106.93
0.067165829,90.71
0.067663317,97.34
0.068160804,108.75
0.068658291,95.84
0.069155779,92.05
0.069653266,99.15
0.070150754,125.34
0.070648241,118.88
0.071145729,124.08
0.071643216,94.88
0.072140704,113.96
0.072638191,142.65
0.073135678,120.67
0.073633166,139.23
0.074130653,101.25
0.074628141,116.56
0.075125628,123.81
0.075623116,117.92
0.076120603,113.27
0.07661809,125.49
0.077115578,135.93
0.077613065,135.85
0.078110553,116.93
0.07860804,152.43
0.079105528,128.93
0.079603015,136.25
0.080100503,123.55
0.08059799,148.76
0.081095477,126.72
0.081592965,161.87
0.082090452,142.41
0.08258794,165.47
0.083085427,170.09
0.083582915,166.55
0.084080402,175.32
0.084577889,178.35
0.085075377,156.61
0.085572864,166.52
0.086070352,159.96
0.086567839,193.2
0.087065327,192.27
0.087562814,163.78
0.088060302,160.98
0.088557789,176.27
0.089055276,195.39
0.089552764000000007,184.49
0.090050251,171.98
0.090547739,187.22
0.091045226,178.21
0.091542714,180.77
0.092040201,170.8
0.092537688,168.16
0.093035176,187.39
0.093532663,182.57
0.094030151,204.5
0.094527638,198.71
0.095025126,194.39
0.095522613,216.79
0.096020101,219.54
0.096517588,177.93
0.097015075,211.03
0.097512563,213.45
0.09801005,222.96
0.098507538,219.13
0.099005025,207
0.099502513,232
0.1,219.78
