a,sigma,k,u_hat,delta,p_increase
0.001,0.01,0.2,0.4,-1.46344e-4,0
0.00166443,0.01,0.2,0.4,-2.29135e-4,0
0.002328859,0.01,0.2,0.4,-3.01161e-4,0
0.002993289,0.01,0.2,0.4,-3.63093e-4,0
0.003657718,0.01,0.2,0.4,-4.15611e-4,0
0.004322148,0.01,0.2,0.4,-4.59384e-4,0
0.004986577,0.01,0.2,0.4,-4.95074e-4,0
0.005651007,0.01,0.2,0.4,-5.23322e-4,0
0.006315436,0.01,0.2,0.4,-5.44747e-4,0
0.006979866,0.01,0.2,0.4,-5.59945e-4,0
0.007644295,0.01,0.2,0.4,-5.69481e-4,0
0.008308725,0.01,0.2,0.4,-5.73893e-4,0
0.008973154,0.01,0.2,0.4,-5.7369e-4,0
0.009637584,0.01,0.2,0.4,-5.69349e-4,0
0.010302013,0.01,0.2,0.4,-5.61317e-4,0
0.010966443,0.01,0.2,0.4,-5.50012e-4,0
0.011630872,0.01,0.2,0.4,-5.35822e-4,0
0.012295302,0.01,0.2,0.4,-5.19108e-4,0
0.012959732,0.01,0.2,0.4,-5.00202e-4,0
0.013624161,0.01,0.2,0.4,-4.79412e-4,0
0.014288591,0.01,0.2,0.4,-4.5702e-4,0
0.01495302,0.01,0.2,0.4,-4.33283e-4,0
0.01561745,0.01,0.2,0.4,-4.08437e-4,0
0.016281879,0.01,0.2,0.4,-3.82698e-4,0
0.016946309,0.01,0.2,0.4,-3.5626e-4,0
0.017610738,0.01,0.2,0.4,-3.29299e-4,0
0.018275168,0.01,0.2,0.4,-3.01975e-4,0
0.018939597,0.01,0.2,0.4,-2.74431e-4,0
0.019604027,0.01,0.2,0.4,-2.46794e-4,0
0.020268456,0.01,0.2,0.4,-2.19179e-4,0
0.020932886,0.01,0.2,0.4,-1.91687e-4,0
0.021597315,0.01,0.2,0.4,-1.64407e-4,0
0.022261745,0.01,0.2,0.4,-1.37417e-4,0
0.022926174,0.01,0.2,0.4,-1.10787e-4,0
0.023590604,0.01,0.2,0.4,-8.46e-5,0
0.024255034,0.01,0.2,0.4,-5.88e-5,0
0.024919463,0.01,0.2,0.4,-3.36e-5,0
0.025583893,0.01,0.2,0.4,-8.93e-6,0
0.026248322,0.01,0.2,0.4,1.52e-5,0
0.026912752,0.01,0.2,0.4,3.87e-5,0
0.027577181,0.01,0.2,0.4,6.15e-5,0
0.028241611,0.01,0.2,0.4,8.38e-5,0
0.02890604,0.01,0.2,0.4,1.05366e-4,0
0.02957047,0.01,0.2,0.4,1.26299e-4,0
0.030234899,0.01,0.2,0.4,1.46572e-4,0
0.030899329,0.01,0.2,0.4,1.66188e-4,0
0.031563758,0.01,0.2,0.4,1.85146e-4,0
0.032228188,0.01,0.2,0.4,2.03452e-4,0
0.032892617,0.01,0.2,0.4,2.21113e-4,0
0.033557047,0.01,0.2,0.4,2.38135e-4,0
0.034221477,0.01,0.2,0.4,2.5453e-4,0
0.034885906,0.01,0.2,0.4,2.70308e-4,0
0.035550336,0.01,0.2,0.4,2.85481e-4,0
0.036214765,0.01,0.2,0.4,3.00063e-4,0
0.036879195,0.01,0.2,0.4,3.14066e-4,0
0.037543624,0.01,0.2,0.4,3.27506e-4,0
0.038208054,0.01,0.2,0.4,3.40398e-4,0
0.038872483,0.01,0.2,0.4,3.52756e-4,0
0.039536913,0.01,0.2,0.4,3.64596e-4,0
0.040201342,0.01,0.2,0.4,3.75934e-4,0
0.040865772,0.01,0.2,0.4,3.86786e-4,0
0.041530201,0.01,0.2,0.4,3.97168e-4,0
0.042194631,0.01,0.2,0.4,4.07095e-4,0
0.04285906,0.01,0.2,0.4,4.16582e-4,0
0.04352349,0.01,0.2,0.4,4.25647e-4,0
0.044187919,0.01,0.2,0.4,4.34303e-4,0
0.044852349,0.01,0.2,0.4,4.42566e-4,0
0.045516779,0.01,0.2,0.4,4.50451e-4,0
0.046181208,0.01,0.2,0.4,4.57973e-4,0
0.046845638,0.01,0.2,0.4,4.65145e-4,0
0.047510067,0.01,0.2,0.4,4.71981e-4,0
0.048174497,0.01,0.2,0.4,4.78496e-4,0
0.048838926,0.01,0.2,0.4,4.84701e-4,0
0.049503356,0.01,0.2,0.4,4.90611e-4,0
0.050167785,0.01,0.2,0.4,4.96237e-4,0
0.050832215,0.01,0.2,0.4,5.01592e-4,0
0.051496644,0.01,0.2,0.4,5.06687e-4,0
0.052161074,0.01,0.2,0.4,5.11533e-4,0
0.052825503,0.01,0.2,0.4,5.16142e-4,0
0.053489933,0.01,0.2,0.4,5.20524e-4,0
0.054154362,0.01,0.2,0.4,5.24688e-4,0
0.054818792,0.01,0.2,0.4,5.28646e-4,0
0.055483221,0.01,0.2,0.4,5.32406e-4,0
0.056147651,0.01,0.2,0.4,5.35978e-4,0
0.056812081,0.01,0.2,0.4,5.39369e-4,0
0.05747651,0.01,0.2,0.4,5.42589e-4,0
0.05814094,0.01,0.2,0.4,5.45646e-4,0
0.058805369,0.01,0.2,0.4,5.48546e-4,0.02
0.059469799,0.01,0.2,0.4,5.51299e-4,0
0.060134228,0.01,0.2,0.4,5.5391e-4,0.02
0.060798658,0.01,0.2,0.4,5.56386e-4,0.06
0.061463087,0.01,0.2,0.4,5.58735e-4,0.08
0.062127517,0.01,0.2,0.4,5.60962e-4,0.1
0.062791946,0.01,0.2,0.4,5.63073e-4,0.06
0.063456376,0.01,0.2,0.4,5.65074e-4,0.08
0.064120805,0.01,0.2,0.4,5.6697e-4,0.1
0.064785235,0.01,0.2,0.4,5.68767e-4,0.1
0.065449664,0.01,0.2,0.4,5.7047e-4,0.22
0.066114094,0.01,0.2,0.4,5.72082e-4,0.3
0.066778523,0.01,0.2,0.4,5.73609e-4,0.22
0.067442953,0.01,0.2,0.4,5.75055e-4,0.42
0.068107383,0.01,0.2,0.4,5.76425e-4,0.42
0.068771812,0.01,0.2,0.4,5.77721e-4,0.48
0.069436242,0.01,0.2,0.4,5.78948e-4,0.5
0.070100671,0.01,0.2,0.4,5.8011e-4,0.7
0.070765101,0.01,0.2,0.4,5.81209e-4,0.68
0.07142953,0.01,0.2,0.4,5.82249e-4,0.62
0.07209396,0.01,0.2,0.4,5.83233e-4,0.78
0.072758389,0.01,0.2,0.4,5.84163e-4,0.88
0.073422819,0.01,0.2,0.4,5.85044e-4,0.84
0.074087248,0.01,0.2,0.4,5.85876e-4,0.9
0.074751678,0.01,0.2,0.4,5.86664e-4,0.94
0.075416107,0.01,0.2,0.4,5.87408e-4,0.94
0.076080537,0.01,0.2,0.4,5.88112e-4,0.96
0.076744966,0.01,0.2,0.4,5.88778e-4,0.92
0.077409396,0.01,0.2,0.4,5.89407e-4,0.96
0.078073826,0.01,0.2,0.4,5.90001e-4,1
0.078738255,0.01,0.2,0.4,5.90563e-4,1
