a,change
5.02513e-4,7
5.02513e-4,-1
5.02513e-4,13
5.02513e-4,-5
5.02513e-4,-2
5.02513e-4,-2
5.02513e-4,-4
5.02513e-4,10
5.02513e-4,4
5.02513e-4,-1
5.02513e-4,-3
5.02513e-4,2
5.02513e-4,-3
5.02513e-4,-2
5.02513e-4,12
5.02513e-4,-9
5.02513e-4,4
5.02513e-4,2
5.02513e-4,1
5.02513e-4,2
5.02513e-4,-4
5.02513e-4,-3
5.02513e-4,2
5.02513e-4,-9
5.02513e-4,9
5.02513e-4,-1
5.02513e-4,1
5.02513e-4,6
5.02513e-4,14
5.02513e-4,-8
5.02513e-4,2
5.02513e-4,-1
5.02513e-4,2
5.02513e-4,2
5.02513e-4,-4
5.02513e-4,6
5.02513e-4,2
5.02513e-4,5
5.02513e-4,8
5.02513e-4,-15
5.02513e-4,14
5.02513e-4,6
5.02513e-4,3
5.02513e-4,2
5.02513e-4,-1
5.02513e-4,7
5.02513e-4,-2
5.02513e-4,-12
5.02513e-4,1
5.02513e-4,-10
5.02513e-4,15
5.02513e-4,2
5.02513e-4,-5
5.02513e-4,4
5.02513e-4,3
5.02513e-4,-3
5.02513e-4,0
5.02513e-4,-8
5.02513e-4,-1
5.02513e-4,11
5.02513e-4,4
5.02513e-4,-3
5.02513e-4,9
5.02513e-4,25
5.02513e-4,4
5.02513e-4,-5
5.02513e-4,-9
5.02513e-4,1
5.02513e-4,4
5.02513e-4,4
5.02513e-4,-3
5.02513e-4,14
5.02513e-4,-5
5.02513e-4,2
5.02513e-4,5
5.02513e-4,11
5.02513e-4,5
5.02513e-4,1
5.02513e-4,1
5.02513e-4,-6
5.02513e-4,25
5.02513e-4,-2
5.02513e-4,21
5.02513e-4,19
5.02513e-4,4
5.02513e-4,-11
5.02513e-4,-11
5.02513e-4,-16
5.02513e-4,3
5.02513e-4,1
5.02513e-4,17
5.02513e-4,0
5.02513e-4,0
5.02513e-4,11
5.02513e-4,-7
5.02513e-4,0
5.02513e-4,-5
5.02513e-4,-5
5.02513e-4,-5
5.02513e-4,-13
9.54774e-4,-4
9.54774e-4,7
9.54774e-4,1
9.54774e-4,0
9.54774e-4,6
9.54774e-4,21
9.54774e-4,-1
9.54774e-4,2
9.54774e-4,1
9.54774e-4,17
9.54774e-4,27
9.54774e-4,1
9.54774e-4,2
9.54774e-4,-3
9.54774e-4,19
9.54774e-4,27
9.54774e-4,6
9.54774e-4,-15
9.54774e-4,5
9.54774e-4,10
9.54774e-4,-1
9.54774e-4,20
9.54774e-4,11
9.54774e-4,4
9.54774e-4,5
9.54774e-4,19
9.54774e-4,-7
9.54774e-4,4
9.54774e-4,1
9.54774e-4,10
9.54774e-4,8
9.54774e-4,6
9.54774e-4,-2
9.54774e-4,-2
9.54774e-4,11
9.54774e-4,13
9.54774e-4,-3
9.54774e-4,11
9.54774e-4,2
9.54774e-4,-10
9.54774e-4,1
9.54774e-4,-10
9.54774e-4,-1
9.54774e-4,2
9.54774e-4,-10
9.54774e-4,21
9.54774e-4,17
9.54774e-4,43
9.54774e-4,-22
9.54774e-4,-2
9.54774e-4,4
9.54774e-4,24
9.54774e-4,-2
9.54774e-4,8
9.54774e-4,0
9.54774e-4,16
9.54774e-4,7
9.54774e-4,5
9.54774e-4,-11
9.54774e-4,25
9.54774e-4,10
9.54774e-4,0
9.54774e-4,30
9.54774e-4,-14
9.54774e-4,20
9.54774e-4,-15
9.54774e-4,-4
9.54774e-4,-5
9.54774e-4,17
9.54774e-4,9
9.54774e-4,-6
9.54774e-4,-6
9.54774e-4,22
9.54774e-4,1
9.54774e-4,-18
9.54774e-4,7
9.54774e-4,3
9.54774e-4,2
9.54774e-4,0
9.54774e-4,18
9.54774e-4,-23
9.54774e-4,-8
9.54774e-4,-4
9.54774e-4,-2
9.54774e-4,-1
9.54774e-4,1
9.54774e-4,19
9.54774e-4,11
9.54774e-4,2
9.54774e-4,14
