a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,1,0.75,0.7,0.5,0.544444,0.5,0.362963,0.0,0.0925926
0.0688,1,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0688,1,0.54,1,0.146341,0.19375,0.0243902,0.0425409,0.243902,0.275373,0.731707,0.682086
0.0688,1,0.47,2,0.602273,0.577381,0.386364,0.379553,0.431818,0.43216,0.181818,0.188288
0.0688,1,0.5,2,0.985714,0.963235,0.971429,0.942755,0.0285714,0.0559736,0.0,0.00127166
0.0688,1,0.54,2,0.45,0.361111,0.2,0.150366,0.5,0.413827,0.3,0.435807
0.0688,1,0.47,3,0.804348,0.708333,0.652174,0.556324,0.304348,0.356338,0.0434783,0.0873378
0.0688,1,0.5,3,0.862069,0.862069,0.724138,0.785797,0.275862,0.195576,0.0,0.0186263
0.0688,1,0.54,3,0.4,0.287037,0.2,0.0945501,0.4,0.365323,0.4,0.540127
0.0688,1,0.47,4,0.551724,0.509091,0.344828,0.297533,0.413793,0.4463,0.241379,0.256167
0.0688,1,0.5,4,0.981481,0.947368,0.962963,0.91804,0.037037,0.0793368,0.0,0.00262357
0.0688,1,0.54,4,0.354167,0.34375,0.1875,0.136159,0.333333,0.404351,0.479167,0.45949
0.0688,1,0.47,5,0.529412,0.516393,0.294118,0.305916,0.470588,0.445655,0.235294,0.248428
0.0688,1,0.5,5,0.763889,0.782051,0.583333,0.664262,0.361111,0.287968,0.0555556,0.0477699
0.0688,1,0.54,5,0.5,0.540541,0.142857,0.334314,0.714286,0.442037,0.142857,0.22365
0.0688,1,0.47,6,0.583333,0.5625,0.555556,0.36101,0.0555556,0.436778,0.388889,0.202212
0.0688,1,0.5,6,0.75,0.688679,0.615385,0.528426,0.269231,0.371587,0.115385,0.0999868
0.0688,1,0.54,6,0.314286,0.335821,0.0571429,0.129897,0.514286,0.399634,0.428571,0.470469
0.0688,1,0.47,7,0.5,0.463235,0.314286,0.247178,0.371429,0.445531,0.314286,0.307291
0.0688,1,0.5,7,0.8,0.76087,0.6,0.632772,0.4,0.309355,0.0,0.0578726
0.0688,1,0.54,7,0.384615,0.481818,0.192308,0.2671,0.384615,0.446846,0.423077,0.286054
0.0688,1,0.47,8,0.384615,0.438596,0.192308,0.221821,0.384615,0.441669,0.423077,0.33651
0.0688,1,0.5,8,0.466667,0.539683,0.233333,0.333287,0.466667,0.442204,0.3,0.224509
0.0688,1,0.54,8,0.229167,0.305085,0.0416667,0.106984,0.375,0.379068,0.583333,0.513948
0.0688,1,0.47,9,0.5,0.481132,0.25,0.266352,0.5,0.446822,0.25,0.286826
0.0688,1,0.5,9,0.613636,0.57,0.318182,0.370311,0.590909,0.434556,0.0909091,0.195133
0.0688,1,0.54,9,0.225806,0.279661,0.0322581,0.0896876,0.387097,0.359354,0.580645,0.550958
0.0688,1,0.47,10,0.421053,0.464286,0.263158,0.248286,0.315789,0.445642,0.421053,0.306072
0.0688,1,0.5,10,0.518519,0.545455,0.222222,0.340217,0.592593,0.441022,0.185185,0.218761
0.0688,1,0.54,10,0.280488,0.323944,0.0,0.120785,0.560976,0.392115,0.439024,0.487099
0.0688,1,0.47,11,0.333333,0.3875,0.0,0.173246,0.666667,0.425973,0.333333,0.400781
0.0688,1,0.5,11,0.543478,0.613208,0.391304,0.425605,0.304348,0.417603,0.304348,0.156792
0.0688,1,0.54,11,0.375,0.414634,0.125,0.198353,0.5,0.435598,0.375,0.366049
0.0688,1,0.47,12,0.380952,0.415094,0.0952381,0.198792,0.571429,0.435736,0.333333,0.365472
0.0688,1,0.5,12,0.513158,0.516129,0.236842,0.305611,0.552632,0.445682,0.210526,0.248707
0.0688,1,0.54,12,0.361111,0.270833,0.111111,0.0840362,0.5,0.351947,0.388889,0.564017
0.0688,1,0.47,13,0.321429,0.321429,0.0714286,0.118897,0.5,0.390453,0.428571,0.490649
0.0688,1,0.5,13,0.5,0.492424,0.275862,0.278769,0.448276,0.446983,0.275862,0.274248
0.0688,1,0.54,13,0.55,0.466102,0.233333,0.250207,0.633333,0.445823,0.133333,0.30397
0.0688,1,0.47,14,0.219512,0.268657,0.097561,0.082671,0.243902,0.350076,0.658537,0.567253
0.0688,1,0.5,14,0.37931,0.405797,0.137931,0.190003,0.482759,0.432784,0.37931,0.377214
0.0688,1,0.54,14,0.26087,0.3125,0.0,0.112313,0.521739,0.384359,0.478261,0.503328
0.0688,1,0.47,15,0.390244,0.382716,0.243902,0.168984,0.292683,0.423974,0.463415,0.407041
0.0688,1,0.5,15,0.482143,0.407407,0.285714,0.191512,0.392857,0.43332,0.321429,0.375169
0.0688,1,0.54,15,0.314286,0.328125,0.0857143,0.123956,0.457143,0.394824,0.457143,0.48122
0.0688,1,0.47,16,0.244898,0.26087,0.0816327,0.0778784,0.326531,0.343242,0.591837,0.57888
0.0688,1,0.5,16,0.5,0.55,0.307692,0.345714,0.384615,0.44,0.307692,0.214286
0.0688,1,0.54,16,0.273585,0.281915,0.132075,0.0911599,0.283019,0.361199,0.584906,0.547641
0.0688,1,0.47,17,0.4,0.388889,0.25,0.174492,0.3,0.426537,0.45,0.398971
0.0688,1,0.5,17,0.53125,0.529412,0.375,0.321098,0.3125,0.443988,0.3125,0.234914
0.0688,1,0.54,17,0.225,0.276596,0.0,0.0877045,0.45,0.356815,0.55,0.555481
0.0688,1,0.47,18,0.447368,0.377778,0.210526,0.164638,0.473684,0.421817,0.315789,0.413546
0.0688,1,0.5,18,0.166667,0.2,0.0,0.0453782,0.333333,0.282353,0.666667,0.672269
0.0688,1,0.54,18,0.352273,0.348684,0.136364,0.140128,0.431818,0.407164,0.431818,0.452709
0.0688,1,0.47,19,0.28,0.252688,0.1,0.0729976,0.36,0.335824,0.54,0.591179
0.0688,1,0.5,19,0.214286,0.25,0.0,0.0714286,0.428571,0.333333,0.571429,0.595238
0.0688,1,0.54,19,0.242424,0.239437,0.0606061,0.065429,0.363636,0.323296,0.575758,0.611275
0.0688,1,0.47,20,0.1,0.14,0.0,0.0219804,0.2,0.210035,0.8,0.767985
0.0688,1,0.5,20,0.517857,0.457627,0.357143,0.241299,0.321429,0.444864,0.321429,0.313837
0.0688,1,0.54,20,0.166667,0.202128,0.037037,0.0463653,0.259259,0.284699,0.703704,0.668936
0.0688,1,0.47,21,0.0757576,0.122642,0.030303,0.0168025,0.0909091,0.186982,0.878788,0.796215
0.0688,1,0.5,21,0.375,0.351562,0.2,0.142468,0.35,0.40876,0.45,0.448771
0.0688,1,0.54,21,0.121622,0.198529,0.0540541,0.0447022,0.135135,0.280722,0.810811,0.674575
0.0688,1,0.47,22,0.208333,0.223077,0.0833333,0.0566613,0.25,0.306969,0.666667,0.636369
0.0688,1,0.5,22,0.233333,0.282051,0.0666667,0.0912493,0.333333,0.361311,0.6,0.54744
0.0688,1,0.54,22,0.347222,0.335821,0.222222,0.129897,0.25,0.399634,0.527778,0.470469
0.0688,1,0.47,23,0.172414,0.211864,0.103448,0.0510204,0.137931,0.295238,0.758621,0.653741
0.0688,1,0.5,23,0.333333,0.307692,0.0740741,0.108844,0.518519,0.380952,0.407407,0.510204
0.0688,1,0.54,23,0.216667,0.241071,0.0666667,0.0663402,0.3,0.324876,0.633333,0.608784
0.0688,1,0.47,24,0.152174,0.21875,0.0434783,0.0544489,0.217391,0.302494,0.73913,0.643057
0.0688,1,0.5,24,0.1875,0.277778,0.0416667,0.0884666,0.291667,0.357798,0.666667,0.553735
0.0688,1,0.54,24,0.211111,0.205128,0.0,0.0477757,0.422222,0.287981,0.577778,0.664243
0.0688,1,0.47,25,0.178571,0.209091,0.0,0.0496714,0.357143,0.292269,0.642857,0.658059
0.0688,1,0.5,25,0.229167,0.239583,0.0416667,0.0655105,0.375,0.323438,0.583333,0.611051
0.0688,1,0.54,25,0.178571,0.191667,0.107143,0.0416159,0.142857,0.273017,0.75,0.685368
0.0688,1,0.47,26,0.0344828,0.0862069,0.0,0.0082287,0.0689655,0.135682,0.931034,0.856089
0.0688,1,0.5,26,0.128571,0.166667,0.0,0.0313225,0.257143,0.243619,0.742857,0.725058
0.0688,1,0.54,26,0.1,0.166667,0.0,0.0313225,0.2,0.243619,0.8,0.725058
0.0688,1,0.47,27,0.15,0.197674,0.05,0.0443116,0.2,0.279771,0.75,0.675917
0.0688,1,0.5,27,0.3125,0.242857,0.125,0.0673427,0.375,0.32659,0.5,0.606067
0.0688,1,0.54,27,0.02,0.04,0.0,0.00174927,0.04,0.0653061,0.96,0.932945
0.0688,1,0.47,28,0.1,0.1,0.0,0.0111111,0.2,0.155556,0.8,0.833333
0.0688,1,0.5,28,0.125,0.2,0.0,0.0453782,0.25,0.282353,0.75,0.672269
0.0688,1,0.54,28,0.1875,0.181818,0.0833333,0.0373832,0.208333,0.261682,0.708333,0.700935
0.0688,1,0.47,29,0.0238095,0.0520833,0.0,0.00297606,0.047619,0.0842555,0.952381,0.912768
0.0688,1,0.5,29,0.113636,0.109756,0.0909091,0.0134167,0.0454545,0.169282,0.863636,0.817301
0.0688,1,0.54,29,0.0588235,0.112069,0.0,0.0139958,0.117647,0.172495,0.882353,0.813509
0.0688,1,0.47,30,0.136364,0.153846,0.0,0.0266207,0.272727,0.227754,0.727273,0.745625
0.0688,1,0.5,30,0.0294118,0.0625,0.0,0.00429799,0.0588235,0.100287,0.941176,0.895415
0.0688,1,0.54,30,0.0921053,0.0985915,0.0,0.0107966,0.184211,0.153551,0.815789,0.835652
0.0688,1,0.47,31,0.173913,0.154762,0.0,0.0269436,0.347826,0.228905,0.652174,0.744151
0.0688,1,0.5,31,0.133333,0.102941,0.0,0.0117828,0.266667,0.159723,0.733333,0.828494
0.0688,1,0.54,31,0.05,0.076087,0.05,0.00639322,0.0,0.120761,0.95,0.872846
0.0688,1,0.47,32,0.1,0.112676,0.0,0.0141499,0.2,0.173336,0.8,0.812514
0.0688,1,0.5,32,0.125,0.133929,0.0,0.0200886,0.25,0.202077,0.75,0.777835
0.0688,1,0.54,32,0.0833333,0.0942029,0.0,0.00984598,0.166667,0.147269,0.833333,0.842885
0.0688,1,0.47,33,0.0357143,0.0446429,0.0,0.00218185,0.0714286,0.0726315,0.928571,0.925187
0.0688,1,0.5,33,0.0,0.0365854,0.0,0.0014619,0.0,0.0598838,1.0,0.938654
0.0688,1,0.54,33,0.148649,0.139706,0.0540541,0.0218867,0.189189,0.209652,0.756757,0.768461
0.0688,1,0.47,34,0.0125,0.0208333,0.0,0.000471814,0.025,0.0344948,0.975,0.965033
0.0688,1,0.5,34,0.119048,0.151163,0.0,0.0256859,0.238095,0.224368,0.761905,0.749947
0.0688,1,0.54,34,0.131579,0.123077,0.0263158,0.0169238,0.210526,0.187572,0.763158,0.795505
0.0688,1,0.47,35,0.0483871,0.0344828,0.0,0.00129789,0.0967742,0.0565303,0.903226,0.942172
0.0688,1,0.5,35,0.0625,0.0785714,0.0,0.00682203,0.125,0.12445,0.875,0.868728
0.0688,1,0.54,35,0.0322581,0.0508475,0.0,0.00283551,0.0645161,0.0823347,0.935484,0.91483
0.0688,1,0.47,36,0.0,0.00757576,0.0,6.21327e-05,0.0,0.0126613,1.0,0.987277
0.0688,1,0.5,36,0.0285714,0.027027,0.0,0.000795545,0.0571429,0.0445505,0.942857,0.954654
0.0688,1,0.54,36,0.06,0.0480769,0.0,0.00253293,0.12,0.0780142,0.88,0.919453
0.0688,1,0.47,37,0.0138889,0.00769231,0.0,6.40615e-05,0.0277778,0.012855,0.972222,0.987081
0.0688,1,0.5,37,0.0740741,0.0652174,0.0,0.00468334,0.148148,0.104421,0.851852,0.890895
0.0688,1,0.54,37,0.0128205,0.0205479,0.0,0.000458936,0.025641,0.0340292,0.974359,0.965512
0.0688,1,0.47,38,0.0,0.0178571,0.0,0.000346323,0.0,0.0296298,1.0,0.970024
0.0688,1,0.5,38,0.0172414,0.00943396,0.0,9.64072e-05,0.0344828,0.0157465,0.965517,0.984157
0.0688,1,0.54,38,0.0121951,0.028169,0.0,0.000864491,0.0243902,0.0463944,0.97561,0.952741
0.0688,1,0.47,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,39,0.0,0.0166667,0.0,0.000301575,0.0,0.0276779,1.0,0.972021
0.0688,1,0.54,39,0.125,0.103448,0.09375,0.0119007,0.0625,0.160439,0.84375,0.827661
0.0688,1,0.47,40,0.0,0.0106383,0.0,0.000122639,0.0,0.0177418,1.0,0.982136
0.0688,1,0.5,40,0.0217391,0.0454545,0.0,0.00226244,0.0434783,0.0739065,0.956522,0.923831
0.0688,1,0.54,40,0.0,0.00862069,0.0,8.04812e-05,0.0,0.0143972,1.0,0.985522
