a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,1,0.74,0.73,0.48,0.587541,0.52,0.338037,0.0,0.0744212
0.0688,1,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0688,1,0.54,1,0.277778,0.307692,0.111111,0.108844,0.333333,0.380952,0.555556,0.510204
0.0688,1,0.47,2,0.64,0.588889,0.48,0.394133,0.32,0.42801,0.2,0.177857
0.0688,1,0.5,2,0.861111,0.84375,0.722222,0.75768,0.277778,0.218262,0.0,0.0240588
0.0688,1,0.54,2,0.28,0.357143,0.08,0.147059,0.4,0.411765,0.52,0.441176
0.0688,1,0.47,3,0.578947,0.518182,0.315789,0.307984,0.526316,0.445466,0.157895,0.246551
0.0688,1,0.5,3,0.892857,0.867925,0.785714,0.794814,0.214286,0.188144,0.0,0.0170421
0.0688,1,0.54,3,0.461538,0.37069,0.269231,0.158493,0.384615,0.418552,0.346154,0.422955
0.0688,1,0.47,4,0.684211,0.644444,0.421053,0.46727,0.526316,0.401029,0.0526316,0.131701
0.0688,1,0.5,4,0.766667,0.769231,0.666667,0.645161,0.2,0.301075,0.133333,0.0537634
0.0688,1,0.54,4,0.525641,0.492857,0.230769,0.27925,0.589744,0.446979,0.179487,0.273771
0.0688,1,0.47,5,0.557692,0.5,0.307692,0.287234,0.5,0.446809,0.192308,0.265957
0.0688,1,0.5,5,0.805556,0.811111,0.666667,0.707981,0.277778,0.256468,0.0555556,0.0355509
0.0688,1,0.54,5,0.62069,0.578125,0.413793,0.380489,0.413793,0.431907,0.172414,0.187604
0.0688,1,0.47,6,0.553571,0.570312,0.392857,0.370701,0.321429,0.434459,0.285714,0.19484
0.0688,1,0.5,6,0.863636,0.802632,0.727273,0.695168,0.272727,0.265911,0.0,0.0389214
0.0688,1,0.54,6,0.327586,0.3,0.137931,0.103404,0.37931,0.375319,0.482759,0.521277
0.0688,1,0.47,7,0.596154,0.53125,0.461538,0.323266,0.269231,0.443699,0.269231,0.233035
0.0688,1,0.5,7,0.88,0.868421,0.76,0.795579,0.24,0.18751,0.0,0.0169111
0.0688,1,0.54,7,0.40625,0.430233,0.125,0.213494,0.5625,0.43981,0.3125,0.346697
0.0688,1,0.47,8,0.428571,0.490909,0.25,0.277089,0.357143,0.446991,0.392857,0.27592
0.0688,1,0.5,8,0.826087,0.780488,0.652174,0.661926,0.347826,0.289593,0.0,0.0484809
0.0688,1,0.54,8,0.522727,0.538462,0.181818,0.331828,0.681818,0.442438,0.136364,0.225734
0.0688,1,0.47,9,0.5,0.523256,0.142857,0.313881,0.714286,0.444859,0.142857,0.24126
0.0688,1,0.5,9,0.875,0.845238,0.75,0.759958,0.25,0.216451,0.0,0.0235904
0.0688,1,0.54,9,0.444444,0.428571,0.222222,0.211857,0.444444,0.439407,0.333333,0.348736
0.0688,1,0.47,10,0.434783,0.420455,0.173913,0.203943,0.521739,0.437283,0.304348,0.358774
0.0688,1,0.5,10,0.923077,0.872727,0.846154,0.802218,0.153846,0.181985,0.0,0.0157973
0.0688,1,0.54,10,0.295455,0.337209,0.0909091,0.130983,0.409091,0.400478,0.5,0.468539
0.0688,1,0.47,11,0.75,0.679487,0.6875,0.515525,0.125,0.378268,0.1875,0.106207
0.0688,1,0.5,11,0.666667,0.693182,0.380952,0.53478,0.571429,0.368209,0.047619,0.0970106
0.0688,1,0.54,11,0.365385,0.425926,0.153846,0.209262,0.423077,0.438744,0.423077,0.351994
0.0688,1,0.47,12,0.629032,0.571429,0.451613,0.372093,0.354839,0.434109,0.193548,0.193798
0.0688,1,0.5,12,0.7,0.672414,0.466667,0.505664,0.466667,0.38321,0.0666667,0.111126
0.0688,1,0.54,12,0.288462,0.391304,0.115385,0.17667,0.346154,0.427498,0.538462,0.395832
0.0688,1,0.47,13,0.833333,0.712766,0.666667,0.562672,0.333333,0.35272,0.0,0.0846077
0.0688,1,0.5,13,0.666667,0.628205,0.333333,0.445442,0.666667,0.41009,0.0,0.144468
0.0688,1,0.54,13,0.916667,0.65,0.833333,0.474818,0.166667,0.397711,0.0,0.127471
0.0688,1,0.47,14,0.321429,0.447368,0.0714286,0.230708,0.5,0.443321,0.428571,0.325971
0.0688,1,0.5,14,0.75,0.710526,0.625,0.559462,0.25,0.354556,0.125,0.0859815
0.0688,1,0.54,14,0.4,0.346939,0.25,0.138718,0.3,0.406179,0.45,0.455103
0.0688,1,0.47,15,0.738636,0.701389,0.545455,0.546419,0.386364,0.361875,0.0681818,0.0917057
0.0688,1,0.5,15,0.606061,0.590909,0.363636,0.396714,0.484848,0.42723,0.151515,0.176056
0.0688,1,0.54,15,0.545455,0.483051,0.363636,0.268445,0.363636,0.446885,0.272727,0.28467
0.0688,1,0.47,16,0.56,0.564516,0.32,0.363501,0.48,0.436202,0.2,0.200297
0.0688,1,0.5,16,0.704545,0.683673,0.409091,0.521388,0.590909,0.375261,0.0,0.10335
0.0688,1,0.54,16,0.32,0.366071,0.04,0.154549,0.56,0.416319,0.4,0.429132
0.0688,1,0.47,17,0.694444,0.670732,0.611111,0.503328,0.166667,0.384359,0.222222,0.112313
0.0688,1,0.5,17,0.638889,0.655172,0.333333,0.481881,0.611111,0.394522,0.0555556,0.123597
0.0688,1,0.54,17,0.361111,0.445652,0.222222,0.228957,0.277778,0.443022,0.5,0.328021
0.0688,1,0.47,18,0.931818,0.804348,0.863636,0.697757,0.136364,0.264016,0.0,0.0382263
0.0688,1,0.5,18,0.8,0.704918,0.6,0.551446,0.4,0.359081,0.0,0.0894721
0.0688,1,0.54,18,0.5,0.4375,0.354839,0.220721,0.290323,0.441441,0.354839,0.337838
0.0688,1,0.47,19,0.375,0.414286,0.125,0.19802,0.5,0.435493,0.375,0.366486
0.0688,1,0.5,19,0.566667,0.575,0.366667,0.376562,0.4,0.432955,0.233333,0.190482
0.0688,1,0.54,19,0.425926,0.425,0.222222,0.208358,0.407407,0.438505,0.37037,0.353138
0.0688,1,0.47,20,0.44,0.522222,0.28,0.312676,0.32,0.444991,0.4,0.242333
0.0688,1,0.5,20,0.711538,0.7125,0.5,0.562291,0.423077,0.352939,0.0769231,0.0847702
0.0688,1,0.54,20,0.166667,0.458333,0.0,0.242036,0.333333,0.444955,0.666667,0.313009
0.0688,1,0.47,21,0.583333,0.568627,0.333333,0.368602,0.5,0.434979,0.166667,0.196419
0.0688,1,0.5,21,0.7,0.744681,0.48,0.608948,0.44,0.324772,0.08,0.06628
0.0688,1,0.54,21,0.233333,0.308824,0.0333333,0.109655,0.4,0.381762,0.566667,0.508583
0.0688,1,0.47,22,0.628205,0.598592,0.410256,0.406584,0.435897,0.424123,0.153846,0.169293
0.0688,1,0.5,22,0.859375,0.783333,0.8125,0.666179,0.09375,0.28663,0.09375,0.0471909
0.0688,1,0.54,22,0.333333,0.378049,0.133333,0.164875,0.4,0.421938,0.466667,0.413188
0.0688,1,0.47,23,0.542857,0.530769,0.228571,0.322699,0.628571,0.443776,0.142857,0.233526
0.0688,1,0.5,23,0.821429,0.741935,0.714286,0.60493,0.214286,0.327305,0.0714286,0.067765
0.0688,1,0.54,23,0.295455,0.3375,0.181818,0.131211,0.227273,0.400653,0.590909,0.468135
0.0688,1,0.47,24,0.58,0.5625,0.44,0.36101,0.28,0.436778,0.28,0.202212
0.0688,1,0.5,24,0.714286,0.680556,0.619048,0.517019,0.190476,0.377506,0.190476,0.105474
0.0688,1,0.54,24,0.5625,0.560606,0.3125,0.358676,0.5,0.437305,0.1875,0.204019
0.0688,1,0.47,25,0.7,0.65,0.466667,0.474818,0.466667,0.397711,0.0666667,0.127471
0.0688,1,0.5,25,0.75,0.707547,0.615385,0.5552,0.269231,0.356973,0.115385,0.0878267
0.0688,1,0.54,25,0.425926,0.5,0.185185,0.287234,0.481481,0.446809,0.333333,0.265957
0.0688,1,0.47,26,0.467742,0.478261,0.322581,0.263234,0.290323,0.446701,0.387097,0.290065
0.0688,1,0.5,26,0.611111,0.657407,0.37037,0.484943,0.481481,0.393115,0.148148,0.121942
0.0688,1,0.54,26,0.307692,0.328947,0.153846,0.124585,0.307692,0.395349,0.538462,0.480066
0.0688,1,0.47,27,0.75,0.655172,0.6,0.481881,0.3,0.394522,0.1,0.123597
0.0688,1,0.5,27,0.642857,0.655172,0.428571,0.481881,0.428571,0.394522,0.142857,0.123597
0.0688,1,0.54,27,0.441176,0.40625,0.411765,0.190427,0.0588235,0.432935,0.529412,0.376638
0.0688,1,0.47,28,0.458333,0.565789,0.25,0.365078,0.416667,0.43583,0.333333,0.199092
