a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,1,0.794118,0.0,0.705882,0.0,0.176471,0.0,0.117647,1.0
0.0688,1,0.5,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0688,1,0.54,1,0.18,0.0,0.0689655,0.0,0.172414,0.0,0.62069,1.0
0.0688,1,0.47,2,0.525,0.81994,0.35,0.682348,0.35,0.275185,0.3,0.0424669
0.0688,1,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0688,1,0.54,2,0.316667,0.166404,0.105263,0.036627,0.789474,0.259555,0.684211,0.703818
0.0688,1,0.47,3,0.53125,0.538233,0.34375,0.315919,0.375,0.444627,0.28125,0.239453
0.0688,1,0.5,3,0.84,1.0,0.72,1.0,0.24,0.0,0.04,0.0
0.0688,1,0.54,3,0.378788,0.308983,0.4,0.115363,0.2,0.387241,0.72,0.497396
0.0688,1,0.47,4,0.4,0.545116,0.15,0.323266,0.5,0.443699,0.35,0.233035
0.0688,1,0.5,4,0.705882,0.863341,0.411765,0.751942,0.588235,0.222798,0.0,0.0252605
0.0688,1,0.54,4,0.34375,0.376655,0.0588235,0.165522,0.529412,0.422266,0.352941,0.412212
0.0688,1,0.47,5,0.613636,0.4,0.363636,0.184615,0.5,0.430769,0.136364,0.384615
0.0688,1,0.5,5,0.863636,0.731978,0.818182,0.552822,0.0909091,0.358311,0.0909091,0.0888668
0.0688,1,0.54,5,0.421053,0.338335,0.181818,0.136159,1.09091,0.404351,0.454545,0.45949
0.0688,1,0.47,6,0.585714,0.634868,0.257143,0.426168,0.657143,0.417399,0.0857143,0.156433
0.0688,1,0.5,6,0.86,0.885007,0.72,0.78821,0.28,0.193595,0.0,0.0181951
0.0688,1,0.54,6,0.404762,0.423245,0.2,0.204521,0.28,0.437448,0.36,0.358031
0.0688,1,0.47,7,0.638889,0.604693,0.388889,0.39009,0.5,0.429205,0.111111,0.180705
0.0688,1,0.5,7,0.785714,0.881706,0.571429,0.782615,0.428571,0.198182,0.0,0.0192036
0.0688,1,0.54,7,0.316667,0.405252,0.142857,0.189035,0.392857,0.432434,0.535714,0.378531
0.0688,1,0.47,8,0.568966,0.661881,0.241379,0.459763,0.655172,0.404236,0.103448,0.136001
0.0688,1,0.5,8,0.45,0.811808,0.25,0.669742,0.4,0.284133,0.35,0.0461255
0.0688,1,0.54,8,0.37037,0.308983,0.15,0.115363,0.7,0.387241,0.5,0.497396
