a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,1,0.833333,0.0,0.666667,0.0,0.333333,0.0,0.0,1.0
0.0688,1,0.5,1,0.92,0.0,0.84,0.0,0.16,0.0,0.0,1.0
0.0688,1,0.54,1,0.25,0.0,0.0,0.0,0.4,0.0,0.4,1.0
0.0688,1,0.47,2,0.772727,0.857143,0.545455,0.741758,0.454545,0.230769,0.0,0.0274725
0.0688,1,0.5,2,0.935484,0.934661,0.870968,0.875452,0.129032,0.118419,0.0,0.00612933
0.0688,1,0.54,2,0.416667,0.238095,0.0967742,0.0714286,0.451613,0.333333,0.225806,0.595238
0.0688,1,0.47,3,0.708333,0.799133,0.458333,0.650358,0.5,0.29755,0.0416667,0.052092
0.0688,1,0.5,3,0.8125,0.947788,0.6875,0.899537,0.25,0.096502,0.0625,0.00396149
0.0688,1,0.54,3,0.321429,0.418398,0.0,0.200297,0.5625,0.436202,0.3125,0.363501
0.0688,1,0.47,4,0.477273,0.734493,0.227273,0.556324,0.5,0.356338,0.272727,0.0873378
0.0688,1,0.5,4,1.0,0.837535,1.0,0.710084,0.0,0.254902,0.0,0.035014
0.0688,1,0.54,4,0.5,0.314124,0.238095,0.118897,0.142857,0.390453,0.238095,0.490649
0.0688,1,0.47,5,0.611111,0.48549,0.333333,0.262165,0.555556,0.446651,0.111111,0.291184
0.0688,1,0.5,5,0.961538,1.0,0.923077,1.0,0.0769231,0.0,0.0,0.0
0.0688,1,0.54,5,0.403846,0.510638,0.384615,0.287234,0.846154,0.446809,0.769231,0.265957
0.0688,1,0.47,6,0.705882,0.632151,0.529412,0.422858,0.352941,0.418587,0.117647,0.158556
0.0688,1,0.5,6,0.88,0.969359,0.8,0.940111,0.16,0.0584958,0.04,0.00139276
0.0688,1,0.54,6,0.535714,0.404242,0.32,0.188182,0.56,0.432121,0.24,0.379698
0.0688,1,0.47,7,0.516667,0.731978,0.366667,0.552822,0.3,0.358311,0.333333,0.0888668
0.0688,1,0.5,7,0.793103,0.89972,0.62069,0.813445,0.344828,0.172549,0.0344828,0.0140056
0.0688,1,0.54,7,0.346154,0.550027,0.241379,0.328556,0.448276,0.442942,0.655172,0.228502
0.0688,1,0.47,8,1.0,0.529045,1.0,0.306232,0.0,0.445627,0.0,0.248141
0.0688,1,0.5,8,0.888889,0.818962,0.777778,0.680824,0.222222,0.276276,0.0,0.0429
0.0688,1,0.54,8,0.325,0.340952,0.166667,0.138086,0.388889,0.405733,0.555556,0.456181
0.0688,1,0.47,9,0.66,1.0,0.48,1.0,0.36,0.0,0.16,0.0
0.0688,1,0.5,9,0.818182,0.907611,0.681818,0.82719,0.272727,0.160843,0.0454545,0.0119674
0.0688,1,0.54,9,0.6,0.317986,0.454545,0.121583,0.454545,0.392806,0.227273,0.485612
0.0688,1,0.47,10,0.796875,0.684233,0.59375,0.488503,0.40625,0.39146,0.0,0.120037
0.0688,1,0.5,10,0.775862,0.842918,0.62069,0.718699,0.310345,0.248439,0.0689655,0.0328623
0.0688,1,0.54,10,0.309524,0.620168,0.172414,0.408403,0.103448,0.423529,0.448276,0.168067
0.0688,1,0.47,11,0.612903,0.822597,0.354839,0.686494,0.516129,0.272205,0.129032,0.0413009
0.0688,1,0.5,11,0.882353,0.802204,0.764706,0.655026,0.235294,0.294357,0.0,0.050617
0.0688,1,0.54,11,0.5625,0.301289,0.411765,0.110159,0.235294,0.382261,0.294118,0.507581
0.0688,1,0.47,12,0.588235,0.634079,0.411765,0.425206,0.352941,0.417746,0.235294,0.157048
0.0688,1,0.5,12,0.740741,0.901816,0.592593,0.817081,0.296296,0.169469,0.111111,0.0134499
0.0688,1,0.54,12,0.365385,0.579399,0.0740741,0.36101,0.555556,0.436778,0.333333,0.202212
0.0688,1,0.47,13,0.76,0.607429,0.52,0.393299,0.48,0.428259,0.0,0.178441
0.0688,1,0.5,13,0.681818,0.767383,0.454545,0.603183,0.454545,0.3284,0.0909091,0.0684166
0.0688,1,0.54,13,0.391304,0.361956,0.0909091,0.153966,0.363636,0.41598,0.242424,0.430054
0.0688,1,0.47,14,0.689655,0.786589,0.517241,0.631487,0.344828,0.310204,0.137931,0.058309
0.0688,1,0.5,14,1.0,0.707088,1.0,0.518787,0.0,0.376601,0.0,0.104611
0.0688,1,0.54,14,0.423077,0.390419,0.4,0.17667,0.666667,0.427498,0.666667,0.395832
0.0688,1,0.47,15,0.706897,0.715232,0.517241,0.529801,0.37931,0.370861,0.103448,0.0993377
0.0688,1,0.5,15,0.961538,1.0,0.923077,1.0,0.0769231,0.0,0.0,0.0
0.0688,1,0.54,15,0.347826,0.425484,0.307692,0.206485,0.615385,0.437998,0.846154,0.355518
0.0688,1,0.47,16,0.689655,0.733019,0.37931,0.554271,0.62069,0.357497,0.0,0.0882324
0.0688,1,0.5,16,0.9,0.969359,0.8,0.940111,0.2,0.0584958,0.0,0.00139276
0.0688,1,0.54,16,0.446429,0.342774,0.15,0.139434,0.95,0.406681,0.3,0.453885
0.0688,1,0.47,17,0.537037,0.715232,0.259259,0.529801,0.555556,0.370861,0.185185,0.0993377
0.0688,1,0.5,17,0.645833,0.917375,0.416667,0.844402,0.458333,0.145946,0.125,0.00965251
0.0688,1,0.54,17,0.552632,0.451327,0.291667,0.229748,0.291667,0.443159,0.208333,0.327093
0.0688,1,0.47,18,0.857143,0.551481,0.714286,0.33013,0.285714,0.442703,0.0,0.227167
0.0688,1,0.5,18,0.913043,0.669258,0.826087,0.469153,0.173913,0.40021,0.0,0.130637
0.0688,1,0.54,18,0.673077,0.568599,0.478261,0.348913,0.565217,0.439372,0.0869565,0.211715
0.0688,1,0.47,19,0.638889,0.879103,0.5,0.778223,0.277778,0.201761,0.222222,0.020016
0.0688,1,0.5,19,0.833333,0.928691,0.666667,0.864643,0.333333,0.128095,0.0,0.00726164
