a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.08,1,0.47,1,0.683333,0.708665,0.366667,0.520911,0.633333,0.375508,0.0,0.103581
0.08,1,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,1,0.36,0.0,0.0714286,0.149436,0.285714,0.413256,0.238095,0.437308
0.08,1,0.47,2,0.758621,0.785222,0.551724,0.629449,0.413793,0.311546,0.0344828,0.0590049
0.08,1,0.5,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.08,1,0.54,2,0.555556,0.352661,0.2,0.35248,0.6,0.438642,0.1,0.208877
0.08,1,0.47,3,0.604167,0.624667,0.416667,0.413803,0.375,0.42173,0.208333,0.164468
0.08,1,0.5,3,0.948276,0.95846,0.896552,0.919453,0.103448,0.0780142,0.0,0.00253293
0.08,1,0.54,3,0.35,0.577098,0.0,0.141195,0.241379,0.407898,0.103448,0.450907
0.08,1,0.47,4,0.805556,0.83092,0.666667,0.699581,0.277778,0.262678,0.0555556,0.0377411
0.08,1,0.5,4,0.978261,0.982859,0.956522,0.96616,0.0434783,0.0333981,0.0,0.000441774
0.08,1,0.54,4,0.388889,0.345495,0.0869565,0.174492,0.130435,0.426537,0.173913,0.398971
0.08,1,0.47,5,0.805556,0.83092,0.666667,0.699581,0.277778,0.262678,0.0555556,0.0377411
0.08,1,0.5,5,0.833333,0.857143,0.714286,0.741758,0.238095,0.230769,0.047619,0.0274725
0.08,1,0.54,5,0.540816,0.384522,0.619048,0.334644,1.28571,0.441982,0.428571,0.223374
0.08,1,0.47,6,0.888889,0.907611,0.777778,0.82719,0.222222,0.160843,0.0,0.0119674
0.08,1,0.5,6,0.947368,0.957708,0.894737,0.91804,0.105263,0.0793368,0.0,0.00262357
0.08,1,0.54,6,0.522727,0.55676,0.368421,0.313265,0.473684,0.444927,0.315789,0.241808
0.08,1,0.47,7,0.619048,0.64068,0.333333,0.433292,0.571429,0.414775,0.0952381,0.151932
0.08,1,0.5,7,0.962963,0.97052,0.925926,0.942331,0.0740741,0.0563787,0.0,0.00129072
0.08,1,0.54,7,0.571429,0.532489,0.222222,0.372093,0.444444,0.434109,0.111111,0.193798
0.08,1,0.47,8,0.565217,0.582368,0.391304,0.36437,0.347826,0.435998,0.26087,0.199633
0.08,1,0.5,8,0.92,0.934661,0.84,0.875452,0.16,0.118419,0.0,0.00612933
0.08,1,0.54,8,0.536585,0.591828,0.56,0.329592,0.64,0.442785,0.44,0.227622
0.08,1,0.47,9,0.6,0.620168,0.2,0.408403,0.8,0.423529,0.0,0.168067
0.08,1,0.5,9,0.897436,0.915131,0.846154,0.840427,0.102564,0.149409,0.0512821,0.0101639
0.08,1,0.54,9,0.533333,0.55119,0.282051,0.32573,0.25641,0.443355,0.230769,0.230914
0.08,1,0.47,10,0.55,0.565714,0.25,0.345714,0.6,0.44,0.15,0.214286
0.08,1,0.5,10,0.727273,0.753799,0.636364,0.583587,0.181818,0.340426,0.181818,0.0759878
0.08,1,0.54,10,0.535714,0.547259,0.454545,0.328556,0.454545,0.442942,0.363636,0.228502
0.08,1,0.47,11,0.84,0.863341,0.72,0.751942,0.24,0.222798,0.04,0.0252605
0.08,1,0.5,11,0.84,0.863341,0.72,0.751942,0.24,0.222798,0.04,0.0252605
0.08,1,0.54,11,0.642857,0.540727,0.4,0.465121,0.64,0.401957,0.08,0.132922
0.08,1,0.47,12,0.472222,0.479897,0.222222,0.256728,0.5,0.446338,0.277778,0.296934
0.08,1,0.5,12,0.961538,0.969359,0.923077,0.940111,0.0769231,0.0584958,0.0,0.00139276
0.08,1,0.54,12,0.333333,0.681594,0.0,0.127962,0.461538,0.398104,0.230769,0.473934
0.08,1,0.47,13,0.805556,0.83092,0.611111,0.699581,0.388889,0.262678,0.0,0.0377411
0.08,1,0.5,13,0.814815,0.839731,0.648148,0.713591,0.333333,0.25228,0.0185185,0.0341288
0.08,1,0.54,13,0.583333,0.322996,0.0555556,0.387068,0.148148,0.430076,0.0185185,0.182855
0.08,1,0.47,14,0.653846,0.677741,0.307692,0.480066,0.692308,0.395349,0.0,0.124585
0.08,1,0.5,14,0.75,0.77665,0.5,0.616751,0.5,0.319797,0.0,0.0634518
0.08,1,0.54,14,0.68,0.590955,0.785714,0.516242,0.857143,0.377903,0.142857,0.105855
0.08,1,0.47,15,0.696429,0.722241,0.571429,0.539376,0.25,0.365731,0.178571,0.0948935
0.08,1,0.5,15,0.958333,0.966741,0.916667,0.935119,0.0833333,0.0632447,0.0,0.00163677
0.08,1,0.54,15,0.518519,0.724472,0.333333,0.308374,0.111111,0.445429,0.305556,0.246198
0.08,1,0.47,16,0.666667,0.691244,0.333333,0.497696,0.666667,0.387097,0.0,0.115207
0.08,1,0.5,16,0.862069,0.883586,0.724138,0.785797,0.275862,0.195576,0.0,0.0186263
0.08,1,0.54,16,0.625,0.522962,0.206897,0.441176,0.103448,0.411765,0.103448,0.147059
0.08,1,0.47,17,0.441176,0.445512,0.235294,0.224418,0.411765,0.442187,0.352941,0.333395
0.08,1,0.5,17,0.777778,0.804078,0.62963,0.657882,0.296296,0.292392,0.0740741,0.0497265
0.08,1,0.54,17,0.655172,0.643161,0.518519,0.481881,0.37037,0.394522,0.185185,0.123597
0.08,1,0.47,18,0.4,0.4,0.2,0.184615,0.4,0.430769,0.4,0.384615
0.08,1,0.5,18,0.85,0.872566,0.7,0.767257,0.3,0.210619,0.0,0.0221239
0.08,1,0.54,18,0.4,0.69804,0.1,0.184615,1.4,0.430769,0.5,0.384615
0.08,1,0.47,19,0.439394,0.443538,0.151515,0.222622,0.575758,0.441832,0.272727,0.335546
0.08,1,0.5,19,0.632353,0.654917,0.470588,0.450984,0.323529,0.407866,0.205882,0.14115
0.08,1,0.54,19,0.552632,0.396057,0.176471,0.348913,0.264706,0.439372,0.117647,0.211715
0.08,1,0.47,20,0.77027,0.796721,0.594595,0.646705,0.351351,0.300031,0.0540541,0.0532636
0.08,1,0.5,20,0.759259,0.785855,0.592593,0.630393,0.333333,0.310925,0.0740741,0.0586822
0.08,1,0.54,20,0.552632,0.568599,0.259259,0.348913,0.259259,0.439372,0.185185,0.211715
0.08,1,0.47,21,0.7,0.725926,0.4,0.544444,0.6,0.362963,0.0,0.0925926
0.08,1,0.5,21,0.6,0.620168,0.4,0.408403,0.4,0.423529,0.2,0.168067
0.08,1,0.54,21,0.5,0.571816,0.24,0.287234,0.36,0.446809,0.24,0.265957
0.08,1,0.47,22,0.789474,0.815453,0.578947,0.675375,0.421053,0.280156,0.0,0.0444691
0.08,1,0.5,22,0.859375,0.881137,0.71875,0.781654,0.28125,0.198966,0.0,0.0193798
0.08,1,0.54,22,0.75,0.48731,0.375,0.616751,0.28125,0.319797,0.03125,0.0634518
0.08,1,0.47,23,0.730769,0.757338,0.564103,0.588658,0.333333,0.33736,0.102564,0.0739824
0.08,1,0.5,23,0.710526,0.73674,0.526316,0.559462,0.368421,0.354556,0.105263,0.0859815
0.08,1,0.54,23,0.735294,0.779841,0.421053,0.595238,0.473684,0.333333,0.0,0.0714286
0.08,1,0.47,24,0.909091,0.925278,0.818182,0.858506,0.181818,0.133545,0.0,0.00794913
0.08,1,0.5,24,0.790323,0.816275,0.677419,0.676649,0.225806,0.279252,0.0967742,0.0440995
0.08,1,0.54,24,0.666667,0.774959,0.193548,0.497696,0.129032,0.387097,0.0645161,0.115207
0.08,1,0.47,25,0.671875,0.696705,0.53125,0.504915,0.28125,0.383579,0.1875,0.111506
0.08,1,0.5,25,0.838235,0.861704,0.676471,0.749244,0.323529,0.224919,0.0,0.0258366
0.08,1,0.54,25,0.717391,0.682854,0.411765,0.569318,0.147059,0.348875,0.117647,0.0818069
0.08,1,0.47,26,0.625,0.647059,0.5,0.441176,0.25,0.411765,0.25,0.147059
0.08,1,0.5,26,0.772727,0.799133,0.590909,0.650358,0.363636,0.29755,0.0454545,0.052092
0.08,1,0.54,26,0.807692,0.724325,0.772727,0.70281,0.363636,0.2603,0.0454545,0.0368906
0.08,1,0.47,27,0.603448,0.623892,0.413793,0.41287,0.37931,0.422045,0.206897,0.165086
0.08,1,0.5,27,0.84,0.863341,0.68,0.751942,0.32,0.222798,0.0,0.0252605
0.08,1,0.54,27,0.789474,0.837815,0.48,0.675375,0.24,0.280156,0.04,0.0444691
0.08,1,0.47,28,0.695652,0.721439,0.478261,0.538276,0.434783,0.366327,0.0869565,0.0953976
0.08,1,0.5,28,0.807692,0.83296,0.730769,0.70281,0.153846,0.2603,0.115385,0.0368906
0.08,1,0.54,28,0.631579,0.84886,0.269231,0.449948,0.384615,0.408286,0.0769231,0.141766
0.08,1,0.47,29,0.714286,0.740586,0.628571,0.564854,0.171429,0.351464,0.2,0.083682
0.08,1,0.5,29,0.958333,0.966741,0.916667,0.935119,0.0833333,0.0632447,0.0,0.00163677
0.08,1,0.54,29,0.578947,0.660049,0.416667,0.381525,1.0,0.431624,0.166667,0.18685
0.08,1,0.47,30,0.775,0.801361,0.65,0.653741,0.25,0.295238,0.1,0.0510204
0.08,1,0.5,30,0.73913,0.765766,0.565217,0.600832,0.347826,0.329868,0.0869565,0.0693001
0.08,1,0.54,30,0.55,0.599745,0.391304,0.345714,0.652174,0.44,0.26087,0.214286
0.08,1,0.47,31,0.681818,0.707088,0.484848,0.518787,0.393939,0.376601,0.121212,0.104611
0.08,1,0.5,31,0.821429,0.845982,0.714286,0.72363,0.214286,0.244706,0.0714286,0.0316648
0.08,1,0.54,31,0.565789,0.564523,1.07143,0.365078,0.928571,0.43583,0.714286,0.199092
0.08,1,0.47,32,0.705882,0.731978,0.529412,0.552822,0.352941,0.358311,0.117647,0.0888668
0.08,1,0.5,32,0.903226,0.920188,0.806452,0.849404,0.193548,0.141567,0.0,0.00902853
0.08,1,0.54,32,0.75,0.560499,0.451613,0.616751,0.258065,0.319797,0.0645161,0.0634518
0.08,1,0.47,33,0.705882,0.731978,0.470588,0.552822,0.470588,0.358311,0.0588235,0.0888668
0.08,1,0.5,33,0.844828,0.867805,0.758621,0.75933,0.172414,0.216951,0.0689655,0.0237192
0.08,1,0.54,33,0.785714,0.76845,0.310345,0.669742,0.137931,0.284133,0.0344828,0.0461255
0.08,1,0.47,34,0.772727,0.799133,0.545455,0.650358,0.454545,0.29755,0.0,0.052092
0.08,1,0.5,34,0.891304,0.909743,0.782609,0.830929,0.217391,0.157629,0.0,0.0114423
0.08,1,0.54,34,0.58,0.85163,0.391304,0.382853,0.478261,0.431259,0.217391,0.185888
0.08,1,0.47,35,0.875,0.89525,0.75,0.805725,0.25,0.17905,0.0,0.0152253
0.08,1,0.5,35,0.7,0.725926,0.6,0.544444,0.2,0.362963,0.2,0.0925926
0.08,1,0.54,35,0.76,0.574927,0.933333,0.631487,0.666667,0.310204,0.0666667,0.058309
0.08,1,0.47,36,0.833333,0.857143,0.714286,0.741758,0.238095,0.230769,0.047619,0.0274725
0.08,1,0.5,36,0.783784,0.809932,0.594595,0.666853,0.378378,0.286159,0.027027,0.0469883
0.08,1,0.54,36,0.75,0.788857,0.513514,0.616751,0.432432,0.319797,0.027027,0.0634518
0.08,1,0.47,37,0.8,0.8256,0.6,0.6912,0.4,0.2688,0.0,0.04
0.08,1,0.5,37,0.763158,0.789713,0.684211,0.636157,0.157895,0.30711,0.157895,0.0567322
0.08,1,0.54,37,0.833333,0.756593,0.894737,0.741758,0.315789,0.230769,0.0526316,0.0274725
0.08,1,0.47,38,0.555556,0.571802,0.277778,0.35248,0.555556,0.438642,0.166667,0.208877
0.08,1,0.5,38,0.913793,0.929336,0.827586,0.865807,0.172414,0.127058,0.0,0.00713487
0.08,1,0.54,38,0.716667,0.887877,0.517241,0.568275,0.448276,0.349482,0.0689655,0.0822425
0.08,1,0.47,39,0.890625,0.909144,0.78125,0.829877,0.21875,0.158534,0.0,0.0115887
