a,gen,avg_num_dd,avg_num_dwt,avg_num_d_alleles,avg_d_fitness,avg_popsize,num_replicates
0.0611,-1,1706.71,0,3413.42,1843.2468,27806.73,100
0.0611,0,1348.57,673.95,3371.09,1739.5146,26783.45,100
0.0611,1,1194.01,897.85,3285.87,1666.6278,26230.01,100
0.0611,2,1100.68,1034.69,3236.05,1623.3042,25863.3,100
0.0611,3,1039.13,1124.92,3203.18,1594.7268,25657.15,100
0.0611,4,996.87,1197.4,3191.14,1579.5276,25537.86,100
0.0611,5,955.53,1259.59,3170.65,1561.0002,25462.67,100
0.0611,6,919.27,1312.65,3151.19,1544.1246,25431.14,100
0.0611,7,894.47,1357.28,3146.22,1536.0852,25424,100
0.0611,8,876.36,1390.37,3143.09,1530.4242,25360.67,100
0.0611,9,860.51,1415.26,3136.28,1523.76,25279.83,100
0.0611,10,841.35,1443.24,3125.94,1514.8188,25330.97,100
0.0611,11,813.55,1463.6,3090.7,1493.346,25289.28,100
0.0611,12,801.14,1469.89,3072.17,1482.585,25282.38,100
0.0611,13,774.5,1496.83,3045.83,1465.1286,25299.95,100
0.0611,14,758.47,1498.84,3015.78,1448.6604,25247.23,100
0.0611,15,742.98,1508.18,2994.14,1435.854,25285.11,100
0.0611,16,722.1,1511.64,2955.84,1414.7568,25248.78,100
0.0611,17,703.68,1514.5,2921.86,1396.0644,25286.41,100
0.0611,18,677.01,1516.96,2870.98,1368.294,25205.98,100
0.0611,19,650.69,1513.32,2814.7,1338.3396,25217.97,100
0.0611,20,630.87,1500.49,2762.23,1311.5454,25224.71,100
0.0611,21,613.92,1490.57,2718.41,1289.073,25193.55,100
0.0611,22,587.1,1472.75,2646.95,1252.623,25198.82,100
0.0611,23,564.45,1455.7,2584.6,1221,25242.58,100
0.0611,24,537.51,1453.91,2528.93,1191.153,25268.05,100
0.0611,25,517.4,1430.5,2465.3,1159.602,25227.74,100
0.0611,26,494.97,1404.03,2393.97,1124.2602,25216.24,100
0.0611,27,471.55,1376.92,2320.02,1087.5804,25260.02,100
0.0611,28,451.82,1348.52,2252.16,1054.344,25227.65,100
0.0611,29,431.45,1320.05,2182.95,1020.3870000000001,25210.54,100
0.0611,30,406.08,1284.51,2096.67,978.0606,25243.58,100
0.0611,31,389.55,1254.14,2033.24,947.4528,25261.16,100
0.0611,32,370.03,1233.54,1973.6,917.7192,25254.59,100
0.0611,33,347.91,1191.81,1887.63,876.303,25271.52,100
0.0611,34,325.36,1149.73,1800.45,834.2754,25270.49,100
0.0611,35,307.81,1100.23,1715.85,794.5314,25250,100
0.0611,36,292.54,1054.36,1639.44,758.7744,25265.14,100
0.0611,37,277.66,1014.23,1569.55,725.8494,25291.21,100
0.0611,38,264.63,969.7,1498.96,693.0744,25345.12,100
0.0611,39,246.44,914.81,1407.69,650.3754,25372.2,100
0.0611,40,232.27,871.92,1336.46,617.058,25397.54,100
0.0611,41,221.62,827.65,1270.89,586.9626,25401.74,100
0.0611,42,211.31,786.63,1209.25,558.5994000000001,25457.94,100
0.0611,43,204.96,747.83,1157.75,535.4454000000001,25453.48,100
0.0611,44,195.91,702.77,1094.59,506.7462,25469.5,100
0.0611,45,188.04,673.46,1049.54,485.9364,25525.12,100
0.0611,46,181.64,631.76,995.04,461.5104,25567.75,100
0.0611,47,174.31,591.27,939.89,436.5882,25514.58,100
0.0611,48,170.46,555.49,896.41,417.4026,25463.43,100
0.0611,49,165.43,524.47,855.33,398.9418,25508.96,100
0.0611,50,160.73,488.06,809.52,378.5736,25546.3,100
0.0611,51,157.63,455.25,770.51,361.4454,25582.08,100
0.0611,52,156.40404040404042,436.020202020202,748.8282828282828,352.0448484848485,25610.444444444445,99
0.0611,53,150.77777777777777,407.5151515151515,709.070707070707,333.99636363636364,25621.19191919192,99
0.0611,54,152.6060606060606,384.80808080808083,690.020202020202,326.4339393939394,25612.29292929293,99
0.0611,55,154.0408163265306,367.14285714285717,675.2244897959183,320.5640816326531,25617.23469387755,98
0.0611,56,150.23469387755102,347.1938775510204,647.6632653061224,308.07489795918366,25615.602040816328,98
0.0611,57,147.44897959183675,328.05102040816325,622.9489795918367,297.02632653061227,25639.469387755104,98
0.0611,58,149.125,317.09375,615.34375,294.234375,25605.65625,96
0.0611,59,148.07291666666666,298.0416666666667,594.1875,285.09625,25632.583333333332,96
0.0611,60,155.5212765957447,290.1276595744681,601.1702127659574,289.81659574468085,25622.08510638298,94
0.0611,61,153.12765957446808,278.51063829787233,584.7659574468086,282.3523404255319,25637.23404255319,94
0.0611,62,159.34782608695653,265.8804347826087,584.5760869565217,283.7654347826087,25624.565217391304,92
0.0611,63,163.67777777777778,262.74444444444447,590.1,287.12466666666666,25655.8,90
0.0611,64,175.77011494252875,265.7701149425287,617.3103448275862,301.4551724137931,25713.919540229886,87
0.0611,65,185.10714285714286,264.8452380952381,635.0595238095239,311.1507142857143,25710.369047619046,84
0.0611,66,191.27710843373495,261.4578313253012,644.0120481927711,316.39156626506025,25719.289156626506,83
0.0611,67,196.03703703703704,255.46913580246914,647.5432098765432,319.017037037037,25682.061728395063,81
0.0611,68,200,250.15,650.15,321.063,25665,80
0.0611,69,212.28571428571428,251.19480519480518,675.7662337662338,334.7703896103896,25656.66233766234,77
0.0611,70,218.1891891891892,253.75675675675674,690.1351351351351,342.2221621621622,25657.31081081081,74
0.0611,71,236.5857142857143,262.9,736.0714285714286,365.93057142857145,25702.02857142857,70
0.0611,72,265.74603174603175,284.5079365079365,816,406.4990476190476,25712.603174603173,63
0.0611,73,291.94827586206895,298.82758620689657,882.7241379310345,440.81172413793104,25692.827586206895,58
0.0611,74,305.98214285714283,303.7142857142857,915.6785714285714,458.0207142857143,25697.571428571428,56
0.0611,75,313.1454545454545,304.8,931.0909090909091,466.2130909090909,25657.8,55
0.0611,76,337.03921568627453,322.62745098039215,996.7058823529412,499.50588235294117,25654.13725490196,51
0.0611,77,369.6808510638298,343.27659574468083,1082.6382978723404,543.4314893617021,25681.17021276596,47
0.0611,78,433.65,392.875,1260.175,633.3495,25659.85,40
0.0611,79,462.60526315789474,404.2631578947368,1329.4736842105262,669.4042105263158,25619.657894736843,38
0.0611,80,500.1388888888889,430.6666666666667,1430.9444444444443,721.03,25621,36
0.0611,81,592.9354838709677,489.96774193548384,1675.8387096774193,846.1567741935484,25637.16129032258,31
0.0611,82,644.9655172413793,516.448275862069,1806.3793103448277,913.4710344827586,25749.41379310345,29
0.0611,83,678.5,528.0357142857143,1885.0357142857142,954.555,25669.714285714286,28
0.0611,84,690.3214285714286,522.6785714285714,1903.3214285714287,965.0721428571428,25629.928571428572,28
0.0611,85,745.8461538461538,556.4230769230769,2048.1153846153848,1039.2115384615386,25690.923076923078,26
0.0611,86,799.32,570.16,2168.8,1102.7328,25693.08,25
0.0611,87,888.1739130434783,604.3913043478261,2380.7391304347825,1213.0721739130436,25718.347826086956,23
0.0611,88,898.3913043478261,601.7826086956521,2398.5652173913045,1223.0113043478261,25603.043478260868,23
0.0611,89,960.6818181818181,622.9545454545455,2544.318181818182,1299.1772727272728,25674.045454545456,22
0.0611,90,977,608.5,2562.5,1310.73,25609.590909090908,22
0.0611,91,1081.4,670.55,2833.35,1449.5430000000001,25680.5,20
0.0611,92,1235.3333333333333,721.1111111111111,3191.777777777778,1637.0266666666666,25639.444444444445,18
0.0611,93,1232.888888888889,719.6666666666666,3185.4444444444443,1633.78,25629.555555555555,18
0.0611,94,1337.8823529411766,747.4117647058823,3423.176470588235,1758.8258823529413,25593.470588235294,17
0.0611,95,1644.2142857142858,904.2142857142857,4192.642857142857,2155.5214285714287,25606.785714285714,14
0.0611,96,1792.8461538461538,967.1538461538462,4552.846153846154,2342.4784615384615,25670.076923076922,13
0.0611,97,1829.6923076923076,958.4615384615385,4617.846153846154,2378.6215384615384,25705.23076923077,13
0.0611,98,1990.4166666666667,1018.5,4999.333333333333,2577.42,25548.333333333332,12
0.0611,99,2004.75,1016.5833333333334,5026.083333333333,2592.0950000000003,25639.5,12
0.0611,100,2014.9166666666667,1022.5833333333334,5052.416666666667,2605.595,25710.583333333332,12
