a,replicate,gen,num_dd, num_dwt,num_d_alleles,d_fitness, popsize
0.06,0,-1,1798,0,3596,1941.84,28000
0.06,0,0,1373,747,3493,1796.58,26729
0.06,0,1,1156,917,3229,1633.62,26256
0.06,0,2,1064,988,3116,1564.08,25963
0.06,0,3,1023,1129,3175,1579.02,26091
0.06,0,4,909,1188,3006,1480.68,26058
0.06,0,5,921,1261,3103,1524.3,26003
0.06,0,6,822,1295,2939,1431.66,25491
0.06,0,7,776,1324,2876,1394.16,25367
0.06,0,8,738,1357,2833,1366.98,25084
0.06,0,9,713,1459,2885,1382.82,24962
0.06,0,10,737,1455,2929,1407.06,25239
0.06,0,11,754,1530,3038,1456.92,25416
0.06,0,12,722,1545,2989,1428.66,25403
0.06,0,13,679,1538,2896,1379.28,25422
0.06,0,14,677,1467,2821,1347.3,24938
0.06,0,15,650,1508,2808,1335.36,25464
0.06,0,16,596,1496,2688,1272.0,24953
0.06,0,17,591,1605,2787,1312.38,25311
0.06,0,18,655,1612,2922,1384.44,25553
0.06,0,19,550,1535,2635,1238.7,25301
0.06,0,20,482,1618,2582,1200.12,25325
0.06,0,21,481,1505,2467,1151.58,25039
0.06,0,22,429,1387,2245,1045.86,25133
0.06,0,23,404,1504,2312,1068.0,25200
0.06,0,24,333,1500,2166,989.64,25393
0.06,0,25,328,1392,2048,938.88,25487
0.06,0,26,255,1326,1836,832.32,24802
0.06,0,27,261,1284,1806,821.16,25213
0.06,0,28,298,1308,1904,871.2,25456
0.06,0,29,234,1280,1748,790.32,25506
0.06,0,30,213,1295,1721,773.94,25381
0.06,0,31,175,1124,1474,661.08,25315
0.06,0,32,114,1024,1252,553.2,25274
0.06,0,33,111,976,1198,529.8,25671
0.06,0,34,80,910,1070,468.6,25556
0.06,0,35,64,838,966,421.08,25568
0.06,0,36,64,828,956,416.88,25767
0.06,0,37,60,747,867,378.54,25960
0.06,0,38,49,665,763,332.22,25830
0.06,0,39,41,559,641,279.06,25545
0.06,0,40,27,535,589,253.86,25695
0.06,0,41,27,471,525,226.98,25927
0.06,0,42,23,446,492,212.16,25681
0.06,0,43,19,385,423,182.22,25547
0.06,0,44,8,339,355,151.02,25798
0.06,0,45,11,335,357,152.58,25967
0.06,0,46,6,300,312,132.48,25992
0.06,0,47,2,271,275,115.98,25795
0.06,0,48,1,213,215,90.54,25908
0.06,0,49,0,149,149,62.58,25815
0.06,0,50,5,127,137,58.74,26198
0.06,0,51,0,92,92,38.64,25902
0.06,0,52,0,83,83,34.86,25673
0.06,0,53,0,64,64,26.88,25668
0.06,0,54,0,54,54,22.68,25720
0.06,0,55,1,46,48,20.4,25974
0.06,0,56,0,39,39,16.38,26156
0.06,0,57,0,35,35,14.7,25782
0.06,0,58,0,32,32,13.44,25694
0.06,0,59,0,22,22,9.24,25666
0.06,0,60,0,32,32,13.44,25882
0.06,0,61,0,30,30,12.6,25755
0.06,0,62,0,22,22,9.24,25974
0.06,0,63,1,21,23,9.9,25746
0.06,0,64,0,20,20,8.4,25972
0.06,0,65,0,22,22,9.24,25884
0.06,0,66,0,23,23,9.66,25680
0.06,0,67,0,25,25,10.5,25898
0.06,0,68,0,17,17,7.14,25755
0.06,0,69,0,19,19,7.98,25580
0.06,0,70,0,12,12,5.04,25372
0.06,0,71,0,15,15,6.3,25551
0.06,0,72,0,14,14,5.88,25858
0.06,0,73,0,11,11,4.62,25691
0.06,0,74,0,11,11,4.62,25608
0.06,0,75,0,10,10,4.2,25807
0.06,0,76,0,10,10,4.2,25636
0.06,0,77,0,8,8,3.36,25716
0.06,0,78,0,5,5,2.1,25738
0.06,0,79,0,3,3,1.26,25634
0.06,0,80,0,5,5,2.1,25632
0.06,0,81,0,9,9,3.78,25656
0.06,0,82,0,5,5,2.1,25888
0.06,0,83,0,1,1,0.42,25910
0.06,0,84,0,0,0,0.0,26365
0.06,1,-1,1729,0,3458,1867.32,27483
0.06,1,0,1386,753,3525,1813.14,27021
0.06,1,1,1168,962,3298,1665.48,26200
0.06,1,2,1045,1087,3177,1585.14,25743
0.06,1,3,1009,1136,3154,1566.84,25591
0.06,1,4,932,1301,3165,1552.98,25511
0.06,1,5,936,1288,3160,1551.84,25646
0.06,1,6,846,1303,2995,1460.94,25160
0.06,1,7,882,1300,3064,1498.56,24933
0.06,1,8,857,1332,3046,1485.0,25076
0.06,1,9,813,1415,3041,1472.34,25308
0.06,1,10,759,1419,2937,1415.7,25381
0.06,1,11,731,1417,2879,1384.62,25266
0.06,1,12,786,1429,3001,1449.06,25362
0.06,1,13,744,1530,3018,1446.12,25594
0.06,1,14,672,1543,2887,1373.82,25430
0.06,1,15,687,1509,2883,1375.74,25040
0.06,1,16,609,1455,2673,1268.82,24906
0.06,1,17,505,1538,2548,1191.36,24754
0.06,1,18,493,1381,2367,1112.46,24831
0.06,1,19,421,1370,2212,1030.08,25205
0.06,1,20,362,1342,2066,954.6,24974
0.06,1,21,348,1337,2033,937.38,24852
0.06,1,22,336,1305,1977,910.98,24781
0.06,1,23,312,1243,1867,859.02,24845
0.06,1,24,261,1292,1814,824.52,24912
0.06,1,25,230,1161,1621,736.02,25166
0.06,1,26,227,1179,1633,740.34,25053
0.06,1,27,240,1114,1594,727.08,25075
0.06,1,28,186,1137,1509,678.42,24741
0.06,1,29,145,1009,1299,580.38,25242
0.06,1,30,120,953,1193,529.86,25380
0.06,1,31,117,845,1079,481.26,25167
0.06,1,32,59,790,908,395.52,25034
0.06,1,33,69,702,840,369.36,25256
0.06,1,34,43,671,757,328.26,25293
0.06,1,35,39,622,700,303.36,25556
0.06,1,36,25,541,591,254.22,25345
