a,replicate_number,gen,num_dd,num_dwt,num_d_alleles,d_fitness,popsize,eventual_outcome
0.1,1,-1,2833,0,5666,3059.64,28150,increase
0.1,1,0,2610,665,5885,3098.1,27385,increase
0.1,1,1,2338,941,5617,2920.26,26393,increase
0.1,1,2,2220,1103,5543,2860.86,26295,increase
0.1,1,3,2229,1162,5620,2895.36,25790,increase
0.1,1,4,2104,1325,5533,2828.82,25989,increase
0.1,1,5,2176,1335,5687,2910.78,25775,increase
0.1,1,6,2083,1334,5500,2809.92,25661,increase
0.1,1,7,2229,1418,5876,3002.88,25987,increase
0.1,1,8,2175,1474,5824,2968.08,25737,increase
0.1,1,9,2181,1444,5806,2961.96,25471,increase
0.1,1,10,2290,1619,6199,3153.18,25752,increase
0.1,1,11,2356,1596,6308,3214.8,25707,increase
0.1,1,12,2321,1681,6323,3212.7,25720,increase
0.1,1,13,2393,1665,6451,3283.74,25475,increase
0.1,1,14,2332,1654,6318,3213.24,25687,increase
0.1,1,15,2312,1790,6414,3248.76,25573,increase
0.1,1,16,2369,1846,6584,3333.84,25306,increase
0.1,1,17,2465,1834,6764,3432.48,25015,increase
0.1,1,18,2704,1844,7252,3694.8,25524,increase
0.1,1,19,2723,1814,7260,3702.72,25289,increase
0.1,1,20,2814,1740,7368,3769.92,25617,increase
0.1,1,21,2937,1887,7761,3964.5,25514,increase
0.1,1,22,2910,1888,7708,3935.76,25855,increase
0.1,1,23,2886,1688,7460,3825.84,25122,increase
0.1,1,24,2867,1880,7614,3885.96,24904,increase
0.1,1,25,2955,1795,7705,3945.3,24960,increase
0.1,1,26,3164,1796,8124,4171.44,25274,increase
0.1,1,27,3332,1799,8463,4354.14,25279,increase
0.1,1,28,3351,1809,8511,4378.86,25372,increase
0.1,1,29,3380,1782,8542,4398.84,25513,increase
0.1,1,30,3465,1865,8795,4525.5,25932,increase
0.1,1,31,3451,1830,8732,4495.68,25657,increase
0.1,1,32,3518,1841,8877,4572.66,25566,increase
0.1,1,33,3637,1816,9090,4690.68,25148,increase
0.1,1,34,3777,1812,9366,4840.2,25736,increase
0.1,1,35,3909,1761,9579,4961.34,25393,increase
0.1,1,36,4037,1764,9838,5100.84,25404,increase
0.1,1,37,3904,1821,9629,4981.14,25385,increase
0.1,1,38,4068,1837,9973,5164.98,25427,increase
0.1,1,39,4152,1962,10266,5308.2,25562,increase
0.1,1,40,4287,1881,10455,5419.98,25747,increase
0.1,1,41,4153,1799,10105,5240.82,25581,increase
0.1,1,42,4372,1855,10599,5500.86,25478,increase
0.1,1,43,4481,1908,10870,5640.84,25453,increase
0.1,1,44,4417,1953,10787,5590.62,25829,increase
0.1,1,45,4541,1879,10961,5693.46,26102,increase
0.1,1,46,4524,1779,10827,5633.1,26200,increase
0.1,1,47,4529,1844,10902,5665.8,25796,increase
0.1,1,48,4797,1717,11311,5901.9,25886,increase
0.1,1,49,4823,1787,11433,5959.38,25687,increase
0.1,1,50,4952,1730,11634,6074.76,25710,increase
0.1,1,51,5126,1778,12030,6282.84,25752,increase
0.1,1,52,5371,1782,12524,6549.12,26325,increase
0.1,1,53,5442,1786,12670,6627.48,26277,increase
0.1,1,54,5366,1765,12497,6536.58,26040,increase
0.1,1,55,5293,1822,12408,6481.68,25804,increase
0.1,1,56,5335,1849,12519,6538.38,25525,increase
0.1,1,57,5552,1864,12968,6779.04,25680,increase
0.1,1,58,5659,1828,13146,6879.48,25868,increase
0.1,1,59,5700,1771,13171,6899.82,25979,increase
0.1,1,60,5816,1841,13473,7054.5,26250,increase
0.1,1,61,5897,1831,13625,7137.78,26363,increase
0.1,1,62,5863,1807,13533,7090.98,26137,increase
0.1,1,63,5889,1802,13580,7116.96,25511,increase
0.1,1,64,5844,1814,13502,7073.4,25413,increase
0.1,1,65,6109,1771,13989,7341.54,25737,increase
0.1,1,66,6218,1793,14229,7468.5,25919,increase
0.1,1,67,6245,1795,14285,7498.5,25906,increase
0.1,1,68,6195,1831,14221,7459.62,25727,increase
0.1,1,69,6533,1768,14834,7798.2,26098,increase
0.1,1,70,6483,1817,14783,7764.78,26116,increase
0.1,1,71,6449,1826,14724,7731.84,25934,increase
0.1,1,72,6605,1877,15087,7921.74,26127,increase
0.1,1,73,6624,1908,15156,7955.28,25719,increase
0.1,1,74,6585,1868,15038,7896.36,26196,increase
0.1,1,75,6717,1821,15255,8019.18,26175,increase
0.1,1,76,6661,1941,15263,8009.1,26498,increase
0.1,1,77,6765,1847,15377,8081.94,26639,increase
0.1,1,78,6776,1788,15340,8069.04,25812,increase
0.1,1,79,6908,1764,15580,8201.52,26152,increase
0.1,1,80,6693,1811,15197,7989.06,25644,increase
0.1,1,81,6961,1762,15684,8257.92,25792,increase
0.1,1,82,7292,1806,16390,8633.88,26584,increase
0.1,1,83,7253,1818,16324,8596.8,26454,increase
0.1,1,84,7239,1843,16321,8592.18,26558,increase
0.1,1,85,7357,1743,16457,8677.62,26346,increase
0.1,1,86,7359,1760,16478,8686.92,26162,increase
0.1,1,87,7555,1744,16854,8891.88,26277,increase
0.1,1,88,7696,1757,17149,9049.62,26148,increase
0.1,1,89,7674,1816,17164,9050.64,26273,increase
0.1,1,90,7838,1783,17459,9213.9,26279,increase
0.1,1,91,7627,1697,16951,8949.9,25792,increase
0.1,1,92,7576,1801,16953,8938.5,26053,increase
0.1,1,93,7909,1662,17480,9239.76,26261,increase
0.1,1,94,8169,1675,18013,9526.02,26163,increase
0.1,1,95,8099,1712,17910,9465.96,26232,increase
0.1,1,96,8407,1740,18554,9810.36,26811,increase
0.1,1,97,8269,1794,18332,9684,26645,increase
0.1,1,98,8378,1701,18457,9762.66,26323,increase
0.1,1,99,8379,1769,18527,9792.3,26604,increase
0.1,1,100,8220,1680,18120,9583.2,26120,increase
0.1,2,-1,2725,0,5450,2943,27733,increase
0.1,2,0,2355,723,5433,2847.06,26614,increase
0.1,2,1,2432,1018,5882,3054.12,26510,increase
0.1,2,2,2425,1190,6040,3118.8,26110,increase
0.1,2,3,2329,1270,5928,3048.72,25906,increase
0.1,2,4,2318,1376,6012,3081.36,25941,increase
0.1,2,5,2237,1376,5850,2993.88,25859,increase
0.1,2,6,2187,1411,5785,2954.58,25715,increase
0.1,2,7,2254,1331,5839,2993.34,25626,increase
0.1,2,8,2234,1435,5903,3015.42,25475,increase
0.1,2,9,2364,1493,6221,3180.18,25317,increase
0.1,2,10,2393,1414,6200,3178.32,25112,increase
0.1,2,11,2384,1510,6278,3208.92,25400,increase
0.1,2,12,2307,1650,6264,3184.56,25490,increase
0.1,2,13,2374,1612,6360,3240.96,25646,increase
0.1,2,14,2460,1705,6625,3372.9,25719,increase
0.1,2,15,2491,1677,6659,3394.62,25507,increase
0.1,2,16,2680,1672,7032,3596.64,25491,increase
0.1,2,17,2782,1648,7212,3696.72,25343,increase
0.1,2,18,2800,1691,7291,3734.22,25414,increase
0.1,2,19,2703,1726,7132,3644.16,26025,increase
0.1,2,20,2706,1879,7291,3711.66,25885,increase
0.1,2,21,2723,1816,7262,3703.56,25756,increase
0.1,2,22,2781,1778,7340,3750.24,25589,increase
0.1,2,23,2748,1746,7242,3701.16,25281,increase
0.1,2,24,2809,1779,7397,3780.9,25371,increase
0.1,2,25,2889,1843,7621,3894.18,25468,increase
0.1,2,26,2801,1743,7345,3757.14,25407,increase
0.1,2,27,2907,1833,7647,3909.42,25609,increase
0.1,2,28,3016,1748,7780,3991.44,25699,increase
0.1,2,29,2978,1709,7665,3934.02,25597,increase
0.1,2,30,3013,1714,7740,3973.92,25905,increase
0.1,2,31,2973,1583,7529,3875.7,25686,increase
0.1,2,32,3060,1724,7844,4028.88,25717,increase
0.1,2,33,3162,1750,8074,4149.96,25928,increase
0.1,2,34,3198,1754,8150,4190.52,25948,increase
0.1,2,35,3319,1771,8409,4328.34,25917,increase
0.1,2,36,3236,1833,8305,4264.74,25797,increase
0.1,2,37,3346,1872,8564,4399.92,25418,increase
0.1,2,38,3384,1744,8512,4387.2,25503,increase
0.1,2,39,3362,1793,8517,4384.02,25646,increase
0.1,2,40,3528,1844,8900,4584.72,25211,increase
0.1,2,41,3599,1751,8949,4622.34,25462,increase
0.1,2,42,3731,1700,9162,4743.48,25277,increase
0.1,2,43,3760,1755,9275,4797.9,25397,increase
0.1,2,44,3930,1631,9491,4929.42,25365,increase
0.1,2,45,4069,1640,9778,5083.32,25490,increase
0.1,2,46,4241,1660,10142,5277.48,25745,increase
0.1,2,47,4274,1640,10188,5304.72,25855,increase
0.1,2,48,4297,1637,10231,5328.3,25439,increase
0.1,2,49,4409,1691,10509,5471.94,25732,increase
0.1,2,50,4549,1740,10838,5643.72,25605,increase
0.1,2,51,4648,1790,11086,5771.64,26014,increase
0.1,2,52,4717,1760,11194,5833.56,25958,increase
0.1,2,53,4781,1810,11372,5923.68,25788,increase
0.1,2,54,4804,1778,11386,5935.08,25528,increase
0.1,2,55,4878,1812,11568,6029.28,25443,increase
0.1,2,56,5020,1835,11875,6192.3,25682,increase
0.1,2,57,5048,1790,11886,6203.64,25437,increase
0.1,2,58,5132,1749,12013,6277.14,25389,increase
0.1,2,59,5228,1865,12321,6429.54,25767,increase
0.1,2,60,5273,1734,12280,6423.12,25543,increase
0.1,2,61,5347,1698,12392,6487.92,25636,increase
0.1,2,62,5526,1637,12689,6655.62,26151,increase
0.1,2,63,5208,1770,12186,6368.04,25440,increase
0.1,2,64,5289,1751,12329,6447.54,25499,increase
0.1,2,65,5437,1773,12647,6616.62,25525,increase
0.1,2,66,5574,1783,12931,6768.78,25930,increase
0.1,2,67,5560,1922,13042,6812.04,25829,increase
0.1,2,68,5479,1827,12785,6684.66,25414,increase
0.1,2,69,5580,1785,12945,6776.1,25852,increase
0.1,2,70,5804,1779,13387,7015.5,25903,increase
0.1,2,71,5727,1799,13253,6940.74,25986,increase
0.1,2,72,5977,1827,13781,7222.5,25984,increase
0.1,2,73,5858,1871,13587,7112.46,26134,increase
0.1,2,74,5884,1768,13536,7097.28,25965,increase
0.1,2,75,6073,1699,13845,7272.42,26061,increase
0.1,2,76,6288,1767,14343,7533.18,25857,increase
0.1,2,77,6447,1728,14622,7688.52,26061,increase
0.1,2,78,6673,1794,15140,7960.32,26229,increase
0.1,2,79,6582,1767,14931,7850.7,26206,increase
0.1,2,80,6693,1712,15098,7947.48,26091,increase
0.1,2,81,6324,1620,14268,7510.32,25738,increase
0.1,2,82,6395,1661,14451,7604.22,25939,increase
