m,change
1054,54
1054,17
1054,88
1054,-4
1054,20
1054,109
1054,121
1054,32
1054,17
1054,59
1054,-84
1054,26
1054,-8
1054,-26
1054,-6
1054,27
1054,-24
1054,-88
1054,67
1054,120
1055,-96
1055,-45
1055,-20
1055,35
1055,214
1055,86
1055,12
1055,-110
1055,68
1055,53
1055,-11
1055,111
1055,45
1055,-29
1055,-119
1055,117
1055,109
1055,159
1055,-43
1055,36
1056,23
1056,-29
1056,-24
1056,81
1056,-26
1056,-185
1056,-30
1056,26
1056,-120
1056,88
1056,-22
1056,-8
1056,41
1056,-7
1056,47
1056,-8
1056,130
1056,80
1056,56
1056,95
1057,6
1057,109
1057,-52
1057,-4
1057,60
1057,84
1057,6
1057,99
1057,-35
1057,-76
1057,53
1057,-8
1057,34
1057,-53
1057,-7
1057,121
1057,76
1057,51
1057,64
1057,-72
1058,80
1058,-61
1058,-86
1058,146
1058,132
1058,-107
1058,126
1058,-40
1058,-60
1058,-15
1058,72
1058,-22
1058,-143
1058,27
1058,183
1058,-72
1058,38
1058,90
1058,75
1058,2
1059,-6
1059,217
1059,62
1059,-71
1059,-21
1059,26
1059,-18
1059,-108
1059,84
1059,58
1059,127
1059,58
1059,91
1059,-2
1059,63
1059,133
1059,95
1059,35
1059,-58
1059,98
1060,16
1060,14
1060,74
1060,-42
1060,-42
1060,9
1060,-2
1060,-34
1060,76
1060,62
1060,-56
1060,-92
1060,45
1060,-14
1060,28
1060,32
1060,-3
1060,66
1060,-8
1060,36
1061,-63
1061,160
1061,116
1061,-10
1061,-5
1061,42
1061,-97
1061,-64
1061,32
1061,26
1061,42
1061,1
1061,99
1061,93
1061,25
1061,-52
1061,-40
1061,89
1061,-16
1061,69
1062,37
1062,-5
1062,-43
1062,-77
1062,97
1062,76
1062,61
1062,-1
1062,54
1062,38
1062,64
1062,60
1062,3
1062,-9
1062,169
1062,44
1062,18
1062,-48
1062,118
1062,22
1063,-15
1063,125
1063,32
1063,16
1063,66
1063,-84
1063,177
1063,-63
1063,64
1063,24
1063,-129
1063,30
1063,-38
1063,50
1063,39
1063,-44
1063,142
1063,-145
1063,107
1063,-67
960,189
960,13
960,188
960,-622
960,-646
960,-700
960,-184
960,38
960,82
960,-10
960,-545
960,-535
960,-37
960,-47
960,-113
960,-18
960,-50
960,-86
960,108
960,-752
1064,112
1064,8
1064,43
1064,-74
1064,22
1064,-57
1064,67
1064,71
1064,-35
1064,49
1064,70
1064,41
1064,-74
1064,-101
1064,125
1064,20
1064,-2
1064,-110
1064,146
1064,-3
1065,40
1065,4
1065,10
1065,-83
1065,87
1065,-4
1065,11
1065,-70
1065,133
1065,36
1065,16
1065,38
1065,43
1065,62
1065,57
1065,-124
1065,111
1065,31
1065,-45
1065,-45
1066,53
1066,30
1066,128
1066,51
1066,179
1066,53
1066,105
1066,23
1066,8
1066,163
1066,4
1066,78
1066,43
1066,13
1066,3
1066,-61
1066,-80
1066,109
1066,46
1066,107
1067,-3
1067,83
1067,-95
1067,32
1067,18
1067,-47
1067,57
1067,114
1067,56
1067,-30
1067,6
1067,58
1067,79
1067,-61
1067,122
1067,29
1067,123
1067,26
1067,-21
1067,14
1068,263
1068,-108
1068,155
1068,68
1068,135
1068,167
1068,-14
1068,61
1068,7
1068,-133
1068,75
1068,108
1068,60
1068,51
1068,-14
1068,123
1068,33
1068,-21
1068,-17
1068,-23
1069,150
1069,41
1069,132
1069,2
1069,97
1069,-164
1069,-68
1069,61
1069,55
1069,72
1069,-94
1069,-32
1069,57
1069,58
1069,-94
1069,14
1069,-51
1069,-7
1069,-63
1069,49
1070,16
1070,-68
1070,-14
1070,59
1070,93
1070,34
1070,4
1070,101
1070,138
1070,-58
1070,-45
1070,62
1070,137
1070,68
1070,-51
1070,10
1070,135
1070,99
1070,81
1070,124
1071,90
1071,47
1071,120
1071,114
1071,137
1071,-8
1071,-71
1071,-65
1071,26
1071,127
1071,40
1071,-16
1071,-74
1071,-42
1071,-5
1071,77
1071,133
1071,-31
1071,-57
1071,-40
1072,-51
1072,18
1072,27
1072,-86
1072,-11
1072,-26
1072,86
1072,92
1072,-90
1072,28
1072,14
1072,-65
1072,10
1072,-85
1072,45
1072,47
1072,122
1072,129
1072,94
1072,43
1073,-60
1073,28
1073,154
1073,43
1073,135
1073,-13
1073,72
1073,26
1073,-116
1073,24
1073,52
1073,-27
1073,-135
1073,161
1073,-30
1073,-97
1073,15
1073,-71
1073,-64
1073,53
961,10
961,-105
961,-56
961,49
961,111
961,24
961,-77
961,-16
961,-600
961,35
