m,change
500,56
500,75
500,-35
500,-34
500,25
500,1
500,28
500,54
500,8
500,-112
500,-63
500,-44
500,11
500,-7
500,29
500,34
500,-65
500,-26
500,89
500,-51
525,-85
525,-43
525,-30
525,100
525,5
525,-10
525,-20
525,-15
525,33
525,-27
525,-25
525,20
525,14
525,-11
525,-30
525,-6
525,-99
525,-18
525,52
525,26
550,-82
550,-30
550,-12
550,-56
550,-44
550,68
550,-126
550,-99
550,37
550,-23
550,-33
550,-32
550,-120
550,-137
550,-37
550,-52
550,32
550,45
550,26
550,-37
575,-57
575,35
575,-139
575,-9
575,19
575,52
575,16
575,-30
575,41
575,-51
575,68
575,1
575,-50
575,-42
575,39
575,4
575,-109
575,41
575,-12
575,-54
600,-18
600,-58
600,-123
600,50
600,-82
600,-95
600,7
600,102
600,-132
600,18
600,-66
600,-82
600,-35
600,-56
600,-67
600,55
600,146
600,-36
600,-32
600,-110
625,6
625,-27
625,-68
625,-2
625,-28
625,12
625,136
625,-42
625,-26
625,0
625,-175
625,-13
625,-8
625,84
625,64
625,-81
625,-149
625,-56
625,-89
625,-15
650,44
650,19
650,12
650,-26
650,-72
650,-39
650,28
650,-34
650,2
650,-109
650,-65
650,-16
650,67
650,-38
650,27
650,20
650,-32
650,-3
650,-21
650,-89
675,-131
675,-56
675,-70
675,-8
675,54
675,-174
675,-9
675,-5
675,-142
675,43
675,-52
675,-82
675,-46
675,41
675,50
675,-39
675,-71
675,-49
675,-187
675,-10
700,-219
700,-56
700,1
700,-42
700,-165
700,15
700,32
700,-226
700,-23
700,29
700,84
700,-3
700,38
700,-212
700,-153
700,-108
700,32
700,-17
700,-65
700,-4
725,195
725,59
725,-43
725,-220
725,-16
725,90
725,-215
725,32
725,-41
725,-167
725,-67
725,53
725,-4
725,28
725,35
725,80
725,-231
725,67
725,10
725,-132
750,-336
750,41
750,-30
750,-301
750,-219
750,-296
750,105
750,-35
750,-100
750,36
750,-226
750,42
750,-39
750,-241
750,-83
750,-8
750,5
750,-243
750,-34
750,18
775,-5
775,47
775,51
775,12
775,-12
775,114
775,-340
775,-12
775,-157
775,-26
775,-140
775,81
775,82
775,0
775,47
775,52
775,170
775,66
775,-21
775,79
800,1
800,67
800,95
800,30
800,-13
800,109
800,-419
800,-473
800,-92
800,52
800,-410
800,39
800,24
800,-3
800,-67
800,-26
800,-136
800,78
800,-24
800,-333
825,83
825,26
825,-320
825,-63
825,36
825,-470
825,42
825,31
825,100
825,28
825,17
825,131
825,21
825,-132
825,46
825,-59
825,-419
825,5
825,-50
825,-37
850,80
850,-3
850,-527
850,163
850,33
850,-420
850,-29
850,-27
850,-5
850,-539
850,41
850,-544
850,-39
850,44
850,-51
850,63
850,-489
850,-167
850,-64
850,-459
875,130
875,-562
875,-101
875,-48
875,1
875,29
875,-26
875,-29
875,-688
875,-16
875,-465
875,-665
875,-548
875,-46
875,-475
875,110
875,-567
875,51
875,-2
875,-86
900,-17
900,-574
900,188
900,-21
900,88
900,-577
900,-66
900,-6
900,-3
900,14
900,-486
900,50
900,28
900,-587
900,16
900,-87
900,133
900,31
900,-13
900,142
925,-577
925,-3
925,-631
925,101
925,-660
925,63
925,-451
925,-654
925,86
925,21
925,-101
925,21
925,103
925,39
925,66
925,-654
925,-682
925,3
925,58
925,179
950,-54
950,25
950,-111
950,5
950,-715
950,0
950,-28
950,-94
950,50
950,-45
950,-664
950,21
950,-64
950,-33
950,-582
950,51
950,52
950,54
950,30
950,116
951,-665
951,-666
951,-13
951,68
951,-46
951,117
951,-3
951,-618
951,64
951,54
951,51
951,-5
951,107
951,130
951,-57
951,-20
951,-10
951,34
951,26
951,-577
952,-86
952,-636
952,96
952,-600
952,109
952,-739
952,-626
952,18
952,-661
952,28
952,-592
952,67
952,-679
952,73
952,-84
952,149
952,138
952,167
952,-40
952,-70
953,-90
953,-52
953,25
953,-633
953,39
953,48
953,-20
953,-48
953,2
953,70
953,49
953,-104
953,-47
953,-597
953,31
953,-711
953,-697
953,28
953,-3
953,-24
954,-565
954,-22
954,-84
954,7
954,-604
954,-9
954,-54
954,-10
954,-705
954,-26
954,-637
954,-682
954,-63
954,-61
954,4
954,-161
954,-187
954,-652
954,-67
954,-48
955,-36
955,-642
955,-608
955,-81
955,-608
955,-14
955,-647
955,-122
955,46
955,-99
955,-66
955,-49
955,51
955,-550
955,-688
955,19
955,77
955,55
955,58
955,16
956,-50
956,88
956,-664
956,-619
956,50
956,-40
956,-529
956,25
956,53
956,10
956,-594
956,-40
956,-716
956,0
956,110
956,-730
956,17
956,35
956,-680
956,131
957,29
957,-12
957,93
957,50
957,-65
957,-646
957,-146
957,-483
957,100
957,-682
957,-14
957,-372
957,103
957,-46
957,92
957,-717
957,-75
957,45
957,-33
957,0
958,30
958,-635
958,-620
958,70
958,-598
958,9
958,-68
958,118
958,-721
958,180
958,52
958,65
958,-82
958,-53
958,-747
958,-92
958,-24
958,-10
958,-509
958,-39
959,-629
959,23
959,-661
959,-618
959,-636
959,-52
959,-602
959,236
959,-651
959,99
959,56
959,67
959,66
959,-5
959,-630
959,49
959,-723
959,49
959,-8
959,-25
960,189
960,13
960,188
960,-622
960,-646
960,-700
960,-184
960,38
960,82
960,-10
960,-545
960,-535
960,-37
960,-47
960,-113
960,-18
960,-50
960,-86
960,108
960,-752
961,10
961,-105
961,-56
961,49
961,111
961,24
961,-77
961,-16
961,-600
961,35
961,-75
961,-25
961,3
961,171
961,132
961,3
961,100
961,-93
961,52
961,-46
962,-60
962,-98
962,-36
962,-2
962,-53
962,42
962,104
962,-85
962,-46
962,28
962,-628
962,-23
962,30
962,94
962,-775
962,25
962,-598
962,-681
962,-445
962,9
