m, replicate_number, generation, num_drive_alleles
1210,0,0,2420
1210,0,1,2471
1210,0,2,2796
1210,0,3,3095
1210,0,4,3329
1210,0,5,3687
1210,0,6,3787
1210,0,7,3881
1210,0,8,4039
1210,0,9,4492
1210,0,10,4662
1210,0,11,5047
1210,0,12,5202
1210,0,13,5853
1210,0,14,6187
1210,0,15,6905
1210,0,16,7754
1210,0,17,8702
1210,0,18,9763
1210,0,19,10944
1210,0,20,12111
1210,0,21,13492
1210,0,22,14823
1210,0,23,16281
1210,0,24,17507
1210,0,25,19557
1210,0,26,20756
1210,0,27,22271
1210,0,28,23472
1210,0,29,24741
1210,0,30,24966
1210,0,31,25895
1210,0,32,26352
1210,0,33,26899
1210,0,34,28060
1210,0,35,28805
1210,0,36,28706
1210,0,37,29030
1210,0,38,29660
1210,0,39,29587
1210,0,40,29722
1210,0,41,30127
1210,0,42,31074
1210,0,43,31266
1210,0,44,31554
1210,0,45,31803
1210,0,46,31568
1210,0,47,32402
1210,0,48,32589
1210,0,49,32604
1210,0,50,33276
1210,0,51,33070
1210,0,52,33289
1210,0,53,33039
1210,0,54,33642
1210,0,55,33336
1210,0,56,33850
1210,0,57,33914
1210,0,58,34465
1210,0,59,34408
1210,0,60,34727
1210,0,61,35312
1210,0,62,35453
1210,0,63,35511
1210,0,64,35051
1210,0,65,35684
1210,0,66,35637
1210,0,67,35816
1210,0,68,36225
1210,0,69,36368
1210,0,70,36360
1210,0,71,36276
1210,0,72,36293
1210,0,73,36634
1210,0,74,36611
1210,0,75,36460
1210,0,76,36972
1210,0,77,37432
1210,0,78,37129
1210,0,79,37405
1210,0,80,37574
1210,0,81,38028
1210,0,82,38325
1210,0,83,38345
1210,0,84,38401
1210,0,85,38734
1210,0,86,38659
1210,0,87,38657
1210,0,88,38663
1210,0,89,39212
1210,0,90,38668
1210,0,91,39175
1210,0,92,39615
1210,0,93,39519
1210,0,94,39699
1210,0,95,40193
1210,0,96,40123
1210,0,97,40564
1210,0,98,40485
1210,0,99,40484
1210,0,100,41078
,,,
1210,1,0,2420
1210,1,1,2439
1210,1,2,2436
1210,1,3,2494
1210,1,4,2727
1210,1,5,2796
1210,1,6,3002
1210,1,7,3143
1210,1,8,3178
1210,1,9,3476
1210,1,10,3693
1210,1,11,4122
1210,1,12,4391
1210,1,13,4800
1210,1,14,5114
1210,1,15,5592
1210,1,16,5913
1210,1,17,6432
1210,1,18,7372
1210,1,19,8435
1210,1,20,9205
1210,1,21,9751
1210,1,22,11111
1210,1,23,12719
1210,1,24,13807
1210,1,25,14962
1210,1,26,16763
1210,1,27,18242
1210,1,28,19859
1210,1,29,21158
1210,1,30,22461
1210,1,31,23833
1210,1,32,24777
1210,1,33,25872
1210,1,34,26726
1210,1,35,26904
1210,1,36,27887
1210,1,37,28504
1210,1,38,28902
1210,1,39,29090
1210,1,40,29268
1210,1,41,29717
1210,1,42,30219
1210,1,43,30444
1210,1,44,30994
1210,1,45,31188
1210,1,46,31466
1210,1,47,31730
1210,1,48,32156
1210,1,49,32838
1210,1,50,32651
1210,1,51,32790
1210,1,52,32750
1210,1,53,32854
1210,1,54,32640
1210,1,55,32822
1210,1,56,33047
1210,1,57,33001
1210,1,58,33032
1210,1,59,33231
1210,1,60,33435
1210,1,61,33050
1210,1,62,33809
1210,1,63,34176
1210,1,64,34680
1210,1,65,34432
1210,1,66,34544
1210,1,67,34651
1210,1,68,34769
1210,1,69,35211
1210,1,70,35226
1210,1,71,35184
1210,1,72,35679
1210,1,73,36144
1210,1,74,36101
1210,1,75,36018
1210,1,76,36422
1210,1,77,36818
1210,1,78,36732
1210,1,79,36327
1210,1,80,36614
1210,1,81,36357
1210,1,82,36708
1210,1,83,36701
1210,1,84,36907
1210,1,85,37476
1210,1,86,38090
1210,1,87,37896
1210,1,88,37402
1210,1,89,37878
1210,1,90,37960
1210,1,91,38358
1210,1,92,38119
1210,1,93,38367
1210,1,94,38860
1210,1,95,39159
1210,1,96,39697
1210,1,97,40080
1210,1,98,40141
1210,1,99,39896
1210,1,100,39935
,,,
1210,2,0,2420
1210,2,1,2341
1210,2,2,2299
1210,2,3,2529
1210,2,4,2572
1210,2,5,2682
1210,2,6,2663
1210,2,7,2755
1210,2,8,2709
1210,2,9,2740
1210,2,10,2885
1210,2,11,3071
1210,2,12,3352
1210,2,13,3529
1210,2,14,3611
1210,2,15,3838
1210,2,16,4111
1210,2,17,4358
1210,2,18,4464
1210,2,19,4775
1210,2,20,5205
1210,2,21,5802
1210,2,22,6348
1210,2,23,6898
1210,2,24,7555
1210,2,25,8248
1210,2,26,9283
1210,2,27,10300
1210,2,28,11064
1210,2,29,12100
1210,2,30,13548
1210,2,31,15193
1210,2,32,16435
1210,2,33,17629
1210,2,34,19194
1210,2,35,20376
1210,2,36,21673
1210,2,37,23155
1210,2,38,24300
1210,2,39,25220
1210,2,40,26311
1210,2,41,27039
1210,2,42,27272
1210,2,43,27827
1210,2,44,28052
1210,2,45,28538
1210,2,46,29410
1210,2,47,30051
1210,2,48,30063
1210,2,49,30405
1210,2,50,30903
1210,2,51,31413
1210,2,52,31473
1210,2,53,31369
1210,2,54,31610
1210,2,55,31988
1210,2,56,31981
1210,2,57,31837
1210,2,58,31857
1210,2,59,31908
1210,2,60,32488
1210,2,61,33198
1210,2,62,33519
1210,2,63,33396
1210,2,64,33584
1210,2,65,33149
1210,2,66,34219
1210,2,67,33735
1210,2,68,34405
1210,2,69,34598
1210,2,70,34782
1210,2,71,34667
1210,2,72,34962
1210,2,73,35124
1210,2,74,35057
1210,2,75,35475
1210,2,76,35692
1210,2,77,35494
1210,2,78,35531
1210,2,79,35792
1210,2,80,35557
1210,2,81,36037
1210,2,82,36446
1210,2,83,36310
1210,2,84,36802
1210,2,85,36812
1210,2,86,37199
1210,2,87,36957
1210,2,88,37137
1210,2,89,37430
1210,2,90,37602
1210,2,91,37883
1210,2,92,37662
1210,2,93,38124
1210,2,94,38551
1210,2,95,38497
1210,2,96,38157
1210,2,97,38844
1210,2,98,38907
1210,2,99,39142
1210,2,100,39372
,,,
1210,3,0,2420
1210,3,1,2389
1210,3,2,2547
1210,3,3,2598
1210,3,4,2712
1210,3,5,2686
1210,3,6,2869
1210,3,7,3014
1210,3,8,3159
1210,3,9,3207
1210,3,10,3474
1210,3,11,3632
1210,3,12,3691
1210,3,13,3940
1210,3,14,3930
1210,3,15,4413
1210,3,16,4686
1210,3,17,5057
1210,3,18,5611
1210,3,19,6327
1210,3,20,6762
1210,3,21,7443
1210,3,22,8290
1210,3,23,9100
1210,3,24,10093
1210,3,25,11714
1210,3,26,12805
1210,3,27,14420
1210,3,28,15874
1210,3,29,17093
1210,3,30,18370
1210,3,31,20030
1210,3,32,21112
1210,3,33,22565
1210,3,34,23296
1210,3,35,24090
1210,3,36,24691
1210,3,37,25726
1210,3,38,26756
1210,3,39,27121
1210,3,40,27861
1210,3,41,28473
1210,3,42,29335
1210,3,43,29837
1210,3,44,30564
1210,3,45,30922
1210,3,46,31002
1210,3,47,31222
1210,3,48,32069
1210,3,49,32337
1210,3,50,32451
1210,3,51,32677
1210,3,52,33133
1210,3,53,32973
1210,3,54,32793
1210,3,55,32522
1210,3,56,32521
1210,3,57,33296
1210,3,58,33386
1210,3,59,33692
1210,3,60,34038
1210,3,61,33760
1210,3,62,34148
