gen,popsize,num_dd,num_dwt,num_wtwt,num_d_alleles,rate_d_alleles,replicate
-9,24194,0,0,24194,0,0,1
-8,24230,0,0,24230,0,0,1
-7,24172,0,0,24172,0,0,1
-6,24237,0,0,24237,0,0,1
-5,24163,0,0,24163,0,0,1
-4,24117,0,0,24117,0,0,1
-3,24331,0,0,24331,0,0,1
-2,24184,0,0,24184,0,0,1
-1,24191,0,0,24191,0,0,1
0,25085,800,0,24285,1600,0.0318916,1
1,24427,446,723,23258,1615,0.0330577,1
2,24246,393,874,22979,1660,0.0342325,1
3,24184,371,939,22874,1681,0.0347544,1
4,24122,395,997,22730,1787,0.0370409,1
5,24192,409,1091,22692,1909,0.0394552,1
6,24121,451,1110,22560,2012,0.0417064,1
7,24208,415,1146,22647,1976,0.040813,1
8,24039,414,1095,22530,1923,0.0399975,1
9,24292,490,1094,22708,2074,0.042689,1
10,24089,500,1229,22360,2229,0.0462659,1
11,24245,547,1264,22434,2358,0.0486286,1
12,24139,556,1337,22246,2449,0.050727,1
13,24239,602,1299,22338,2503,0.0516317,1
14,24241,609,1330,22302,2548,0.0525556,1
15,24144,660,1349,22135,2669,0.0552725,1
16,24232,733,1305,22194,2771,0.0571765,1
17,24182,881,1465,21836,3227,0.0667232,1
18,24282,963,1633,21686,3559,0.0732847,1
19,24320,1121,1612,21587,3854,0.0792352,1
20,24323,1250,1587,21486,4087,0.0840151,1
21,24194,1391,1635,21168,4417,0.091283,1
22,24365,1513,1727,21125,4753,0.0975375,1
23,24473,1694,1780,20999,5168,0.105586,1
24,24448,1866,1735,20847,5467,0.111809,1
25,24293,1996,1782,20515,5774,0.118841,1
26,24505,2232,1689,20584,6153,0.125546,1
27,24451,2545,1717,20189,6807,0.139197,1
28,24640,3018,1743,19879,7779,0.157853,1
29,24840,3673,1768,19399,9114,0.183454,1
30,24834,4216,1750,18868,10182,0.205001,1
31,25012,4758,1773,18481,11289,0.225672,1
32,24974,5373,1747,17854,12493,0.25012,1
33,25206,6195,1822,17189,14212,0.281917,1
34,25404,7010,1753,16641,15773,0.310443,1
35,25635,7743,1632,16260,17118,0.333879,1
36,25686,8589,1532,15565,18710,0.364206,1
37,25947,9240,1551,15156,20031,0.385998,1
38,25917,9915,1419,14583,21249,0.409943,1
39,26388,11077,1349,13962,23503,0.445335,1
40,26379,11761,1266,13352,24788,0.469843,1
41,26404,12269,1138,12997,25676,0.486214,1
42,26723,12789,1149,12785,26727,0.500075,1
43,26733,13291,1029,12413,27611,0.516422,1
44,26788,13706,1038,12044,28450,0.531021,1
45,26818,13949,881,11988,28779,0.536561,1
46,26967,14408,857,11702,29673,0.550172,1
47,27040,14573,844,11623,29990,0.554549,1
48,27074,14733,882,11459,30348,0.560464,1
49,27057,14987,838,11232,30812,0.569391,1
50,27125,15261,785,11079,31307,0.577088,1
51,27077,15313,841,10923,31467,0.581065,1
52,27266,15563,788,10915,31914,0.585234,1
53,27044,15563,826,10655,31952,0.590741,1
54,27176,15631,843,10702,32105,0.590687,1
55,27229,15655,815,10759,32125,0.589904,1
56,27403,15725,818,10860,32268,0.588768,1
57,27238,15832,803,10603,32467,0.595987,1
58,27271,15992,814,10465,32798,0.601335,1
59,27338,16195,818,10325,33208,0.60736,1
60,26966,15910,721,10335,32541,0.603371,1
61,27111,16044,839,10228,32927,0.607263,1
62,27280,16358,844,10078,33560,0.615103,1
63,27422,16471,815,10136,33757,0.615509,1
64,27297,16891,754,9652,34536,0.632597,1
65,27355,16669,890,9796,34228,0.625626,1
66,27348,16932,865,9551,34729,0.634946,1
67,27517,17179,896,9442,35254,0.640586,1
68,27430,17014,834,9582,34862,0.635472,1
69,27443,16894,883,9666,34671,0.631691,1
70,27430,16969,910,9551,34848,0.635217,1
