drop_size,outcome
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
100,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
118,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
137,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
155,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
173,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
192,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
210,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
229,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
247,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
265,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
284,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
302,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
320,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
339,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
357,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
376,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
394,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
412,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
431,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
449,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
467,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
486,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
504,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
522,decrease
541,decrease
541,decrease
541,decrease
541,increase
541,decrease
541,decrease
541,decrease
541,increase
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
541,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
559,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
578,decrease
596,increase
596,decrease
596,increase
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,increase
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,decrease
596,increase
596,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,increase
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
614,decrease
633,increase
633,decrease
633,increase
633,increase
633,decrease
633,increase
633,decrease
633,increase
633,decrease
633,increase
633,decrease
633,increase
633,increase
633,decrease
633,decrease
633,increase
633,decrease
633,decrease
633,increase
633,decrease
651,decrease
651,decrease
651,decrease
651,decrease
651,increase
651,increase
651,decrease
651,increase
651,decrease
651,increase
651,decrease
651,decrease
651,decrease
651,decrease
651,increase
651,decrease
651,decrease
651,increase
651,decrease
651,increase
669,increase
669,increase
669,increase
669,increase
669,decrease
669,decrease
669,increase
669,decrease
669,decrease
669,decrease
669,decrease
669,increase
669,decrease
669,increase
669,decrease
669,decrease
669,decrease
669,decrease
669,increase
669,increase
688,decrease
688,decrease
688,decrease
688,increase
688,decrease
688,decrease
688,increase
688,increase
688,decrease
688,increase
688,increase
688,increase
688,increase
688,decrease
688,decrease
688,decrease
688,decrease
688,increase
688,decrease
688,increase
706,decrease
706,increase
706,increase
706,decrease
706,increase
706,increase
706,increase
706,increase
706,decrease
706,increase
706,decrease
706,increase
706,increase
706,increase
706,decrease
706,increase
706,increase
706,decrease
706,increase
706,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,decrease
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
724,increase
743,increase
743,increase
743,increase
743,increase
743,increase
743,increase
743,increase
743,decrease
743,decrease
743,increase
743,increase
743,increase
743,decrease
743,decrease
743,increase
743,increase
743,increase
743,increase
743,increase
743,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
761,decrease
761,increase
761,decrease
761,increase
761,increase
761,increase
761,increase
761,increase
761,increase
780,increase
780,increase
