gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
-9,24150,0,0,24150,0,0.0
-8,24201,0,0,24201,0,0.0
-7,24127,0,0,24127,0,0.0
-6,24306,0,0,24306,0,0.0
-5,24213,0,0,24213,0,0.0
-4,24410,0,0,24410,0,0.0
-3,24281,0,0,24281,0,0.0
-2,24211,0,0,24211,0,0.0
-1,24312,0,0,24312,0,0.0
0,24458,300,0,24158,600,0.0122659
1,24048,71,333,23644,475,0.00987608
2,24079,44,327,23708,415,0.00861747
3,24084,36,330,23718,402,0.00834579
4,24153,28,315,23810,371,0.00768021
5,24218,16,358,23844,390,0.00805186
6,24203,12,391,23800,415,0.00857332
7,24177,23,375,23779,421,0.00870662
8,24214,22,350,23842,394,0.00813579
9,24242,12,330,23900,354,0.00730138
10,24028,10,286,23732,306,0.00636757
11,24157,7,245,23905,259,0.00536076
12,24145,7,219,23919,233,0.00482502
13,24240,7,222,24011,236,0.00486799
14,24098,3,207,23888,213,0.00441945
15,24045,1,200,23844,202,0.00420046
16,24213,0,190,24023,190,0.00392351
17,24131,4,173,23954,181,0.00375036
18,24301,1,162,24138,164,0.00337435
19,24198,3,153,24042,159,0.0032854
20,24027,2,150,23875,154,0.00320473
21,24142,2,157,23983,161,0.00333444
22,24300,0,128,24172,128,0.00263374
23,24323,4,127,24192,135,0.00277515
24,24188,2,107,24079,111,0.00229453
25,24197,2,98,24097,102,0.0021077
26,24325,0,97,24228,97,0.00199383
27,24220,1,88,24131,90,0.00185797
28,24391,0,78,24313,78,0.00159895
29,24257,1,69,24187,71,0.0014635
30,24152,0,72,24080,72,0.00149056
31,24218,0,58,24160,58,0.00119746
32,24142,0,63,24079,63,0.00130478
33,24246,0,78,24168,78,0.00160851
34,24288,0,64,24224,64,0.00131752
35,24206,0,54,24152,54,0.00111543
36,24186,0,47,24139,47,0.000971636
37,24220,0,50,24170,50,0.0010322
38,24100,0,47,24053,47,0.000975104
39,24146,0,37,24109,37,0.000766172
40,24170,0,32,24138,32,0.000661978
41,24317,0,33,24284,33,0.000678538
42,24020,0,27,23993,27,0.000562032
43,24093,2,36,24055,40,0.000830117
44,24258,0,45,24213,45,0.000927529
45,24201,0,50,24151,50,0.00103302
46,24197,0,43,24154,43,0.00088854
47,24187,0,37,24150,37,0.000764874
48,24082,0,30,24052,30,0.000622872
49,24072,0,34,24038,34,0.000706215
50,24283,0,23,24260,23,0.000473582
51,24061,0,18,24043,18,0.000374049
52,24239,0,19,24220,19,0.00039193
53,24055,0,11,24044,11,0.000228643
54,24244,0,8,24236,8,0.000164989
55,24259,0,7,24252,7,0.000144276
56,24293,0,3,24290,3,6.17462e-05
57,24108,0,0,24108,0,0.0
58,24036,0,0,24036,0,0.0
59,24306,0,0,24306,0,0.0
60,24197,0,0,24197,0,0.0
61,24174,0,0,24174,0,0.0
62,24107,0,0,24107,0,0.0
63,24307,0,0,24307,0,0.0
64,24101,0,0,24101,0,0.0
65,24212,0,0,24212,0,0.0
66,24144,0,0,24144,0,0.0
67,24097,0,0,24097,0,0.0
68,24301,0,0,24301,0,0.0
69,24414,0,0,24414,0,0.0
70,24069,0,0,24069,0,0.0
71,24268,0,0,24268,0,0.0
72,24170,0,0,24170,0,0.0
73,24168,0,0,24168,0,0.0
74,24060,0,0,24060,0,0.0
75,24191,0,0,24191,0,0.0
76,24087,0,0,24087,0,0.0
77,24008,0,0,24008,0,0.0
78,24370,0,0,24370,0,0.0
79,24227,0,0,24227,0,0.0
80,24106,0,0,24106,0,0.0
81,24286,0,0,24286,0,0.0
82,24114,0,0,24114,0,0.0
83,24248,0,0,24248,0,0.0
84,24135,0,0,24135,0,0.0
85,24314,0,0,24314,0,0.0
86,24224,0,0,24224,0,0.0
87,24215,0,0,24215,0,0.0
88,24139,0,0,24139,0,0.0
89,24139,0,0,24139,0,0.0
90,24177,0,0,24177,0,0.0
91,24105,0,0,24105,0,0.0
92,24027,0,0,24027,0,0.0
93,24067,0,0,24067,0,0.0
94,24189,0,0,24189,0,0.0
95,24137,0,0,24137,0,0.0
96,24210,0,0,24210,0,0.0
97,24352,0,0,24352,0,0.0
98,24273,0,0,24273,0,0.0
99,24325,0,0,24325,0,0.0
100,24186,0,0,24186,0,0.0
-9,24162,0,0,24162,0,0.0
-8,24125,0,0,24125,0,0.0
-7,24142,0,0,24142,0,0.0
-6,24390,0,0,24390,0,0.0
-5,24146,0,0,24146,0,0.0
-4,24104,0,0,24104,0,0.0
-3,24176,0,0,24176,0,0.0
-2,24332,0,0,24332,0,0.0
-1,24216,0,0,24216,0,0.0
0,24578,300,0,24278,600,0.012206
1,24177,92,368,23717,552,0.0114158
2,24052,63,381,23608,507,0.0105397
3,24040,47,389,23604,483,0.0100458
4,24176,45,359,23772,449,0.00928607
5,24133,32,379,23722,443,0.0091783
6,24196,32,362,23802,426,0.00880311
7,24284,34,380,23870,448,0.00922418
8,24123,27,368,23728,422,0.00874684
9,24167,34,325,23808,393,0.00813092
10,24154,26,341,23787,393,0.0081353
11,24079,27,322,23730,376,0.00780763
12,24007,13,302,23692,328,0.00683134
13,23958,11,286,23661,308,0.00642792
14,24136,17,231,23888,265,0.00548972
15,24248,7,194,24047,208,0.00428901
16,24094,8,199,23887,215,0.00446169
17,24228,7,202,24019,216,0.00445765
18,24093,2,200,23891,204,0.00423359
19,24178,4,199,23975,207,0.00428075
20,24181,4,209,23968,217,0.00448699
21,24243,3,201,24039,207,0.00426927
