gen,avg_popsize,avg_num_dd,avg_num_dwt,avg_num_wtwt,avg_num_d_alleles,avg_rate_d_alleles,num_replicates
-9,24202.26,0,0,24202.26,0,0,100
-8,24182.33,0,0,24182.33,0,0,100
-7,24191.17,0,0,24191.17,0,0,100
-6,24186.52,0,0,24186.52,0,0,100
-5,24199.26,0,0,24199.26,0,0,100
-4,24198.69,0,0,24198.69,0,0,100
-3,24199.63,0,0,24199.63,0,0,100
-2,24196.87,0,0,24196.87,0,0,100
-1,24201.25,0,0,24201.25,0,0,100
0,24830.44,625,0,24205.44,1250,0.025171069,100
1,24209.45,297.62,658.65,23253.18,1253.89,0.025897148,100
2,24176.38,261.51,741.78,23173.09,1264.8,0.02615722,100
3,24164.92,242.08,787.06,23135.78,1271.22,0.026302483,100
4,24171.69,227.08,814.15,23130.46,1268.31,0.026236135,100
5,24164.31,212.87,837.7,23113.74,1263.44,0.026141479999999998,100
6,24168.45,208.12,846.19,23114.14,1262.43,0.026115957,100
7,24146.26,201.73,854.95,23089.58,1258.41,0.026056471,100
8,24165.02,194.06,859.52,23111.44,1247.64,0.025815997,100
9,24156.62,185.36,864.54,23106.72,1235.26,0.025568319,100
10,24146.47,178.14,867.18,23101.15,1223.46,0.025334239,100
11,24158.01,175.45,855.44,23127.12,1206.34,0.024967595999999998,100
12,24153,171.53,855.81,23125.66,1198.87,0.024817451,100
13,24150.56,164.83,863.82,23121.91,1193.48,0.024706196,100
14,24157,163.78,860.86,23132.36,1188.42,0.02459533,100
15,24148.84,163.59,859.35,23125.9,1186.53,0.024568532,100
16,24153.93,155.81,859.97,23138.15,1171.59,0.024251878,100
17,24140.59,156.79,858.12,23125.68,1171.7,0.024267299,100
18,24155.42,152.58,857.7,23145.14,1162.86,0.0240741069,100
19,24168.38,149.49,846.3,23172.59,1145.28,0.0236964609,100
20,24153.44,149.12,847.32,23157,1145.56,0.0237130038,100
21,24152.37,149.84,833.43,23169.1,1133.11,0.0234538605,100
22,24148.53,149.33,834.62,23164.58,1133.28,0.0234687887,100
23,24162.78,147.72,831.45,23183.61,1126.89,0.0233207626,100
24,24146.34,144.91,824.44,23176.99,1114.26,0.0230711047,100
25,24153.42,145.97,820.53,23186.92,1112.47,0.0230329444,100
26,24151.62,148.52,813.01,23190.09,1110.05,0.0229791809,100
27,24158.55,148.91,803.76,23205.88,1101.58,0.0227950715,100
28,24142.03,148.04,800.61,23193.38,1096.69,0.0227130566,100
29,24138.36,152.12,797.49,23188.75,1101.73,0.0228158739,100
30,24161.56,156.86,789.8,23214.9,1103.52,0.0228335599,100
31,24138.85,157.9,783.61,23197.34,1099.41,0.0227655333,100
32,24159.17,163.03,775.07,23221.07,1101.13,0.0227738738,100
33,24145.45,165.98,767.22,23212.25,1099.18,0.0227500102,100
34,24176.01,174.89,758.08,23243.04,1107.86,0.0228802378,100
35,24173.03,183.51,745.54,23243.98,1112.56,0.0229699678,100
36,24166.04,193.49,739.12,23233.43,1126.1,0.0232662906,100
37,24161.82,205.76,730.47,23225.59,1141.99,0.0235667849,100
38,24168.56,220.05,725.52,23222.99,1165.62,0.0240365846,100
39,24169.05,238.32,722.61,23208.12,1199.25,0.0247018435,100
40,24167.01,260.07,715.84,23191.1,1235.98,0.0254150473,100
41,24186.28,284.54,705.17,23196.57,1274.25,0.026190773599999998,100
42,24184.15,309.62,694.02,23180.51,1313.26,0.0269088394,100
43,24199.74,337.91,689.43,23172.4,1365.25,0.027916873000000002,100
44,24198.28,368.11,684.59,23145.58,1420.81,0.0289776062,100
45,24204.49,400.09,675.86,23128.54,1476.04,0.03007577803,100
46,24211.26,443.56,672.34,23095.36,1559.46,0.03167108049,100
47,24241.84,490.88,662.52,23088.44,1644.28,0.0332284018,100
48,24235.71,543.38,652.03,23040.3,1738.79,0.03501420216,100
49,24242.52,598.84,640.05,23003.63,1837.73,0.0369442516,100
50,24256.35,657.96,630.33,22968.06,1946.25,0.03891993196,100
51,24288.64,719.15,618.72,22950.77,2057.02,0.04100895172,100
52,24294.87,789.83,614.25,22890.79,2193.91,0.04360384323,100
53,24312.6,864.34,603.48,22844.78,2332.16,0.04614940111,100
54,24325.89,945.13,585.79,22794.97,2476.05,0.04881481394,100
55,24327.82,1019.26,576.85,22731.71,2615.37,0.05150073146,100
56,24359.03,1106.01,564.47,22688.55,2776.49,0.05442169483,100
57,24382.81,1191.26,551.09,22640.46,2933.61,0.05721610233,100
58,24405.51,1287.45,533.43,22584.63,3108.33,0.06050840548,100
59,24409.83,1377.16,524.27,22508.4,3278.59,0.0634994171,100
60,24420.13,1463.19,509.3,22447.64,3435.68,0.06635466255,100
61,24459.46,1561.59,493.02,22404.85,3616.2,0.06961264979,100
62,24492.24,1651.27,487.65,22353.32,3790.19,0.07267656816,100
63,24486.03,1739.08,473.8,22273.15,3951.96,0.07564989530999999,100
64,24504.4,1828.06,460.45,22215.89,4116.57,0.078604166108,100
65,24525.36,1909.92,450.47,22164.97,4270.31,0.081278972793,100
66,24560.74,2002.54,435.75,22122.45,4440.83,0.084198780903,100
67,24547.09,2081.83,419.35,22045.91,4583.01,0.086723353865,100
68,24562.63,2154.92,407.37,22000.34,4717.21,0.089003959707,100
69,24577.54,2226.35,393.65,21957.54,4846.35,0.091393526403,100
70,24603.21,2299.68,386.22,21917.31,4985.58,0.093926234852,100
71,24602.55,2371.16,374.66,21856.73,5116.98,0.096174663463,100
72,24660.31,2444.24,363.27,21852.8,5251.75,0.098450410025,100
73,24650.05,2509.75,351.34,21788.96,5370.84,0.100733320126,100
74,24658.22,2579.78,342.13,21736.31,5501.69,0.10290316731600001,100
75,24679.41,2653.1,335.53,21690.78,5641.73,0.105384315657,100
76,24697.61,2718.91,324.55,21654.15,5762.37,0.107588411922,100
77,24696.9,2788.61,319,21589.29,5896.22,0.109921322443,100
78,24719.4,2864.02,311.05,21544.33,6039.09,0.11232042006699999,100
79,24726.67,2925.14,306.92,21494.61,6157.2,0.114488380205,100
80,24752.94,2999.72,294.89,21458.33,6294.33,0.11666979857,100
81,24752.68,3054.12,283.08,21415.48,6391.32,0.118542651595,100
82,24768.97,3121.65,272.77,21374.55,6516.07,0.120711776978,100
83,24777.79,3173.73,266.31,21337.75,6613.77,0.122345351448,100
84,24811.19,3222.72,263.07,21325.4,6708.51,0.123777107322,100
85,24803.27,3275.8,255.05,21272.42,6806.65,0.12529001606100001,100
