gen, N_total,constant_expectation,cell1_count, cell2_count, cell3_count, cell4_count, cell5_count, cell6_count, cell7_count, cell8_count, cell9_count, cell10_count
-9,24118,2411.8,2462,2389,2436,2430,2367,2349,2475,2363,2363,2484
-8,24181,2418.1,2438,2362,2405,2390,2357,2418,2445,2354,2355,2657
-7,24249,2424.9,2491,2521,2419,2419,2354,2415,2504,2253,2318,2555
-6,24438,2443.8,2477,2512,2465,2457,2345,2416,2447,2346,2301,2672
-5,24025,2402.5,2514,2446,2391,2478,2197,2444,2436,2397,2133,2589
-4,24113,2411.3,2457,2508,2401,2544,2260,2549,2426,2458,1978,2532
-3,24030,2403.0,2258,2501,2435,2511,2268,2573,2495,2374,2087,2528
-2,24278,2427.8,2521,2436,2403,2505,2216,2510,2441,2453,2116,2677
-1,24107,2410.7,2475,2345,2450,2501,2173,2511,2361,2508,2249,2534
0,24740,2474.0,2466,2420,2453,2447,2317,3157,2382,2455,2158,2485
1,24027,2402.7,2413,2361,2474,2272,2531,2766,2323,2317,2142,2428
2,24214,2421.4,2452,2373,2366,2311,2637,2772,2322,2306,2144,2531
3,24221,2422.1,2499,2374,2259,2316,2663,2852,2338,2297,2158,2465
4,23908,2390.8,2316,2375,2187,2357,2506,2709,2384,2386,2294,2394
5,24215,2421.5,2323,2450,2349,2459,2516,2817,2327,2369,2299,2306
6,24123,2412.3,2370,2428,2365,2531,2435,2653,2408,2254,2300,2379
7,24009,2400.9,2334,2425,2400,2534,2444,2647,2437,2255,2175,2358
8,24248,2424.8,2315,2442,2437,2659,2500,2611,2510,2342,2150,2282
9,24147,2414.7,2327,2519,2427,2613,2424,2589,2426,2438,2207,2177
10,24176,2417.6,2278,2412,2536,2595,2372,2599,2462,2573,2141,2208
11,24282,2428.2,2172,2620,2449,2524,2336,2706,2589,2399,2294,2193
12,24212,2421.2,2258,2541,2492,2435,2393,2564,2671,2337,2350,2171
13,24150,2415.0,2208,2611,2469,2325,2459,2522,2722,2319,2274,2241
14,24267,2426.7,2313,2477,2453,2364,2491,2533,2606,2534,2297,2199
15,24078,2407.8,2180,2457,2490,2405,2391,2530,2650,2461,2322,2192
16,24149,2414.9,2185,2445,2522,2377,2312,2442,2727,2471,2344,2324
17,24146,2414.6,2241,2495,2519,2455,2203,2375,2545,2587,2378,2348
18,24075,2407.5,2191,2523,2515,2515,2032,2465,2517,2516,2379,2422
19,24063,2406.3,2334,2452,2369,2589,2159,2447,2527,2451,2294,2441
20,24222,2422.2,2174,2415,2438,2642,2150,2555,2509,2515,2339,2485
21,24115,2411.5,2218,2454,2369,2722,2201,2425,2510,2505,2328,2383
22,24191,2419.1,2288,2470,2352,2709,2219,2339,2631,2400,2458,2325
23,24274,2427.4,2456,2416,2280,2590,2396,2348,2591,2382,2542,2273
24,24101,2410.1,2444,2293,2274,2626,2410,2211,2587,2402,2486,2368
25,24151,2415.1,2343,2437,2307,2699,2309,2124,2631,2395,2517,2389
26,24314,2431.4,2232,2411,2384,2665,2357,2288,2538,2461,2587,2391
27,24199,2419.9,2252,2382,2277,2663,2380,2377,2664,2304,2520,2380
28,24064,2406.4,2308,2405,2279,2522,2304,2392,2452,2370,2562,2470
29,24098,2409.8,2414,2462,2362,2469,2250,2373,2514,2376,2461,2417
30,23971,2397.1,2511,2343,2420,2567,2289,2366,2517,2288,2374,2296
31,24195,2419.5,2551,2503,2512,2488,2333,2336,2582,2229,2437,2224
32,24147,2414.7,2500,2439,2421,2424,2329,2376,2609,2319,2423,2307
33,24182,2418.2,2583,2497,2364,2512,2428,2268,2581,2338,2424,2187
34,24193,2419.3,2591,2411,2419,2379,2515,2370,2412,2412,2400,2284
35,24021,2402.1,2522,2506,2460,2256,2393,2289,2447,2386,2408,2354
36,24213,2421.3,2613,2592,2552,2162,2390,2231,2402,2471,2383,2417
37,24223,2422.3,2568,2572,2610,2335,2422,2286,2287,2352,2326,2465
38,24127,2412.7,2482,2528,2583,2415,2424,2252,2204,2508,2302,2429
39,24168,2416.8,2477,2492,2448,2403,2414,2255,2197,2557,2371,2554
40,24105,2410.5,2444,2436,2556,2494,2334,2371,2208,2406,2350,2506
