gen, N_total,constant_expectation,cell1_count, cell2_count, cell3_count, cell4_count, cell5_count, cell6_count, cell7_count, cell8_count, cell9_count, cell10_count
-9,24224,2422.4,2310,2408,2408,2417,2358,2461,2460,2451,2461,2490
-8,24038,2403.8,2319,2426,2377,2453,2452,2410,2492,2382,2273,2454
-7,24261,2426.1,2414,2348,2364,2591,2338,2578,2522,2473,2120,2513
-6,24203,2420.3,2364,2349,2355,2619,2298,2553,2531,2395,2178,2561
-5,24176,2417.6,2385,2371,2349,2609,2263,2480,2581,2445,2105,2588
-4,24128,2412.8,2427,2354,2466,2662,2389,2355,2507,2332,2143,2493
-3,24123,2412.3,2361,2361,2438,2677,2318,2441,2514,2413,2181,2419
-2,24243,2424.3,2307,2332,2439,2546,2498,2427,2528,2443,2169,2554
-1,23988,2398.8,2364,2314,2322,2561,2434,2435,2603,2437,2137,2381
0,25108,2510.8,2244,2370,2367,2544,2638,3225,2574,2497,2331,2318
1,24135,2413.5,2113,2233,2291,2389,2861,2805,2521,2351,2323,2248
2,24188,2418.8,2228,2293,2152,2394,2829,2856,2569,2190,2382,2295
3,24147,2414.7,2229,2328,2142,2419,2901,2701,2480,2260,2391,2296
4,24302,2430.2,2325,2276,2224,2338,2777,2805,2515,2273,2324,2445
5,24214,2421.4,2419,2310,2245,2365,2667,2707,2581,2362,2266,2292
6,24300,2430.0,2367,2312,2419,2415,2699,2670,2568,2375,2224,2251
7,24248,2424.8,2310,2358,2323,2389,2753,2679,2509,2368,2340,2219
8,24208,2420.8,2324,2344,2207,2478,2716,2558,2644,2311,2353,2273
9,24173,2417.3,2333,2469,2200,2520,2647,2572,2511,2359,2280,2282
10,24154,2415.4,2346,2462,2149,2478,2625,2528,2541,2416,2331,2278
11,24155,2415.5,2338,2416,2275,2443,2616,2451,2468,2503,2321,2324
12,24118,2411.8,2339,2424,2343,2498,2452,2482,2456,2477,2309,2338
13,24070,2407.0,2352,2431,2342,2330,2428,2549,2512,2503,2333,2290
14,24049,2404.9,2275,2414,2459,2237,2400,2765,2458,2433,2367,2241
15,24215,2421.5,2438,2462,2402,2322,2432,2699,2478,2573,2211,2198
16,24038,2403.8,2442,2449,2424,2306,2447,2681,2476,2477,2188,2148
17,24095,2409.5,2372,2355,2373,2407,2487,2568,2516,2556,2159,2302
18,24108,2410.8,2430,2477,2284,2417,2525,2435,2490,2521,2261,2268
19,24170,2417.0,2394,2474,2371,2536,2394,2594,2542,2473,2222,2170
20,24300,2430.0,2471,2534,2237,2486,2461,2493,2539,2479,2393,2207
21,24228,2422.8,2526,2598,2269,2426,2468,2327,2519,2432,2474,2189
22,24134,2413.4,2575,2679,2260,2367,2347,2382,2429,2284,2509,2302
23,24122,2412.2,2471,2714,2232,2433,2293,2296,2540,2405,2525,2213
24,24292,2429.2,2451,2548,2289,2593,2356,2317,2538,2454,2446,2300
