gen, N_total,constant_expectation,cell1_count, cell2_count, cell3_count, cell4_count, cell5_count, cell6_count, cell7_count, cell8_count, cell9_count, cell10_count
-9,24173,2417.3,2478,2374,2494,2397,2440,2481,2373,2402,2353,2381
-8,24183,2418.3,2466,2298,2459,2364,2399,2432,2477,2437,2408,2443
-7,24315,2431.5,2525,2314,2535,2375,2296,2451,2309,2560,2445,2505
-6,24102,2410.2,2342,2296,2498,2521,2302,2486,2299,2443,2447,2468
-5,24107,2410.7,2377,2336,2402,2563,2281,2447,2284,2516,2401,2500
-4,24278,2427.8,2453,2460,2430,2483,2305,2456,2227,2504,2440,2520
-3,24155,2415.5,2418,2528,2402,2518,2310,2501,2265,2341,2439,2433
-2,24239,2423.9,2414,2432,2436,2385,2368,2583,2362,2496,2341,2422
-1,24263,2426.3,2396,2454,2335,2348,2390,2509,2376,2563,2349,2543
0,24954,2495.4,2396,2402,2351,2386,2390,3261,2397,2534,2268,2569
1,24461,2446.1,2318,2393,2383,2266,2809,2779,2253,2551,2265,2444
2,24149,2414.9,2347,2351,2357,2344,2854,2755,2177,2442,2297,2225
3,24107,2410.7,2310,2446,2232,2406,2794,2793,2131,2563,2242,2190
4,24276,2427.6,2448,2337,2304,2398,2712,2679,2125,2637,2362,2274
5,24085,2408.5,2416,2424,2368,2319,2665,2613,2090,2598,2366,2226
6,24110,2411.0,2375,2597,2230,2361,2687,2572,2223,2473,2241,2351
7,24100,2410.0,2331,2531,2299,2300,2602,2519,2332,2648,2144,2394
8,24132,2413.2,2375,2586,2253,2361,2526,2521,2371,2603,2063,2473
9,24204,2420.4,2296,2584,2269,2486,2611,2342,2403,2666,2125,2422
10,24206,2420.6,2341,2518,2226,2496,2616,2569,2238,2654,2136,2412
11,24352,2435.2,2364,2508,2201,2436,2596,2633,2249,2718,2086,2561
12,24262,2426.2,2294,2452,2263,2316,2659,2600,2254,2598,2199,2627
13,24182,2418.2,2278,2510,2424,2418,2583,2556,2328,2465,2107,2513
14,24182,2418.2,2299,2397,2522,2476,2621,2471,2315,2485,2086,2510
15,24180,2418.0,2326,2417,2515,2414,2591,2492,2458,2447,2150,2370
16,24012,2401.2,2386,2417,2469,2400,2567,2429,2398,2443,2153,2350
17,24026,2402.6,2497,2402,2500,2308,2581,2385,2394,2498,2158,2303
18,23930,2393.0,2503,2291,2321,2297,2700,2407,2347,2501,2165,2398
19,24105,2410.5,2517,2455,2331,2405,2664,2374,2292,2523,2125,2419
20,24230,2423.0,2476,2511,2502,2482,2599,2377,2382,2402,2139,2360
21,24120,2412.0,2578,2427,2631,2393,2707,2239,2293,2400,2105,2347
22,24292,2429.2,2717,2374,2650,2466,2712,2302,2159,2406,2146,2360
23,24065,2406.5,2607,2283,2654,2512,2580,2256,2237,2319,2211,2406
24,24150,2415.0,2534,2360,2604,2438,2587,2411,2349,2239,2206,2422
25,24123,2412.3,2628,2301,2469,2287,2523,2532,2405,2207,2267,2504
26,24013,2401.3,2585,2213,2448,2368,2505,2493,2338,2222,2276,2565
27,24171,2417.1,2664,2187,2425,2395,2419,2593,2272,2265,2318,2633
