gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,30129,1000,0,30129,2000,0.0331906
1,30057,448,990,28619,1886,0.0313737
2,29870,390,1062,28418,1842,0.0308336
3,30024,371,1151,28502,1893,0.0315248
4,29930,313,1228,28389,1854,0.0309723
5,29944,301,1312,28331,1914,0.0319597
6,30050,274,1437,28339,1985,0.0330283
7,29790,249,1291,28250,1789,0.0300269
8,30187,262,1242,28683,1766,0.029251
9,29937,196,1337,28404,1729,0.0288773
10,29889,191,1238,28460,1620,0.0271003
11,30024,189,1265,28570,1643,0.0273614
12,29930,175,1319,28436,1669,0.0278817
13,29857,156,1379,28322,1691,0.0283183
14,30015,162,1296,28557,1620,0.0269865
15,30182,157,1332,28693,1646,0.0272679
16,29935,143,1332,28460,1618,0.0270252
17,30047,147,1332,28568,1626,0.0270576
18,29985,166,1332,28487,1664,0.0277472
19,29911,137,1357,28417,1631,0.0272642
20,30082,139,1359,28584,1637,0.027209
21,29963,139,1323,28501,1601,0.0267163
22,29828,150,1304,28374,1604,0.0268875
23,29669,119,1289,28261,1527,0.0257339
24,30098,84,1271,28743,1439,0.0239052
25,29820,92,1221,28507,1405,0.023558
26,29784,89,1144,28551,1322,0.0221931
27,29839,80,1151,28608,1311,0.0219679
28,30043,93,1158,28792,1344,0.0223679
29,30004,87,1204,28713,1378,0.0229636
30,29710,85,1170,28455,1340,0.0225513
31,29997,86,1153,28758,1325,0.0220855
32,29968,79,1152,28737,1310,0.0218566
33,30020,91,1209,28720,1391,0.0231679
34,30123,81,1191,28851,1353,0.0224579
35,30048,83,1095,28870,1261,0.0209831
36,29804,66,1101,28637,1233,0.0206851
37,29833,72,1072,28689,1216,0.0203801
38,30077,73,1139,28865,1285,0.0213618
39,30153,62,1153,28938,1277,0.0211753
40,29892,67,1159,28666,1293,0.0216279
41,29828,69,1168,28591,1306,0.0218922
42,30186,86,1162,28938,1334,0.0220963
43,29969,72,1200,28697,1344,0.0224232
44,29954,75,1252,28627,1402,0.0234026
45,30059,79,1269,28711,1427,0.0237367
46,30027,72,1265,28690,1409,0.0234622
47,29991,49,1239,28703,1337,0.02229
48,30106,62,1238,28806,1362,0.0226201
49,30007,77,1187,28743,1341,0.0223448
50,30003,78,1188,28737,1344,0.0223978
51,30012,75,1277,28660,1427,0.0237738
52,30040,71,1241,28728,1383,0.0230193
