gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
-9,24217,0,0,24217,0,0.0
-8,24152,0,0,24152,0,0.0
-7,24293,0,0,24293,0,0.0
-6,24189,0,0,24189,0,0.0
-5,24160,0,0,24160,0,0.0
-4,24043,0,0,24043,0,0.0
-3,24328,0,0,24328,0,0.0
-2,24356,0,0,24356,0,0.0
-1,24386,0,0,24386,0,0.0
0,24365,100,0,24265,200,0.00410425
1,24174,11,180,23983,202,0.00417804
2,24132,14,178,23940,206,0.00426819
3,24085,19,171,23895,209,0.0043388
4,24290,4,181,24105,189,0.00389049
5,24315,8,178,24129,194,0.00398931
6,24123,5,168,23950,178,0.00368943
7,24103,1,168,23934,170,0.00352653
8,24165,4,130,24031,138,0.00285537
9,24221,1,122,24098,124,0.00255976
10,24119,1,106,24012,108,0.0022389
11,24145,1,86,24058,88,0.00182232
12,24220,2,80,24138,84,0.0017341
13,24143,1,93,24049,95,0.00196744
14,24207,0,67,24140,67,0.0013839
15,24076,0,59,24017,59,0.00122529
16,24119,0,48,24071,48,0.000995066
17,24259,0,43,24216,43,0.000886269
18,24143,1,42,24100,44,0.000911237
19,24242,0,46,24196,46,0.000948767
20,24218,1,39,24178,41,0.000846478
21,24143,0,47,24096,47,0.000973367
22,24088,0,40,24048,40,0.000830289
23,24267,0,29,24238,29,0.000597519
24,24252,0,28,24224,28,0.000577272
25,24296,0,33,24263,33,0.000679124
26,24283,0,37,24246,37,0.00076185
27,24168,0,32,24136,32,0.000662032
28,24151,0,34,24117,34,0.000703905
29,24289,2,45,24242,49,0.00100869
30,24166,1,43,24122,45,0.00093106
31,24239,0,40,24199,40,0.000825117
32,23985,0,31,23954,31,0.000646237
33,24333,0,28,24305,28,0.00057535
34,24320,0,23,24297,23,0.000472862
35,24352,0,25,24327,25,0.000513305
36,24181,0,10,24171,10,0.000206774
37,24389,0,7,24382,7,0.000143507
38,24229,0,5,24224,5,0.000103182
39,24201,0,4,24197,4,8.26412e-05
40,24227,0,7,24220,7,0.000144467
41,24269,0,3,24266,3,6.18072e-05
42,24195,0,2,24193,2,4.13309e-05
43,24181,0,0,24181,0,0.0
44,24197,0,0,24197,0,0.0
45,24122,0,0,24122,0,0.0
46,24171,0,0,24171,0,0.0
47,24052,0,0,24052,0,0.0
48,24130,0,0,24130,0,0.0
49,24275,0,0,24275,0,0.0
50,24203,0,0,24203,0,0.0
51,24249,0,0,24249,0,0.0
52,24191,0,0,24191,0,0.0
53,24354,0,0,24354,0,0.0
54,24324,0,0,24324,0,0.0
55,24318,0,0,24318,0,0.0
56,24134,0,0,24134,0,0.0
57,24100,0,0,24100,0,0.0
58,24175,0,0,24175,0,0.0
59,24056,0,0,24056,0,0.0
60,24261,0,0,24261,0,0.0
61,24280,0,0,24280,0,0.0
62,24232,0,0,24232,0,0.0
63,24057,0,0,24057,0,0.0
64,24345,0,0,24345,0,0.0
65,24042,0,0,24042,0,0.0
66,24179,0,0,24179,0,0.0
67,24097,0,0,24097,0,0.0
68,24189,0,0,24189,0,0.0
69,24229,0,0,24229,0,0.0
70,24231,0,0,24231,0,0.0
71,24129,0,0,24129,0,0.0
72,24364,0,0,24364,0,0.0
73,24328,0,0,24328,0,0.0
74,24245,0,0,24245,0,0.0
75,24159,0,0,24159,0,0.0
76,24067,0,0,24067,0,0.0
77,24129,0,0,24129,0,0.0
78,24155,0,0,24155,0,0.0
79,24322,0,0,24322,0,0.0
80,24234,0,0,24234,0,0.0
81,24175,0,0,24175,0,0.0
82,24108,0,0,24108,0,0.0
83,24289,0,0,24289,0,0.0
84,24258,0,0,24258,0,0.0
85,24292,0,0,24292,0,0.0
86,24165,0,0,24165,0,0.0
87,24139,0,0,24139,0,0.0
88,24287,0,0,24287,0,0.0
89,24140,0,0,24140,0,0.0
90,24338,0,0,24338,0,0.0
91,24114,0,0,24114,0,0.0
92,24262,0,0,24262,0,0.0
93,24373,0,0,24373,0,0.0
94,24199,0,0,24199,0,0.0
95,24073,0,0,24073,0,0.0
96,24264,0,0,24264,0,0.0
97,24256,0,0,24256,0,0.0
98,24346,0,0,24346,0,0.0
99,24179,0,0,24179,0,0.0
100,24088,0,0,24088,0,0.0
