x1, x2, x_midpoint,time_point,n_dd, n_dwt, n_wtwt, exp_n_dd, exp_n_dwt, exp_n_wt
0.0,0.0333333,0.0166667,after_dispersal,0.0,0.0,24180.0,0.0,0.0,1000.0
0.0333333,0.0666667,0.05,after_dispersal,0.0,0.0,25890.0,0.0,0.0,1000.0
0.0666667,0.1,0.0833333,after_dispersal,0.0,0.0,29190.0,0.0,0.0,1000.0
0.1,0.133333,0.116667,after_dispersal,0.0,0.0,27960.0,3.27409e-315,0.0,1000.0
0.133333,0.166667,0.15,after_dispersal,0.0,0.0,26550.0,3.9404e-262,0.0,1000.0
0.166667,0.2,0.183333,after_dispersal,0.0,0.0,20730.0,7.08732e-214,0.0,1000.0
0.2,0.233333,0.216667,after_dispersal,0.0,0.0,25110.0,1.90516e-170,0.0,1000.0
0.233333,0.266667,0.25,after_dispersal,0.0,0.0,23520.0,7.65393e-132,0.0,1000.0
0.266667,0.3,0.283333,after_dispersal,0.0,0.0,27030.0,4.59562e-98,0.0,1000.0
0.3,0.333333,0.316667,after_dispersal,0.0,0.0,25380.0,4.12391e-69,0.0,1000.0
0.333333,0.366667,0.35,after_dispersal,0.0,0.0,27150.0,5.53071e-45,0.0,1000.0
0.366667,0.4,0.383333,after_dispersal,0.0,0.0,25890.0,1.10856e-25,0.0,1000.0
0.4,0.433333,0.416667,after_dispersal,0.0,0.0,24960.0,3.32078e-11,0.0,1000.0
0.433333,0.466667,0.45,after_dispersal,0.0,0.0,22170.0,0.148672,0.0,1000.0
0.466667,0.5,0.483333,after_dispersal,14280.0,0.0,22860.0,9947.71,0.0,1000.0
0.5,0.533333,0.516667,after_dispersal,15720.0,0.0,23160.0,9947.71,0.0,1000.0
0.533333,0.566667,0.55,after_dispersal,0.0,0.0,23340.0,0.148672,0.0,1000.0
0.566667,0.6,0.583333,after_dispersal,0.0,0.0,23280.0,3.32078e-11,0.0,1000.0
0.6,0.633333,0.616667,after_dispersal,0.0,0.0,26880.0,1.10856e-25,0.0,1000.0
0.633333,0.666667,0.65,after_dispersal,0.0,0.0,24600.0,5.53071e-45,0.0,1000.0
0.666667,0.7,0.683333,after_dispersal,0.0,0.0,23190.0,4.12391e-69,0.0,1000.0
0.7,0.733333,0.716667,after_dispersal,0.0,0.0,22410.0,4.59562e-98,0.0,1000.0
0.733333,0.766667,0.75,after_dispersal,0.0,0.0,21210.0,7.65393e-132,0.0,1000.0
0.766667,0.8,0.783333,after_dispersal,0.0,0.0,20700.0,1.90516e-170,0.0,1000.0
0.8,0.833333,0.816667,after_dispersal,0.0,0.0,22800.0,7.08732e-214,0.0,1000.0
0.833333,0.866667,0.85,after_dispersal,0.0,0.0,22350.0,3.9404e-262,0.0,1000.0
0.866667,0.9,0.883333,after_dispersal,0.0,0.0,25710.0,3.27409e-315,0.0,1000.0
0.9,0.933333,0.916667,after_dispersal,0.0,0.0,23700.0,0.0,0.0,1000.0
0.933333,0.966667,0.95,after_dispersal,0.0,0.0,22020.0,0.0,0.0,1000.0
0.966667,1.0,0.983333,after_dispersal,0.0,0.0,21390.0,0.0,0.0,1000.0
0.0,0.0333333,0.0166667,after_reproduction,0.0,0.0,62460.0,0.0,0.0,1000.0
0.0333333,0.0666667,0.05,after_reproduction,0.0,0.0,66120.0,0.0,0.0,1000.0
0.0666667,0.1,0.0833333,after_reproduction,0.0,0.0,72240.0,0.0,0.0,1000.0
0.1,0.133333,0.116667,after_reproduction,0.0,0.0,70260.0,0.0,6.54818e-315,1000.0
0.133333,0.166667,0.15,after_reproduction,0.0,0.0,67230.0,0.0,7.88079e-262,1000.0
0.166667,0.2,0.183333,after_reproduction,0.0,0.0,53370.0,0.0,1.41746e-213,1000.0
0.2,0.233333,0.216667,after_reproduction,0.0,0.0,63990.0,0.0,3.81031e-170,1000.0
0.233333,0.266667,0.25,after_reproduction,0.0,0.0,59010.0,5.85826e-266,1.53079e-131,1000.0
0.266667,0.3,0.283333,after_reproduction,0.0,0.0,70680.0,2.11197e-198,9.19124e-98,1000.0
0.3,0.333333,0.316667,after_reproduction,0.0,0.0,64830.0,1.70067e-140,8.24783e-69,1000.0
0.333333,0.366667,0.35,after_reproduction,0.0,0.0,69600.0,3.05887e-92,1.10614e-44,1000.0
0.366667,0.4,0.383333,after_reproduction,0.0,0.0,63240.0,1.2289e-53,2.21711e-25,1000.0
0.4,0.433333,0.416667,after_reproduction,0.0,0.0,63900.0,1.10276e-24,6.64157e-11,1000.0
0.433333,0.466667,0.45,after_reproduction,0.0,0.0,57420.0,2.21001e-05,0.2973,999.851
0.466667,0.5,0.483333,after_reproduction,24000.0,21450.0,46650.0,9039.06,1817.31,91.3433
0.5,0.533333,0.516667,after_reproduction,30930.0,22890.0,45600.0,9039.06,1817.31,91.3433
0.533333,0.566667,0.55,after_reproduction,0.0,0.0,60990.0,2.21001e-05,0.2973,999.851
0.566667,0.6,0.583333,after_reproduction,0.0,0.0,63210.0,1.10276e-24,6.64157e-11,1000.0
0.6,0.633333,0.616667,after_reproduction,0.0,0.0,68850.0,1.2289e-53,2.21711e-25,1000.0
0.633333,0.666667,0.65,after_reproduction,0.0,0.0,60900.0,3.05887e-92,1.10614e-44,1000.0
0.666667,0.7,0.683333,after_reproduction,0.0,0.0,58620.0,1.70067e-140,8.24783e-69,1000.0
0.7,0.733333,0.716667,after_reproduction,0.0,0.0,62220.0,2.11197e-198,9.19124e-98,1000.0
