x1, x2, x_midpoint,time_point,n_dd, n_dwt, n_wtwt, exp_n_dd, exp_n_dwt, exp_n_wt
0.0,0.1,0.05,after_dispersal,0.0,0.0,24340.0,0.0,0.0,30000.0
0.1,0.2,0.15,after_dispersal,0.0,0.0,22320.0,3.9404e-262,0.0,30000.0
0.2,0.3,0.25,after_dispersal,0.0,0.0,23830.0,7.65393e-132,0.0,30000.0
0.3,0.4,0.35,after_dispersal,0.0,0.0,21940.0,5.53071e-45,0.0,30000.0
0.4,0.5,0.45,after_dispersal,5040.0,0.0,24750.0,0.148672,0.0,30000.0
0.5,0.6,0.55,after_dispersal,4960.0,0.0,24790.0,0.148672,0.0,30000.0
0.6,0.7,0.65,after_dispersal,0.0,0.0,26170.0,5.53071e-45,0.0,30000.0
0.7,0.8,0.75,after_dispersal,0.0,0.0,24520.0,7.65393e-132,0.0,30000.0
0.8,0.9,0.85,after_dispersal,0.0,0.0,25310.0,3.9404e-262,0.0,30000.0
0.9,1.0,0.95,after_dispersal,0.0,0.0,23840.0,0.0,0.0,30000.0
0.0,0.1,0.05,after_reproduction,0.0,0.0,61570.0,0.0,0.0,30000.0
0.1,0.2,0.15,after_reproduction,0.0,0.0,57080.0,0.0,7.88079e-262,30000.0
0.2,0.3,0.25,after_reproduction,0.0,0.0,60190.0,1.95275e-267,1.53079e-131,30000.0
0.3,0.4,0.35,after_reproduction,0.0,0.0,56150.0,1.01962e-93,1.10614e-44,30000.0
0.4,0.5,0.45,after_reproduction,8590.0,7600.0,57670.0,7.36775e-07,0.297342,29999.9
0.5,0.6,0.55,after_reproduction,8970.0,6940.0,59420.0,7.36775e-07,0.297342,29999.9
0.6,0.7,0.65,after_reproduction,0.0,0.0,67090.0,1.01962e-93,1.10614e-44,30000.0
0.7,0.8,0.75,after_reproduction,0.0,0.0,61480.0,1.95275e-267,1.53079e-131,30000.0
0.8,0.9,0.85,after_reproduction,0.0,0.0,64710.0,0.0,7.88079e-262,30000.0
0.9,1.0,0.95,after_reproduction,0.0,0.0,61610.0,0.0,0.0,30000.0
0.0,0.1,0.05,after_viability,0.0,0.0,23310.0,0.0,0.0,30000.0
0.1,0.2,0.15,after_viability,0.0,0.0,21410.0,0.0,7.25033e-262,30000.0
0.2,0.3,0.25,after_viability,0.0,0.0,22690.0,2.42142e-267,1.40832e-131,30000.0
0.3,0.4,0.35,after_viability,0.0,0.0,21610.0,1.26433e-93,1.01765e-44,30000.0
0.4,0.5,0.45,after_viability,3080.0,4000.0,19800.0,9.13601e-07,0.273555,29999.9
0.5,0.6,0.55,after_viability,2790.0,4140.0,21670.0,9.13601e-07,0.273555,29999.9
0.6,0.7,0.65,after_viability,0.0,0.0,26300.0,1.26433e-93,1.01765e-44,30000.0
0.7,0.8,0.75,after_viability,0.0,0.0,22890.0,2.42142e-267,1.40832e-131,30000.0
0.8,0.9,0.85,after_viability,0.0,0.0,24350.0,0.0,7.25033e-262,30000.0
0.9,1.0,0.95,after_viability,0.0,0.0,23420.0,0.0,0.0,30000.0
