x1, x2, x_midpoint,time_point,n_dd, n_dwt, n_wtwt, exp_n_dd, exp_n_dwt, exp_n_wt
0.0,0.1,0.05,after_dispersal,0.0,0.0,25630.0,0.0,0.0,300000.0
0.1,0.2,0.15,after_dispersal,0.0,0.0,25330.0,3.9404e-262,0.0,300000.0
0.2,0.3,0.25,after_dispersal,0.0,0.0,21140.0,7.65393e-132,0.0,300000.0
0.3,0.4,0.35,after_dispersal,0.0,0.0,21970.0,5.53071e-45,0.0,300000.0
0.4,0.5,0.45,after_dispersal,4710.0,0.0,22880.0,0.148672,0.0,300000.0
0.5,0.6,0.55,after_dispersal,5290.0,0.0,22520.0,0.148672,0.0,300000.0
0.6,0.7,0.65,after_dispersal,0.0,0.0,23760.0,5.53071e-45,0.0,300000.0
0.7,0.8,0.75,after_dispersal,0.0,0.0,28220.0,7.65393e-132,0.0,300000.0
0.8,0.9,0.85,after_dispersal,0.0,0.0,24380.0,3.9404e-262,0.0,300000.0
0.9,1.0,0.95,after_dispersal,0.0,0.0,24750.0,0.0,0.0,300000.0
0.0,0.1,0.05,after_reproduction,0.0,0.0,64260.0,0.0,0.0,300000.0
0.1,0.2,0.15,after_reproduction,0.0,0.0,66690.0,0.0,7.88079e-262,300000.0
0.2,0.3,0.25,after_reproduction,0.0,0.0,54190.0,1.95275e-268,1.53079e-131,300000.0
0.3,0.4,0.35,after_reproduction,0.0,0.0,56320.0,1.01962e-94,1.10614e-44,300000.0
0.4,0.5,0.45,after_reproduction,8270.0,5950.0,55950.0,7.36778e-08,0.297344,300000.0
0.5,0.6,0.55,after_reproduction,10210.0,7330.0,53950.0,7.36778e-08,0.297344,300000.0
0.6,0.7,0.65,after_reproduction,0.0,0.0,60090.0,1.01962e-94,1.10614e-44,300000.0
0.7,0.8,0.75,after_reproduction,0.0,0.0,70180.0,1.95275e-268,1.53079e-131,300000.0
0.8,0.9,0.85,after_reproduction,0.0,0.0,62570.0,0.0,7.88079e-262,300000.0
0.9,1.0,0.95,after_reproduction,0.0,0.0,62420.0,0.0,0.0,300000.0
0.0,0.1,0.05,after_viability,0.0,0.0,24200.0,0.0,0.0,300000.0
0.1,0.2,0.15,after_viability,0.0,0.0,25280.0,0.0,7.25033e-262,300000.0
0.2,0.3,0.25,after_viability,0.0,0.0,21140.0,2.42142e-268,1.40832e-131,300000.0
0.3,0.4,0.35,after_viability,0.0,0.0,20990.0,1.26433e-94,1.01765e-44,300000.0
0.4,0.5,0.45,after_viability,3150.0,3370.0,20770.0,9.13605e-08,0.273556,300000.0
0.5,0.6,0.55,after_viability,3370.0,3920.0,18920.0,9.13605e-08,0.273556,300000.0
0.6,0.7,0.65,after_viability,0.0,0.0,22830.0,1.26433e-94,1.01765e-44,300000.0
0.7,0.8,0.75,after_viability,0.0,0.0,26690.0,2.42142e-268,1.40832e-131,300000.0
0.8,0.9,0.85,after_viability,0.0,0.0,23750.0,0.0,7.25033e-262,300000.0
0.9,1.0,0.95,after_viability,0.0,0.0,23160.0,0.0,0.0,300000.0
