gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,24110,1000,0,24110,2000,0.0414766
1,24340,636,813,22891,2085,0.0428307
2,24212,610,941,22661,2161,0.0446266
3,24187,589,1032,22566,2210,0.0456857
4,24187,601,1050,22536,2252,0.0465539
5,24257,636,1067,22554,2339,0.0482129
6,24352,589,1199,22564,2377,0.048805
7,24055,637,1196,22222,2470,0.0513407
8,24247,658,1320,22269,2636,0.0543572
9,24205,652,1343,22210,2647,0.0546788
10,24095,742,1339,22014,2823,0.0585806
11,24070,721,1454,21895,2896,0.0601579
12,24295,833,1424,22038,3090,0.0635933
13,24339,946,1441,21952,3333,0.0684704
14,24265,1036,1517,21712,3589,0.0739543
15,24268,1144,1590,21534,3878,0.0798995
16,24415,1210,1530,21675,3950,0.0808929
17,24222,1263,1513,21446,4039,0.0833746
18,24378,1412,1597,21369,4421,0.090676
19,24319,1532,1564,21223,4628,0.0951519
20,24242,1665,1595,20982,4925,0.10158
21,24334,1797,1511,21026,5105,0.104894
22,24587,1922,1492,21173,5336,0.108513
23,24425,2134,1540,20751,5808,0.118895
24,24361,2487,1668,20206,6642,0.136324
25,24564,2773,1729,20062,7275,0.148083
26,24646,3168,1678,19800,8014,0.162582
27,24717,3546,1768,19403,8860,0.179229
28,24962,4077,1766,19119,9920,0.198702
29,25021,4809,1640,18572,11258,0.224971
30,25126,5393,1786,17947,12572,0.250179
31,25265,6028,1736,17501,13792,0.272947
32,25426,6918,1612,16896,15448,0.303784
33,25509,7522,1612,16375,16656,0.326473
34,25584,8137,1534,15913,17808,0.34803
35,25887,8990,1531,15366,19511,0.376849
36,25944,9678,1440,14826,20796,0.400786
37,26232,10485,1352,14395,22322,0.425473
38,26297,11247,1198,13852,23692,0.45047
39,26313,11805,1137,13371,24747,0.470243
40,26610,12480,1143,12987,26103,0.490474
41,26642,13049,1089,12504,27187,0.510228
42,26928,13362,1032,12534,27756,0.515374
43,26710,13611,1014,12085,28236,0.528566
44,26779,14189,960,11630,29338,0.54778
45,26998,14712,883,11403,30307,0.561282
46,26766,14717,871,11178,30305,0.56611
47,27115,15196,847,11072,31239,0.576046
48,27097,15501,865,10731,31867,0.588017
49,27042,15583,776,10683,31942,0.5906
50,27241,15746,771,10724,32263,0.592177
51,27234,15867,745,10622,32479,0.596295
52,27241,16012,746,10483,32770,0.601483
53,27309,16261,738,10310,33260,0.608957
54,27248,16194,737,10317,33125,0.607843
55,27340,16564,778,9998,33906,0.62008
56,27202,16561,771,9870,33893,0.622987
57,27347,16756,793,9798,34305,0.627217
58,27188,16297,815,10076,33409,0.614407
59,27362,16379,819,10164,33577,0.61357
60,27195,16356,755,10084,33467,0.615315
61,27322,16553,782,9987,33888,0.62016
62,27476,16525,777,10174,33827,0.615574
63,27441,16682,775,9984,34139,0.622044
64,27355,16881,761,9713,34523,0.631018
65,27269,16965,786,9518,34716,0.636547
66,27605,17110,845,9650,35065,0.63512
67,27402,16770,853,9779,34393,0.627564
68,27583,17019,870,9694,34908,0.632781
69,27303,17173,872,9258,35218,0.644947
70,27461,17166,863,9432,35195,0.640818
71,27451,17188,877,9386,35253,0.642108
72,27396,17229,876,9291,35334,0.644875
73,27305,17270,836,9199,35376,0.647793
74,27420,17502,844,9074,35848,0.653683
75,27650,17921,910,8819,36752,0.664593
76,27430,17617,888,8925,36122,0.65844
77,27497,17747,926,8824,36420,0.662254
78,27558,17873,815,8870,36561,0.663346
79,27712,17980,820,8912,36780,0.663611
80,27676,18079,822,8775,36980,0.668088
81,27689,18245,819,8625,37309,0.673715
82,27718,18443,775,8500,37661,0.67936
83,27615,18270,803,8542,37343,0.676136
84,27696,18268,765,8663,37301,0.6734
85,27800,18564,788,8448,37916,0.681942
86,27862,18482,828,8552,37792,0.6782
87,27720,18514,798,8408,37826,0.682287
88,27689,18577,774,8338,37928,0.684893
89,27772,18848,784,8140,38480,0.692784
90,27715,18673,770,8272,38116,0.687642
91,27822,18589,780,8453,37958,0.682158
92,27665,18687,794,8184,38168,0.689825
93,27830,18777,889,8164,38443,0.690676
94,27714,18692,885,8137,38269,0.690427
95,27719,18741,806,8172,38288,0.690645
96,27908,18996,806,8106,38798,0.695105
97,27847,19015,814,8018,38844,0.697454
98,27970,19320,809,7841,39449,0.705202
99,27912,19409,822,7681,39640,0.710089
100,27884,19640,755,7489,40035,0.717885
101,27965,19701,832,7432,40234,0.719363
102,28088,19979,874,7235,40832,0.726858
103,27945,20007,807,7131,40821,0.730381
104,27857,19937,860,7060,40734,0.731127
105,27891,19904,924,7063,40732,0.7302
106,27889,20199,812,6878,41210,0.738822
107,27945,20173,796,6976,41142,0.736125
108,28027,20216,869,6942,41301,0.736807
109,28027,20177,903,6947,41257,0.736022
110,27994,20345,855,6794,41545,0.742034
111,28176,20842,795,6539,42479,0.753815
112,28245,20784,840,6621,42408,0.750717
113,28130,20590,851,6689,42031,0.747085
114,28145,20650,826,6669,42126,0.748374
115,28120,20641,816,6663,42098,0.748542
116,28150,20973,800,6377,42746,0.759254
117,28085,20959,845,6281,42763,0.761314
118,28050,21125,837,6088,43087,0.768039
119,28383,21250,778,6355,43278,0.762393
120,28421,21397,845,6179,43639,0.767725
121,28337,21195,871,6271,43261,0.763331
122,28224,21155,868,6201,43178,0.764916
123,28176,21176,846,6154,43198,0.766574
124,27987,21089,813,6085,42991,0.768053
125,28389,21387,827,6175,43601,0.767921
126,28253,21432,853,5968,43717,0.77367
127,28240,21380,881,5979,43641,0.772681
128,28485,21597,804,6084,43998,0.772301
129,28266,21550,817,5899,43917,0.776852
130,28299,21675,822,5802,44172,0.780452
131,28412,21766,791,5855,44323,0.780005
132,28382,21767,828,5787,44362,0.781516
133,28368,22057,809,5502,44923,0.79179
134,28362,22205,806,5351,45216,0.797123
135,28437,22158,838,5441,45154,0.79393
136,28344,22064,870,5410,44998,0.793784
137,28498,22407,845,5246,45659,0.801091
138,28277,22239,866,5172,45344,0.801782
139,28357,22407,862,5088,45676,0.805374
140,28478,22408,882,5188,45698,0.802339
141,28505,22545,910,5050,46000,0.806876
142,28522,22670,887,4965,46227,0.810374
143,28399,22512,855,5032,45879,0.807757
144,28421,22628,899,4894,46155,0.811988
145,28439,22710,847,4882,46267,0.813443
146,28506,22948,846,4712,46742,0.819862
147,28603,23066,897,4640,47029,0.822099
148,28679,23273,888,4518,47434,0.826981
149,28485,23142,928,4415,47212,0.828717
150,28743,23443,874,4426,47760,0.830811
151,28654,23418,810,4426,47646,0.831402
152,28689,23441,910,4338,47792,0.832932
153,28669,23509,866,4294,47884,0.835118
154,28643,23675,865,4103,48215,0.841654
155,28834,24004,799,4031,48807,0.846345
156,28906,24200,746,3960,49146,0.8501
157,28648,23935,771,3942,48641,0.848942
158,28891,24209,811,3871,49229,0.851978
159,28978,24329,847,3802,49505,0.854182
160,28970,24445,777,3748,49667,0.857214
161,28841,24230,736,3875,49196,0.852883
162,29025,24423,776,3826,49622,0.854815
163,29015,24462,814,3739,49738,0.857108
164,28863,24312,837,3714,49461,0.856824
165,28794,24454,783,3557,49691,0.862871
166,28701,24384,792,3525,49560,0.863385
167,28922,24829,852,3241,50510,0.873211
168,28866,24828,835,3203,50491,0.874576
169,28879,24921,806,3152,50648,0.8769
170,29008,24992,892,3124,50876,0.876931
171,28920,24934,886,3100,50754,0.87749
172,28911,25096,812,3003,51004,0.882086
173,29026,25275,832,2919,51382,0.885103
174,28843,24992,860,2991,50844,0.881392
175,28950,24958,944,3048,50860,0.878411
176,28982,25110,958,2914,51178,0.882927
177,28999,25404,964,2631,51772,0.892651
178,29240,25742,970,2528,52454,0.896956
179,29086,25680,1012,2394,52372,0.900296
180,29053,25583,1007,2463,52173,0.897894
181,29059,25580,1020,2459,52180,0.897829
182,29201,25826,1031,2344,52683,0.902075
183,29090,25891,1000,2199,52782,0.907219
184,29011,26008,969,2034,52985,0.913188
185,29195,26147,975,2073,53269,0.912297
186,29041,25976,910,2155,52862,0.910127
187,29041,26034,954,2053,53022,0.912882
188,29139,26274,878,1987,53426,0.916744
189,29152,26427,889,1836,53743,0.921772
190,29180,26481,977,1722,53939,0.924246
191,29183,26606,889,1688,54101,0.926927
192,29244,26672,925,1647,54269,0.927866
193,29373,26893,918,1562,54704,0.931195
194,29468,27141,923,1404,55205,0.936694
195,29297,27025,875,1397,54925,0.937383
196,29396,27173,921,1302,55267,0.940043
197,29248,27045,910,1293,55000,0.940235
198,29318,27100,883,1335,55083,0.939406
199,29290,27115,899,1276,55129,0.941089
200,29509,27409,943,1157,55761,0.944813
201,29388,27384,915,1089,55683,0.947376
202,29578,27643,895,1040,56181,0.949709
203,29506,27675,887,944,56237,0.952976
204,29527,27701,920,906,56322,0.953737
205,29715,28021,857,837,56899,0.957412
206,29407,27741,872,794,56354,0.958173
207,29569,28014,912,643,56940,0.962833
208,29615,28157,882,576,57196,0.965659
209,29495,28191,825,479,57207,0.969775
210,29406,28201,776,429,57178,0.972217
211,29603,28476,781,346,57733,0.975121
212,29725,28596,853,276,58045,0.976367
213,29843,28846,764,233,58456,0.979392
214,29809,28918,707,184,58543,0.981969
215,29615,28759,712,144,58230,0.983117
216,29555,28821,627,107,58269,0.985772
217,29703,29092,549,62,58733,0.988671
218,29798,29279,471,48,59029,0.990486
219,29881,29475,373,33,59323,0.992654
220,29966,29638,309,19,59585,0.99421
221,29626,29375,235,16,58985,0.995494
222,29830,29632,197,1,59461,0.996664
223,30091,29937,151,3,60025,0.997391
224,29962,29832,128,2,59792,0.997797
225,30018,29906,112,0,59924,0.998134
226,30003,29909,94,0,59912,0.998433
227,29991,29922,69,0,59913,0.99885
228,30038,29982,56,0,60020,0.999068
