gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,18224,100,0,18224,200,0.00548727
1,18572,20,144,18408,184,0.00495369
2,18074,13,145,17916,171,0.00473055
3,17953,2,156,17795,160,0.00445608
4,18066,7,139,17920,153,0.00423447
5,18098,5,110,17983,120,0.00331528
6,18277,1,96,18180,98,0.00268097
7,18287,2,82,18203,86,0.0023514
8,18242,3,75,18164,81,0.00222015
9,18172,0,73,18099,73,0.00200858
10,18653,2,72,18579,76,0.00203721
11,18452,2,82,18368,86,0.00233037
12,18304,2,80,18222,84,0.00229458
13,18503,1,94,18408,96,0.00259417
14,18442,0,83,18359,83,0.0022503
15,18470,5,75,18390,85,0.00230103
16,18222,3,75,18144,81,0.00222259
17,18336,0,81,18255,81,0.00220877
18,18403,1,64,18338,66,0.00179319
19,18760,2,50,18708,54,0.00143923
20,18508,2,55,18451,59,0.00159391
21,18214,0,50,18164,50,0.00137257
22,18778,0,48,18730,48,0.00127809
23,18826,0,33,18793,33,0.000876447
24,18864,0,18,18846,18,0.000477099
25,18791,0,14,18777,14,0.000372519
26,18865,0,8,18857,8,0.000212033
27,18549,0,6,18543,6,0.000161734
28,18481,0,6,18475,6,0.000162329
29,18262,0,7,18255,7,0.000191655
30,18172,0,8,18164,8,0.000220119
31,18280,0,13,18267,13,0.00035558
32,18304,0,14,18290,14,0.00038243
33,18077,0,9,18068,9,0.000248935
34,18490,0,14,18476,14,0.000378583
35,18269,0,16,18253,16,0.0004379
36,18040,0,14,18026,14,0.000388027
37,18265,0,14,18251,14,0.000383247
38,18774,0,12,18762,12,0.000319591
39,18277,0,9,18268,9,0.000246211
40,18222,0,7,18215,7,0.000192076
41,18504,0,9,18495,9,0.000243191
42,18528,0,5,18523,5,0.000134931
43,18747,0,2,18745,2,5.33419e-05
44,18616,0,2,18614,2,5.37172e-05
45,18564,0,0,18564,0,0.0
46,18565,0,0,18565,0,0.0
47,18497,0,0,18497,0,0.0
