gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,30056,1000,0,30056,2000,0.0332712
1,29913,463,1065,28385,1991,0.0332798
2,29938,343,1268,28327,1954,0.0326341
3,29831,365,1321,28145,2051,0.034377
4,29704,312,1414,27978,2038,0.0343051
5,29921,290,1431,28200,2011,0.0336052
6,30114,296,1499,28319,2091,0.0347181
7,30119,314,1500,28305,2128,0.0353265
8,30180,261,1463,28456,1985,0.032886
9,30032,256,1502,28274,2014,0.0335309
10,30020,241,1525,28254,2007,0.0334277
11,29979,202,1663,28114,2067,0.0344741
12,29968,196,1571,28201,1963,0.0327516
13,29932,202,1468,28262,1872,0.0312709
14,29884,199,1428,28257,1826,0.0305515
15,30105,158,1541,28406,1857,0.0308421
16,30065,163,1447,28455,1773,0.0294861
17,29989,136,1448,28405,1720,0.0286772
18,30036,151,1310,28575,1612,0.0268345
19,30005,123,1340,28542,1586,0.0264289
20,29948,116,1361,28471,1593,0.0265961
21,29899,118,1312,28469,1548,0.0258872
22,30089,120,1370,28599,1610,0.026754
23,29989,115,1396,28478,1626,0.0271099
24,29941,96,1356,28489,1548,0.0258508
25,30049,94,1338,28617,1526,0.0253919
26,30003,123,1321,28559,1567,0.0261141
27,29863,136,1413,28314,1685,0.0282122
28,30057,142,1410,28505,1694,0.0281798
29,30037,125,1358,28554,1608,0.026767
30,29970,100,1318,28552,1518,0.0253253
31,29998,97,1361,28540,1555,0.0259184
32,29881,83,1394,28404,1560,0.0261035
33,29926,87,1366,28473,1540,0.0257301
34,29975,103,1331,28541,1537,0.025638
35,30051,84,1377,28590,1545,0.0257063
36,29840,82,1424,28334,1588,0.0266086
37,30146,125,1431,28590,1681,0.027881
38,29803,122,1407,28274,1651,0.0276986
39,30145,78,1440,28627,1596,0.0264721
40,29922,86,1453,28383,1625,0.0271539
41,30100,72,1426,28602,1570,0.0260797
42,30248,99,1313,28836,1511,0.0249769
43,30055,95,1367,28593,1557,0.0259025
44,30005,91,1394,28520,1576,0.0262623
45,30109,87,1379,28643,1553,0.0257896
46,30141,79,1363,28699,1521,0.0252314
47,30064,86,1307,28671,1479,0.0245975
48,29965,83,1316,28566,1482,0.0247289
49,29983,90,1392,28501,1572,0.0262149
50,30109,57,1378,28674,1492,0.0247766
51,29779,67,1358,28354,1492,0.0250512
52,29869,96,1299,28474,1491,0.024959
53,30124,99,1299,28726,1497,0.0248473
54,29966,78,1348,28540,1504,0.0250951
55,29899,70,1375,28454,1515,0.0253353
56,29748,94,1360,28294,1548,0.0260186
57,29966,91,1346,28529,1528,0.0254956
58,29813,69,1370,28374,1508,0.025291
59,29967,71,1379,28517,1521,0.0253779
60,30070,67,1407,28596,1541,0.0256235
61,29942,64,1359,28519,1487,0.0248313
62,29963,79,1292,28592,1450,0.0241965
63,29938,54,1347,28537,1455,0.0243002
64,30042,73,1274,28695,1420,0.0236336
65,29828,65,1323,28440,1453,0.0243563
66,30021,74,1328,28619,1476,0.0245828
67,30004,65,1235,28704,1365,0.022747
68,30102,54,1257,28791,1365,0.0226729
69,29926,49,1170,28707,1268,0.0211856
70,30040,53,1202,28785,1308,0.021771
71,30071,44,1188,28839,1276,0.0212165
72,30044,45,1215,28784,1305,0.0217181
73,29949,51,1162,28736,1264,0.0211025
74,29906,58,1281,28567,1397,0.0233565
75,30110,63,1289,28758,1415,0.0234972
76,29964,51,1345,28568,1447,0.0241456
77,30089,44,1401,28644,1489,0.0247433
78,29858,68,1324,28466,1460,0.0244491
79,30130,61,1325,28744,1447,0.0240126
80,30204,60,1324,28820,1444,0.0239041
81,29851,56,1192,28603,1304,0.0218418
82,29996,66,1198,28732,1330,0.0221696
83,30053,45,1253,28755,1343,0.0223439
84,30189,64,1217,28908,1345,0.0222763
85,30031,53,1291,28687,1397,0.0232593
86,30108,59,1275,28774,1393,0.0231334
87,29938,74,1363,28501,1511,0.0252355
88,30059,99,1305,28655,1503,0.0250008
89,30228,78,1386,28764,1542,0.0255062
90,29834,69,1320,28445,1458,0.0244352
91,30062,68,1332,28662,1468,0.0244162
92,29934,62,1251,28621,1375,0.0229672
93,30048,68,1234,28746,1370,0.0227969
94,30026,55,1265,28706,1375,0.0228968
95,30023,43,1232,28748,1318,0.0219498
96,30126,64,1195,28867,1323,0.0219578
97,30155,52,1249,28854,1353,0.0224341
98,29906,55,1174,28677,1284,0.0214673
99,30262,55,1239,28968,1349,0.0222887
100,30027,58,1293,28676,1409,0.0234622
101,29945,73,1301,28571,1447,0.024161
102,30099,61,1327,28711,1449,0.0240706
103,30054,59,1365,28630,1483,0.0246723
104,29839,61,1445,28333,1567,0.0262576
105,29885,70,1363,28452,1503,0.0251464
106,29899,73,1383,28443,1529,0.0255694
107,30082,58,1405,28619,1521,0.0252809
108,29935,75,1340,28520,1490,0.0248873
109,29947,48,1407,28492,1503,0.0250943
110,30043,58,1435,28550,1551,0.025813
111,30049,71,1442,28536,1584,0.026357
112,30237,70,1515,28652,1655,0.0273671
113,30172,90,1521,28561,1701,0.0281884
114,29960,86,1568,28306,1740,0.0290387
115,30006,101,1577,28328,1779,0.0296441
116,30081,92,1620,28369,1804,0.0299857
117,30040,108,1634,28298,1850,0.0307923
118,30147,87,1673,28387,1847,0.0306332
119,30021,85,1627,28309,1797,0.029929
120,30013,72,1608,28333,1752,0.0291874
121,30103,97,1527,28479,1721,0.0285852
122,29856,87,1625,28144,1799,0.0301279
123,30084,83,1702,28299,1868,0.0310464
124,29932,91,1682,28159,1864,0.0311372
125,30016,88,1640,28288,1816,0.0302505
126,30170,87,1732,28351,1906,0.0315877
127,30075,99,1696,28280,1894,0.0314879
128,29869,107,1609,28153,1823,0.0305166
129,30041,92,1670,28279,1854,0.0308578
130,29815,91,1525,28199,1707,0.0286265
131,29959,97,1608,28254,1802,0.0300744
132,29917,122,1690,28105,1934,0.0323228
133,30114,98,1780,28236,1976,0.0328087
134,30068,102,1778,28188,1982,0.0329586
135,30151,114,1751,28286,1979,0.0328181
136,30022,93,1760,28169,1946,0.0324096
137,29913,90,1660,28163,1840,0.0307559
138,29990,81,1686,28223,1848,0.0308103
139,30054,73,1656,28325,1802,0.0299794
140,30081,101,1677,28303,1879,0.0312323
141,30083,104,1684,28295,1892,0.0314463
142,29854,70,1594,28190,1734,0.0290413
143,30097,54,1606,28437,1714,0.0284746
144,30000,60,1530,28410,1650,0.0275
145,29961,66,1514,28381,1646,0.027469
146,30052,71,1519,28462,1661,0.0276354
147,30057,65,1546,28446,1676,0.0278804
148,29901,60,1595,28246,1715,0.028678
149,30013,61,1553,28399,1675,0.0279046
150,29957,62,1654,28241,1778,0.0296759
151,30240,74,1651,28515,1799,0.0297454
152,29934,102,1630,28202,1834,0.0306341
153,29999,73,1700,28226,1846,0.0307677
154,30009,50,1594,28365,1694,0.0282249
155,29858,60,1595,28203,1715,0.0287193
156,29987,63,1686,28238,1812,0.0302131
157,30006,71,1666,28269,1808,0.0301273
158,29947,66,1763,28118,1895,0.0316392
159,29966,58,1742,28166,1858,0.0310018
160,30123,72,1692,28359,1836,0.0304751
161,29888,52,1722,28114,1826,0.0305474
162,29879,56,1626,28197,1738,0.029084
163,30164,62,1657,28445,1781,0.0295219
164,30049,59,1588,28402,1706,0.028387
165,29985,53,1589,28343,1695,0.0282641
166,30135,46,1632,28457,1724,0.0286046
167,29916,36,1543,28337,1615,0.0269922
168,29876,39,1506,28331,1584,0.0265096
169,30215,50,1504,28661,1604,0.0265431
170,30126,44,1420,28662,1508,0.0250282
171,29789,31,1476,28282,1538,0.0258149
172,30094,34,1410,28650,1478,0.0245564
173,30001,30,1428,28543,1488,0.0247992
174,29907,48,1348,28511,1444,0.0241415
175,30031,31,1353,28647,1415,0.023559
176,29999,36,1325,28638,1397,0.0232841
177,29814,34,1357,28423,1425,0.0238982
178,29961,28,1336,28597,1392,0.0232302
179,30084,51,1381,28652,1483,0.0246477
180,30281,30,1480,28771,1540,0.0254285
181,30020,36,1378,28606,1450,0.0241506
182,30146,38,1371,28737,1447,0.0239999
183,29885,32,1391,28462,1455,0.0243433
184,29979,32,1445,28502,1509,0.0251676
185,29931,42,1356,28533,1440,0.0240553
186,29929,36,1408,28485,1480,0.0247252
187,30052,30,1454,28568,1514,0.0251897
188,29827,28,1353,28446,1409,0.0236195
189,29844,34,1305,28505,1373,0.0230029
190,30174,29,1389,28756,1447,0.0239776
191,30087,36,1413,28638,1485,0.0246784
192,30205,31,1414,28760,1476,0.024433
193,29909,30,1378,28501,1438,0.0240396
194,30133,23,1395,28715,1441,0.0239107
195,30091,41,1437,28613,1519,0.0252401
196,29977,15,1472,28490,1502,0.0250525
197,29975,35,1409,28531,1479,0.0246706
198,30000,26,1406,28568,1458,0.0243
199,30121,35,1422,28664,1492,0.0247668
200,30056,31,1436,28589,1498,0.0249201
201,29981,33,1386,28562,1452,0.0242153
202,29922,21,1388,28513,1430,0.0238955
203,30029,27,1355,28647,1409,0.0234607
204,29793,35,1365,28393,1435,0.0240828
205,29910,27,1391,28492,1445,0.0241558
206,29986,31,1357,28598,1419,0.023661
207,30021,23,1350,28648,1396,0.0232504
208,29993,26,1386,28581,1438,0.0239723
209,29875,36,1356,28483,1428,0.0238996
210,29849,29,1326,28494,1384,0.0231834
211,30276,26,1290,28960,1342,0.0221628
212,29876,38,1245,28593,1321,0.022108
213,29997,28,1257,28712,1313,0.0218855
214,30010,18,1238,28754,1274,0.0212263
215,29976,33,1201,28742,1267,0.0211336
216,30173,23,1220,28930,1266,0.020979
217,29805,19,1243,28543,1281,0.0214897
218,29964,28,1208,28728,1264,0.021092
219,30067,20,1198,28849,1238,0.0205874
220,30019,19,1188,28812,1226,0.0204204
221,29791,30,1140,28621,1200,0.0201403
222,29929,22,1124,28783,1168,0.0195128
223,29974,30,1128,28816,1188,0.0198172
224,29738,23,1076,28639,1122,0.0188648
225,29973,21,1120,28832,1162,0.0193841
226,29970,20,1157,28793,1197,0.01997
227,29937,23,1236,28678,1282,0.0214116
228,30084,26,1224,28834,1276,0.0212073
229,29890,30,1161,28699,1221,0.0204249
230,30191,17,1223,28951,1257,0.0208175
231,29774,23,1238,28513,1284,0.0215624
232,29994,30,1162,28802,1222,0.0203707
233,30004,29,1235,28740,1293,0.0215471
234,29797,22,1246,28529,1290,0.0216465
235,29908,20,1162,28726,1202,0.020095
236,29892,19,1194,28679,1232,0.0206075
237,29943,14,1218,28711,1246,0.0208062
238,30013,26,1188,28799,1240,0.0206577
239,29921,18,1221,28682,1257,0.0210053
240,29921,16,1277,28628,1309,0.0218743
241,29946,36,1280,28630,1352,0.022574
242,29931,24,1317,28590,1365,0.0228024
243,30134,25,1381,28728,1431,0.0237439
244,30009,37,1299,28673,1373,0.0228765
245,29901,27,1300,28574,1354,0.0226414
246,29927,30,1328,28569,1388,0.0231898
247,29772,25,1359,28388,1409,0.0236632
248,30184,23,1412,28749,1458,0.0241519
249,30136,42,1407,28687,1491,0.0247379
250,29836,37,1456,28343,1530,0.0256402
251,30068,24,1508,28536,1556,0.0258747
252,30079,30,1489,28560,1549,0.0257489
253,29998,22,1460,28516,1504,0.0250683
254,30125,22,1552,28551,1596,0.0264896
255,29931,29,1567,28335,1625,0.0271458
256,30012,36,1570,28406,1642,0.0273557
257,29900,37,1623,28240,1697,0.0283779
258,29969,37,1675,28257,1749,0.0291802
259,29978,46,1606,28326,1698,0.0283208
260,29905,43,1604,28258,1690,0.0282561
261,29768,34,1540,28194,1608,0.0270089
262,30041,31,1471,28539,1533,0.0255151
263,29969,20,1513,28436,1553,0.0259101
264,29945,38,1469,28438,1545,0.0257973
265,30033,23,1536,28474,1582,0.0263377
266,29965,29,1504,28432,1562,0.0260637
267,30040,41,1531,28468,1613,0.0268475
268,30168,41,1561,28566,1643,0.0272308
269,29945,35,1698,28212,1768,0.0295208
270,30035,46,1702,28287,1794,0.0298652
271,29945,48,1677,28220,1773,0.0296043
272,29944,49,1626,28269,1724,0.0287871
273,29992,47,1665,28280,1759,0.0293245
274,29982,42,1695,28245,1779,0.0296678
275,30001,42,1727,28232,1811,0.0301823
276,29790,54,1735,28001,1843,0.0309332
277,30180,42,1799,28339,1883,0.0311962
278,30053,46,1644,28363,1736,0.0288823
279,29981,30,1610,28341,1670,0.027851
280,29978,55,1564,28359,1674,0.0279205
281,30113,36,1493,28584,1565,0.0259855
282,30039,36,1522,28481,1594,0.0265322
283,29993,33,1558,28402,1624,0.027073
284,30158,34,1526,28598,1594,0.0264275
285,29861,36,1526,28299,1598,0.0267573
286,30119,24,1480,28615,1528,0.025366
287,30084,27,1424,28633,1478,0.0245646
288,29970,18,1451,28501,1487,0.0248081
289,29938,34,1470,28434,1538,0.0256864
290,30036,24,1409,28603,1457,0.0242542
291,30025,20,1376,28629,1416,0.0235803
292,30097,26,1331,28740,1383,0.0229757
293,29895,19,1380,28496,1418,0.0237163
294,30007,29,1382,28596,1440,0.0239944
295,29984,22,1402,28560,1446,0.0241129
296,30044,31,1370,28643,1432,0.0238317
297,29952,24,1445,28483,1493,0.0249232
298,29876,24,1468,28384,1516,0.0253715
299,29856,31,1451,28374,1513,0.0253383
300,29910,23,1450,28437,1496,0.0250084
301,29831,33,1427,28371,1493,0.0250243
302,29997,42,1440,28515,1524,0.0254025
303,29891,35,1437,28419,1507,0.0252083
304,29901,26,1465,28410,1517,0.025367
305,29890,20,1494,28376,1534,0.0256608
306,30207,32,1497,28678,1561,0.0258384
307,29947,34,1494,28419,1562,0.0260794
308,29867,50,1494,28323,1594,0.026685
309,30097,43,1529,28525,1615,0.0268299
310,30007,29,1604,28374,1662,0.0276935
311,29841,42,1681,28118,1765,0.0295734
312,30105,42,1653,28410,1737,0.028849
313,29761,32,1633,28096,1697,0.0285105
314,29872,34,1530,28308,1598,0.0267475
315,30069,26,1529,28514,1581,0.0262895
316,30120,24,1525,28571,1573,0.0261122
317,29999,38,1489,28472,1565,0.0260842
318,29966,35,1512,28419,1582,0.0263966
319,29893,27,1536,28330,1590,0.0265949
320,29942,45,1496,28401,1586,0.0264845
321,29923,38,1558,28327,1634,0.0273034
322,29904,39,1562,28303,1640,0.0274211
323,30046,30,1524,28492,1584,0.0263596
324,29839,32,1498,28309,1562,0.0261738
325,30110,30,1472,28608,1532,0.0254401
326,29987,42,1484,28461,1568,0.0261447
327,30025,44,1467,28514,1555,0.0258951
328,30168,26,1576,28566,1628,0.0269822
329,30238,44,1550,28644,1638,0.0270851
330,30099,31,1594,28474,1656,0.0275092
331,30027,34,1713,28280,1781,0.0296566
332,29925,37,1712,28176,1786,0.0298413
333,29939,51,1800,28088,1902,0.0317646
334,30014,49,1773,28192,1871,0.0311688
335,30002,38,1752,28212,1828,0.0304646
336,30175,41,1787,28347,1869,0.0309693
337,30051,31,1809,28211,1871,0.0311304
338,29903,44,1894,27965,1982,0.0331405
339,30007,44,1983,27980,2071,0.0345086
340,29951,58,1882,28011,1998,0.0333545
341,30030,39,1966,28025,2044,0.0340326
342,29922,45,1988,27889,2078,0.0347236
343,30000,48,1969,27983,2065,0.0344167
344,29938,43,1858,28037,1944,0.0324671
345,30078,43,1912,28123,1998,0.0332136
346,29795,43,1936,27816,2022,0.0339319
347,30044,55,1818,28171,1928,0.0320863
348,30000,38,1800,28162,1876,0.0312667
349,29883,34,1824,28025,1892,0.0316568
350,30162,52,1873,28237,1977,0.032773
351,30006,38,1844,28124,1920,0.0319936
352,30219,27,1789,28403,1843,0.0304941
353,29967,33,1754,28180,1820,0.0303667
354,30027,33,1773,28221,1839,0.0306224
355,30125,38,1687,28400,1763,0.0292614
356,29824,48,1724,28052,1820,0.0305123
357,30001,40,1702,28259,1782,0.029699
358,29988,44,1671,28273,1759,0.0293284
359,30016,48,1637,28331,1733,0.0288679
360,29731,34,1565,28132,1633,0.0274629
361,30040,39,1564,28437,1642,0.0273302
362,29936,24,1593,28319,1641,0.0274085
363,30059,37,1610,28412,1684,0.0280116
364,29975,36,1598,28341,1670,0.0278565
