gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,18636,100,0,18636,200,0.00536596
1,19026,10,220,18796,240,0.00630716
2,19254,22,171,19061,215,0.00558326
3,18802,20,200,18582,240,0.0063823
4,18951,8,189,18754,205,0.00540869
5,18399,5,166,18228,176,0.00478287
6,18577,1,142,18434,144,0.00387576
7,18646,5,123,18518,133,0.00356645
8,18715,2,119,18594,123,0.00328613
9,18617,2,121,18494,125,0.00335715
10,18690,4,109,18577,117,0.00313002
11,19021,0,87,18934,87,0.00228695
12,19091,0,70,19021,70,0.00183332
13,19182,0,62,19120,62,0.0016161
14,18684,0,43,18641,43,0.00115072
15,18689,0,50,18639,50,0.00133769
16,18280,1,39,18240,41,0.00112144
17,18725,0,39,18686,39,0.00104139
18,18306,0,34,18272,34,0.000928657
19,18193,0,32,18161,32,0.000879459
20,18580,0,29,18551,29,0.000780409
21,18383,1,21,18361,23,0.000625578
22,18309,0,24,18285,24,0.000655415
23,18201,0,34,18167,34,0.000934015
24,18133,0,28,18105,28,0.000772073
25,17966,0,35,17931,35,0.000974062
26,18253,0,28,18225,28,0.000766997
27,18429,0,23,18406,23,0.000624016
28,18091,0,26,18065,26,0.000718589
29,18517,0,31,18486,31,0.000837069
30,18938,0,25,18913,25,0.000660049
31,19095,0,22,19073,22,0.000576067
32,18580,0,12,18568,12,0.000322928
33,18524,0,10,18514,10,0.00026992
34,19032,0,15,19017,15,0.000394073
35,18593,0,15,18578,15,0.000403378
36,18366,0,9,18357,9,0.000245018
37,18528,0,7,18521,7,0.000188903
38,18378,0,16,18362,16,0.000435303
39,18403,0,10,18393,10,0.000271695
40,18733,0,5,18728,5,0.000133454
41,18836,0,6,18830,6,0.000159269
42,19103,0,4,19099,4,0.000104696
43,19047,0,3,19044,3,7.87526e-05
44,18651,0,7,18644,7,0.000187657
45,18440,0,11,18429,11,0.000298265
46,18524,0,12,18512,12,0.000323904
47,18652,0,14,18638,14,0.000375295
48,18451,0,15,18436,15,0.000406482
49,18387,0,12,18375,12,0.000326318
50,18638,0,6,18632,6,0.000160961
51,18592,0,7,18585,7,0.000188253
52,18029,0,10,18019,10,0.000277331
53,18495,0,10,18485,10,0.000270343
54,18669,0,10,18659,10,0.000267824
55,18806,0,16,18790,16,0.000425396
56,19019,0,19,19000,19,0.0004995
57,19075,0,24,19051,24,0.000629096
58,18899,1,19,18879,21,0.000555585
59,18793,0,15,18778,15,0.000399085
60,19031,0,11,19020,11,0.000289002
61,18798,0,14,18784,14,0.00037238
62,18588,0,19,18569,19,0.000511082
63,18648,0,22,18626,22,0.000589876
64,18145,0,21,18124,21,0.000578672
65,18013,0,11,18002,11,0.000305335
66,18601,0,12,18589,12,0.000322563
67,18633,0,13,18620,13,0.000348843
68,18720,0,10,18710,10,0.000267094
69,18926,0,18,18908,18,0.000475536
70,18835,0,13,18822,13,0.000345102
71,18861,0,9,18852,9,0.000238588
72,18333,0,9,18324,9,0.000245459
73,18195,0,10,18185,10,0.000274801
74,18815,0,9,18806,9,0.000239171
75,18624,0,8,18616,8,0.000214777
76,18311,0,17,18294,17,0.000464202
77,18268,0,14,18254,14,0.000383184
78,18238,0,15,18223,15,0.000411229
79,18386,0,9,18377,9,0.000244751
80,18449,0,6,18443,6,0.00016261
81,18864,0,7,18857,7,0.000185539
82,18696,0,9,18687,9,0.000240693
83,18751,0,6,18745,6,0.000159991
84,18864,0,5,18859,5,0.000132528
85,18820,0,6,18814,6,0.000159405
86,18621,0,1,18620,1,2.68514e-05
87,18711,0,0,18711,0,0.0
88,18508,0,0,18508,0,0.0
89,18751,0,0,18751,0,0.0
90,18554,0,0,18554,0,0.0
91,18788,0,0,18788,0,0.0
92,18673,0,0,18673,0,0.0
93,18967,0,0,18967,0,0.0
94,19164,0,0,19164,0,0.0
95,19246,0,0,19246,0,0.0
96,18787,0,0,18787,0,0.0
97,18729,0,0,18729,0,0.0
98,18694,0,0,18694,0,0.0
99,18763,0,0,18763,0,0.0
100,18869,0,0,18869,0,0.0
101,18707,0,0,18707,0,0.0
102,18688,0,0,18688,0,0.0
103,18676,0,0,18676,0,0.0
104,18789,0,0,18789,0,0.0
105,18546,0,0,18546,0,0.0
106,18479,0,0,18479,0,0.0
107,18623,0,0,18623,0,0.0
108,18737,0,0,18737,0,0.0
109,18767,0,0,18767,0,0.0
110,18984,0,0,18984,0,0.0
111,19018,0,0,19018,0,0.0
112,18619,0,0,18619,0,0.0
113,19049,0,0,19049,0,0.0
114,18639,0,0,18639,0,0.0
115,18666,0,0,18666,0,0.0
116,18546,0,0,18546,0,0.0
117,18470,0,0,18470,0,0.0
118,18550,0,0,18550,0,0.0
119,18661,0,0,18661,0,0.0
120,18678,0,0,18678,0,0.0
121,18882,0,0,18882,0,0.0
122,18752,0,0,18752,0,0.0
123,18496,0,0,18496,0,0.0
124,18765,0,0,18765,0,0.0
125,18822,0,0,18822,0,0.0
126,18437,0,0,18437,0,0.0
127,18425,0,0,18425,0,0.0
128,18427,0,0,18427,0,0.0
129,18363,0,0,18363,0,0.0
130,18427,0,0,18427,0,0.0
131,18686,0,0,18686,0,0.0
132,18657,0,0,18657,0,0.0
133,18483,0,0,18483,0,0.0
134,18515,0,0,18515,0,0.0
135,18478,0,0,18478,0,0.0
136,18511,0,0,18511,0,0.0
137,18454,0,0,18454,0,0.0
138,18504,0,0,18504,0,0.0
139,18743,0,0,18743,0,0.0
140,18555,0,0,18555,0,0.0
141,18660,0,0,18660,0,0.0
142,18734,0,0,18734,0,0.0
143,18660,0,0,18660,0,0.0
144,18658,0,0,18658,0,0.0
145,19158,0,0,19158,0,0.0
146,18938,0,0,18938,0,0.0
147,18561,0,0,18561,0,0.0
148,18938,0,0,18938,0,0.0
149,18488,0,0,18488,0,0.0
150,18747,0,0,18747,0,0.0
151,19125,0,0,19125,0,0.0
152,18997,0,0,18997,0,0.0
153,19125,0,0,19125,0,0.0
154,19141,0,0,19141,0,0.0
155,18718,0,0,18718,0,0.0
156,18513,0,0,18513,0,0.0
157,18789,0,0,18789,0,0.0
158,18751,0,0,18751,0,0.0
159,18540,0,0,18540,0,0.0
160,18505,0,0,18505,0,0.0
161,18578,0,0,18578,0,0.0
162,18604,0,0,18604,0,0.0
163,18377,0,0,18377,0,0.0
164,18697,0,0,18697,0,0.0
165,18669,0,0,18669,0,0.0
166,18494,0,0,18494,0,0.0
167,18403,0,0,18403,0,0.0
168,18733,0,0,18733,0,0.0
169,18589,0,0,18589,0,0.0
170,19001,0,0,19001,0,0.0
171,18831,0,0,18831,0,0.0
172,18713,0,0,18713,0,0.0
173,18700,0,0,18700,0,0.0
174,18623,0,0,18623,0,0.0
175,18611,0,0,18611,0,0.0
176,18895,0,0,18895,0,0.0
177,18859,0,0,18859,0,0.0
178,18869,0,0,18869,0,0.0
179,18718,0,0,18718,0,0.0
180,18262,0,0,18262,0,0.0
181,18666,0,0,18666,0,0.0
182,18486,0,0,18486,0,0.0
183,18610,0,0,18610,0,0.0
184,18392,0,0,18392,0,0.0
185,18685,0,0,18685,0,0.0
186,18388,0,0,18388,0,0.0
187,18491,0,0,18491,0,0.0
188,18370,0,0,18370,0,0.0
189,18645,0,0,18645,0,0.0
190,18571,0,0,18571,0,0.0
191,18597,0,0,18597,0,0.0
192,18434,0,0,18434,0,0.0
193,18987,0,0,18987,0,0.0
194,18684,0,0,18684,0,0.0
195,18650,0,0,18650,0,0.0
196,18333,0,0,18333,0,0.0
197,18622,0,0,18622,0,0.0
198,18406,0,0,18406,0,0.0
199,18631,0,0,18631,0,0.0
200,18494,0,0,18494,0,0.0
