gen, popsize, num_dd, num_dwt, num_wtwt, num_d_alleles, rate_d_alleles
0,24335,10000,0,24335,20000,0.410931
1,27730,4515,782,22433,9812,0.17692
2,26302,3309,677,22316,7295,0.138678
3,25849,3030,648,22171,6708,0.129754
4,25710,3023,719,21968,6765,0.131564
5,25384,2977,684,21723,6638,0.130752
6,25603,3062,787,21754,6911,0.134965
7,26144,3233,823,22088,7289,0.139401
8,25792,3354,810,21628,7518,0.145743
9,26051,3385,848,21818,7618,0.146213
10,25311,3428,931,20952,7787,0.153826
11,25838,3592,966,21280,8150,0.157713
12,25896,3720,1021,21155,8461,0.163365
13,25873,3807,1005,21061,8619,0.166564
14,26329,3996,975,21358,8967,0.170288
15,26372,4104,973,21295,9181,0.174067
16,26251,4328,959,20964,9615,0.183136
17,25920,4470,971,20479,9911,0.191184
18,25914,4594,1005,20315,10193,0.19667
19,26195,4773,1018,20404,10564,0.201642
20,26070,4839,1053,20178,10731,0.205811
21,25884,4953,1058,19873,10964,0.211791
22,26230,5202,1028,20000,11432,0.217918
23,26587,5414,1105,20068,11933,0.224414
24,26864,5808,1159,19897,12775,0.237772
25,26735,6006,1233,19496,13245,0.247709
26,26324,5965,1149,19210,13079,0.248423
27,26596,6324,1222,19050,13870,0.260753
28,26802,6283,1328,19191,13894,0.259197
29,26286,6252,1258,18776,13762,0.261774
30,26375,6327,1257,18791,13911,0.263716
31,26578,6533,1181,18864,14247,0.268022
32,26863,6799,1216,18848,14814,0.275732
33,27236,7085,1225,18926,15395,0.282622
34,27314,7452,1229,18633,16133,0.295325
35,27125,7615,1229,18281,16459,0.303392
36,27228,7854,1268,18106,16976,0.311738
37,26937,8095,1244,17598,17434,0.323607
38,27312,8367,1290,17655,18024,0.329965
39,27249,8403,1262,17584,18068,0.331535
40,27230,8315,1186,17729,17816,0.327139
41,27766,8808,1249,17709,18865,0.339714
42,27731,8766,1264,17701,18796,0.338899
43,28241,9199,1398,17644,19796,0.350483
44,28462,9500,1406,17556,20406,0.358478
45,28157,9664,1358,17135,20686,0.367333
46,28212,9685,1296,17231,20666,0.366263
47,28153,9549,1320,17284,20418,0.362626
48,27936,9702,1277,16957,20681,0.37015
49,28462,10033,1300,17129,21366,0.375343
50,28222,9903,1229,17090,21035,0.37267
51,28421,10042,1278,17101,21362,0.375814
52,28295,10061,1225,17009,21347,0.377222
53,28243,10207,1222,16814,21636,0.383033
54,28464,10572,1203,16689,22347,0.392548
55,28144,10468,1192,16484,22128,0.393121
56,28341,10696,1263,16382,22655,0.399686
57,27964,10573,1261,16130,22407,0.40064
58,28581,11117,1201,16263,23435,0.409975
59,28961,11321,1253,16387,23895,0.412538
60,29380,11781,1259,16340,24821,0.422413
61,28901,11540,1244,16117,24324,0.420816
62,28977,11965,1172,15840,25102,0.433137
63,29184,12221,1243,15720,25685,0.440053
64,29236,12270,1300,15666,25840,0.441921
65,29553,12581,1256,15716,26418,0.44696
66,29332,12744,1216,15372,26704,0.455203
67,29273,12867,1316,15090,27050,0.46203
68,29246,13046,1309,14891,27401,0.468457
69,29417,13329,1229,14859,27887,0.473995
70,29510,13296,1274,14940,27866,0.472145
71,29491,13421,1360,14710,28202,0.478146
72,29430,13510,1384,14536,28404,0.482569
73,29295,13724,1319,14252,28767,0.490988
74,29503,14073,1297,14133,29443,0.498983
75,29708,14440,1399,13869,30279,0.50961
76,29723,14392,1314,14017,30098,0.506308
77,29768,14499,1262,14007,30260,0.508264
78,30118,14643,1294,14181,30580,0.50767
79,30319,14881,1348,14090,31110,0.513045
80,30717,15125,1393,14199,31643,0.515073
81,29986,15011,1402,13573,31424,0.523978
82,29952,15289,1260,13403,31838,0.531484
83,30099,15423,1304,13372,32150,0.534071
84,30192,15554,1322,13316,32430,0.537063
85,29823,15739,1416,12668,32894,0.551487
86,29969,16073,1324,12572,33470,0.55841
87,30245,16268,1352,12625,33888,0.560225
88,30957,16826,1359,12772,35011,0.565478
89,30903,16914,1323,12666,35151,0.568731
90,31108,17090,1388,12630,35568,0.571686
91,30748,16976,1371,12401,35323,0.574395
92,30784,17030,1430,12324,35490,0.576436
93,30962,17286,1342,12334,35914,0.579969
94,30542,17255,1363,11924,35873,0.587273
95,30973,17850,1308,11815,37008,0.597424
96,31213,18110,1217,11886,37437,0.599702
97,31652,18437,1204,12011,38078,0.60151
98,31683,18438,1288,11957,38164,0.602279
99,31933,18690,1317,11926,38697,0.605909
100,31827,18622,1425,11780,38669,0.607487
